epsis_operator_key,epsis_plant_key,source,facility_id,link_role,evidence,source_url,accessed_date
디에스파워,오산,env_info,CM000000000000000745,preferred,ENV-INFO child-site name identifies the Osan power facility,https://www.env-info.kr/user/register/viewUserSearch2.do?YEAR=2024&COMP_ID=CM000000000000000745&OPEN_YN=Y,2026-06-15
디에스파워,오산,cleansys,150630,preferred,CleanSYS facility name and address identify DS Power Osan,https://cleansys.or.kr/statAnnual.do,2026-06-15
신평택발전,신평택,env_info,CT000000000000050971,preferred,ENV-INFO individual site identifies Shin-Pyeongtaek power,https://www.env-info.kr/user/register/viewUserSearch2.do?YEAR=2024&COMP_ID=CT000000000000050971&OPEN_YN=Y,2026-06-15
신평택발전,신평택,cleansys,150809,preferred,CleanSYS facility name and address identify Shin-Pyeongtaek power,https://cleansys.or.kr/statAnnual.do,2026-06-15
씨지앤대산전력,대산,cleansys,170867,preferred,CleanSYS facility name and address identify CGN Daesan,https://cleansys.or.kr/statAnnual.do,2026-06-15
나래에너지서비스,위례,env_info,CM000000000000002302,preferred,ENV-INFO child-site name identifies Wirye energy service,https://www.env-info.kr/user/register/viewUserSearch2.do?YEAR=2024&COMP_ID=CM000000000000002302&OPEN_YN=Y,2026-06-15
나래에너지서비스,위례,cleansys,150758,preferred,CleanSYS facility name and address identify Wirye,https://cleansys.or.kr/statAnnual.do,2026-06-15
대륜발전,양주,env_info,CT000000000000003414,preferred,ENV-INFO individual site identifies Yangju cogeneration,https://www.env-info.kr/user/register/viewUserSearch2.do?YEAR=2024&COMP_ID=CT000000000000003414&OPEN_YN=Y,2026-06-15
대륜발전,양주,cleansys,150613,preferred,CleanSYS facility name and address identify Yangju,https://cleansys.or.kr/statAnnual.do,2026-06-15
지에스이앤알,반월,env_info,CT000000000000062967,preferred,ENV-INFO individual site identifies Banwol cogeneration,https://www.env-info.kr/user/register/viewUserSearch2.do?YEAR=2024&COMP_ID=CT000000000000062967&OPEN_YN=Y,2026-06-15
지에스이앤알,반월,cleansys,150014,preferred,CleanSYS facility name and address identify Banwol,https://cleansys.or.kr/statAnnual.do,2026-06-15
지에스이앤알,구미,env_info,CT000000000000058341,preferred,ENV-INFO individual site identifies Gumi power,https://www.env-info.kr/user/register/viewUserSearch2.do?YEAR=2024&COMP_ID=CT000000000000058341&OPEN_YN=Y,2026-06-15
지에스이앤알,구미,cleansys,130501,preferred,CleanSYS facility name and address identify Gumi,https://cleansys.or.kr/statAnnual.do,2026-06-15
