alias_type,alias,canonical,evidence,source_url,accessed_date
company,남동발전,한국남동발전,Provider short name and full legal name,https://www.koenergy.kr/,2026-06-15
company,한국남동발전,한국남동발전,Canonical self mapping,https://www.koenergy.kr/,2026-06-15
company,중부발전,한국중부발전,Provider short name and full legal name,https://www.komipo.co.kr/,2026-06-15
company,한국중부발전,한국중부발전,Canonical self mapping,https://www.komipo.co.kr/,2026-06-15
company,서부발전,한국서부발전,Provider short name and full legal name,https://www.iwest.co.kr/,2026-06-15
company,한국서부발전,한국서부발전,Canonical self mapping,https://www.iwest.co.kr/,2026-06-15
company,남부발전,한국남부발전,Provider short name and full legal name,https://www.kospo.co.kr/,2026-06-15
company,한국남부발전,한국남부발전,Canonical self mapping,https://www.kospo.co.kr/,2026-06-15
company,동서발전,한국동서발전,Provider short name and full legal name,https://www.ewp.co.kr/,2026-06-15
company,한국동서발전,한국동서발전,Canonical self mapping,https://www.ewp.co.kr/,2026-06-15
company,지역난방공사,한국지역난방공사,Provider short name and full legal name,https://www.kdhc.co.kr/,2026-06-15
company,한국지역난방공사,한국지역난방공사,Canonical self mapping,https://www.kdhc.co.kr/,2026-06-15
company,토지주택공사,한국토지주택공사,Provider short name and full legal name,https://www.lh.or.kr/,2026-06-15
company,lh공사,한국토지주택공사,English abbreviation and full legal name,https://www.lh.or.kr/,2026-06-15
company,한국토지주택공사,한국토지주택공사,Canonical self mapping,https://www.lh.or.kr/,2026-06-15
company,gseps,지에스이피에스,English and Korean company names,https://www.gseps.com/,2026-06-15
company,지에스이피에스,지에스이피에스,Canonical self mapping,https://www.gseps.com/,2026-06-15
company,gs파워,지에스파워,English and Korean company names,https://www.gspower.co.kr/,2026-06-15
company,지에스파워,지에스파워,Canonical self mapping,https://www.gspower.co.kr/,2026-06-15
company,gs동해전력,지에스동해전력,English and Korean company names,https://www.gsdh.co.kr/,2026-06-15
company,지에스동해전력,지에스동해전력,Canonical self mapping,https://www.gsdh.co.kr/,2026-06-15
company,gs포천그린에너지,지에스포천그린에너지,English and Korean company names,https://www.gspge.com/,2026-06-15
company,지에스포천그린에너지,지에스포천그린에너지,Canonical self mapping,https://www.gspge.com/,2026-06-15
company,cgn율촌전력,씨지앤율촌전력,Historical spelling in EPSIS and disclosure records,https://www.env-info.kr/member/open/companyTotalInfoSearch.do,2026-06-15
company,씨지앤율촌,씨지앤율촌전력,Short and full company names,https://www.env-info.kr/member/open/companyTotalInfoSearch.do,2026-06-15
company,씨지앤율촌전력,씨지앤율촌전력,Canonical self mapping,https://www.env-info.kr/member/open/companyTotalInfoSearch.do,2026-06-15
company,엠피씨율촌,씨지앤율촌전력,Historical operator name in EPSIS,https://epsis.kpx.or.kr/epsisnew/selectEkfaFclDtlChart.do?menuId=020600,2026-06-15
