subsidiary_company,plant_name,plant_province,plant_district
Korea East-West Power,Dangjin,Chungcheongnam-do,Dangjin-si
Korea East-West Power,Donghae,Gangwon-do,Donghae-si
Korea East-West Power,Honam,Jeollanam-do,Yeosu-si
Korea East-West Power,Ilsan,Gyeonggi-do,Ilsandong-gu
Korea East-West Power,Ulsan,Ulsan,Nam-gu
Korea Midland Power,Boryeong,Chungcheongnam-do,Boryeong-si
Korea Midland Power,Seoul,Seoul,Mapo-gu
Korea Midland Power,Shin-Boryeong,Chungcheongnam-do,Boryeong-si
Korea Midland Power,Incheon,Incheon,Seo-gu
Korea Midland Power,Jeju,Jeju-do,Jeju-si
Korea Midland Power,Sejong,Sejong,Sejong-si
Korea Midland Power,Seocheon,Chungcheongnam-do,Seocheon-gun
Korea South-East Power,Bundang,Gyeonggi-do,Bundang-gu
Korea South-East Power,Samcheonpo,Gyeongsangnam-do,Goseong-gun
Korea South-East Power,Yeongdong,Gangwon-do,Gangneung-si
Korea South-East Power,Yeongheung,Incheon,Ongjin-gun
Korea South-East Power,Yeosu,Jeollanam-do,Yeosu-si
Korea Southern Power,Andong,Gyeongsangbuk-do,Andong-si
Korea Southern Power,Busan,Busan,Saha-gu
Korea Southern Power,Hadong,Gyeongsangnam-do,Hadong-gun
Korea Southern Power,Hallim,Jeju-do,Jeju-si
Korea Southern Power,Namjeju Combined,Jeju-do,Seogwipo-si
Korea Southern Power,Namjeju Steam,Jeju-do,Seogwipo-si
Korea Southern Power,Samcheok,Gangwon-do,Samcheok-si
Korea Southern Power,Shin-Incheon,Incheon,Seo-gu
Korea Southern Power,Shinsejong,Sejong,Sejong-si
Korea Southern Power,Yeongwol,Gangwon-do,Yeongwol-gun
Korea Western Power,Gimpo,Gyeonggi-do,Gimpo-si
Korea Western Power,Gunsan,Jeonbuk-do,Gunsan-si
Korea Western Power,Pyeongtaek,Gyeonggi-do,Pyeongtaek-si
Korea Western Power,Seoincheon,Incheon,Seo-gu
Korea Western Power,Taean,Chungcheongnam-do,Taean-gun
