subsidiary_company,plant_name,plant_latitude,plant_longitude,plant_opening_date,plant_closing_date,match_status,evidence,source_note,accessed_date
Korea East-West Power,Dangjin,37.057,126.509,1999-06-01,,matched,Roster Coal sheet rows 당진#1-10 list company 한국동서발전; earliest unit 당진#1 commissioned 1999.6. Plant-level date uses the earliest unit.,province_level_power.xlsx Coal sheet,2026-06-30
Korea East-West Power,Donghae,37.483,129.146,1998-09-01,,matched,"Roster Coal sheet 동해#1/#2 (200MW units, commissioned 1998.9/1999.9) match East-West's Donghae coal units per the project's own fuel_type_mapping evidence, which already distinguishes these coal units from a separate smaller biomass facility.",province_level_power.xlsx Coal sheet,2026-06-30
Korea East-West Power,Honam,34.8535608,127.7346053,1973-01-01,,matched,"Resolved as the retired Honam coal plant: the monthly source contains Honam coal units through 2021 under the renamed Shin-Honam organization, and East-West identifies Shin-Honam as the former Honam headquarters at the same Yeosu site. The roster supplies the 1973 year; January 1 represents year-only precision.","province_level_power.xlsx Coal sheet; plant_location_dates_official_evidence.csv",2026-06-30
Korea East-West Power,Ilsan,37.645,126.797,1996-01-01,,matched,"Roster NG sheet '일산복합 #1,2 / Ilsan CC #1,2' lists company 한국동서발전 explicitly, commissioned 1996.",province_level_power.xlsx NG sheet (added from old list section),2026-06-30
Korea East-West Power,Ulsan,35.4763522,129.3807157,1979-01-01,,matched,Roster NG sheet 울산#1-4 GT/ST rows list company 한국동서발전 explicitly (commissioned 1979-2014 across units; earliest 울산#1 ST 1979.1). Official address and mapped plant-footprint centroid documented separately.,"province_level_power.xlsx NG sheet; plant_location_dates_official_evidence.csv",2026-06-30
Korea Midland Power,Incheon,37.5112437,126.6089808,2005-06-01,,matched,Roster NG sheet 인천#1-3 GT/ST rows are distinguishable from POSCO's separate units; earliest 인천#1 GT commissioned 2005.6. Official address and mapped plant-footprint centroid documented separately.,"province_level_power.xlsx NG sheet; plant_location_dates_official_evidence.csv",2026-06-30
Korea Midland Power,Jeju,33.5347652,126.5951006,2018-08-01,,matched,"Roster NG sheet '제주복합#2' lists company 한국중부발전 explicitly, commissioned 2018.8. Official address and mapped plant-footprint centroid documented separately; the date may not represent older non-combined units at the broader site.","province_level_power.xlsx NG sheet; plant_location_dates_official_evidence.csv",2026-06-30
Korea Midland Power,Sejong,36.466,127.248,2013-01-01,,matched,"Roster NG sheet '세종복합 / Sejong CC' lists company 한국중부발전 explicitly, commissioned 2013.",province_level_power.xlsx NG sheet (added from old list section),2026-06-30
Korea Midland Power,Seocheon,36.147,126.500,2021-01-01,,matched,"Roster Coal sheet '신서천화력1호기' lists company 한국중부발전 explicitly, commissioned 2021.",province_level_power.xlsx Coal sheet,2026-06-30
Korea South-East Power,Bundang,37.365875,127.1462733,1993-09-01,,matched,"South-East Power's official Bundang page confirms ownership and its separate address; the official construction history gives block 1 completion in 1993.9. This supersedes the ambiguous 2002 roster row for a different Bundang-area facility.",plant_location_dates_official_evidence.csv,2026-06-30
Korea South-East Power,Samcheonpo,34.911,128.109,1984-01-01,,matched,Roster Coal sheet 삼천포#1-6 rows list company 한국남동발전 explicitly; earliest unit commissioned 1984.,province_level_power.xlsx Coal sheet,2026-06-30
Korea South-East Power,Yeongdong,37.7391784,128.9796523,1973-05-23,,matched,"Roster Biomass sheet matches Yeongdong after conversion; South-East Power's official history gives unit 1 completion on 1973-05-23. Official address and mapped plant-footprint centroid documented separately.","province_level_power.xlsx Biomass sheet; plant_location_dates_official_evidence.csv",2026-06-30
Korea South-East Power,Yeongheung,37.240,126.438,2004-07-01,,matched,"Roster Coal sheet 영흥#1-6 rows (인천 옹진군 영흥면) match South-East Power's Yeongheung Eco Power plant; earliest unit commissioned 2004.7. Company is not explicitly labeled in the roster's Note column for this group, but the plant is publicly documented as Korea South-East Power's.",province_level_power.xlsx Coal sheet,2026-06-30
Korea South-East Power,Yeosu,34.840,127.691,2011-01-01,,matched,Roster Coal sheet 여수#1/#2 rows list company 한국남동발전 explicitly; earliest unit commissioned 2011.,province_level_power.xlsx Coal sheet,2026-06-30
Korea Southern Power,Andong,36.5949852,128.5417786,2014-03-01,,matched,"Roster NG sheet 안동 GT/ST rows list company 한국남부발전 explicitly, commissioned 2014.3; Southern Power's official page confirms the site and completion month. Mapped plant-footprint centroid documented separately.","province_level_power.xlsx NG sheet; plant_location_dates_official_evidence.csv",2026-06-30
Korea Southern Power,Busan,35.0866591,129.000384,2003-05-01,,matched,"Roster NG sheet 부산#1-4 GT/ST rows list company 한국남부발전 explicitly; earliest unit commissioned 2003.5. Southern Power's official page confirms the plant/site; mapped plant-footprint centroid documented separately.","province_level_power.xlsx NG sheet; plant_location_dates_official_evidence.csv",2026-06-30
Korea Southern Power,Hadong,34.951,127.820,1997-07-01,,matched,Roster Coal sheet 하동#1-8 rows list company 한국남부발전 explicitly; earliest unit commissioned 1997.7.,province_level_power.xlsx Coal sheet,2026-06-30
Korea Southern Power,Hallim,33.4025104,126.2720195,1995-06-01,,matched,"Roster NG sheet 한림 GT/ST rows are associated with 한국남부발전 and give the earliest unit as 1995.6. Southern Power's official page confirms the Hallim site; mapped plant-footprint centroid documented separately.","province_level_power.xlsx NG sheet; plant_location_dates_official_evidence.csv",2026-06-30
Korea Southern Power,Namjeju Combined,33.2374247,126.3418522,2020-11-01,,matched,"Roster NG sheet 남제주복합 GT/ST rows list 한국남부발전 explicitly and give 2020.11; Southern Power's official page independently gives combined-cycle completion in 2020.11. The plant-footprint centroid is shared with Namjeju Steam.","province_level_power.xlsx NG sheet; plant_location_dates_official_evidence.csv",2026-06-30
Korea Southern Power,Namjeju Steam,33.2374247,126.3418522,2007-03-01,,matched,"Southern Power's official page distinguishes the steam plant from Namjeju Combined and gives steam-plant completion in 2007.3. Both records share the same documented Namjeju site centroid.",plant_location_dates_official_evidence.csv,2026-06-30
Korea Southern Power,Samcheok,37.190,129.339,2016-12-01,,matched,Roster Coal sheet '삼척그린파워#1/#2' rows list company 한국남부발전 explicitly; earliest unit commissioned 2016.12.,province_level_power.xlsx Coal sheet,2026-06-30
Korea Southern Power,Shin-Incheon,37.535774,126.6085613,1996-06-01,,matched,"Roster NG sheet 신인천#1-4 GT/ST rows list company 한국남부발전 explicitly; earliest commissioned 1996.6. Official source and mapped footprint distinguish it from adjacent Western Power Seoincheon.","province_level_power.xlsx NG sheet; plant_location_dates_official_evidence.csv",2026-06-30
Korea Southern Power,Shinsejong,36.5273805,127.2990036,2024-06-30,,matched,"Southern Power's official plant page and press release distinguish Shinsejong from Midland Power's Sejong plant and state that commercial operation began on 2024-06-30. Official address and mapped plant-footprint centroid documented separately.",plant_location_dates_official_evidence.csv,2026-06-30
Korea Southern Power,Yeongwol,37.1630656,128.4908961,2010-01-01,,matched,"Roster NG sheet 영월 GT/ST rows list company 한국남부발전 explicitly, commissioned 2010.1. Southern Power's official page confirms the site; mapped plant-footprint centroid documented separately.","province_level_power.xlsx NG sheet; plant_location_dates_official_evidence.csv",2026-06-30
Korea Western Power,Gimpo,37.601,126.585,2023-01-01,,matched,"Roster NG sheet '김포복합 / Gimpo CC' lists company 한국서부발전 explicitly, commissioned 2023.",province_level_power.xlsx NG sheet (added from old list section),2026-06-30
Korea Western Power,Gunsan,35.9833022,126.7307317,2010-05-01,,matched,"Roster NG sheet 군산 GT/ST rows list company 한국서부발전 explicitly, commissioned 2010.5. Western Power's official page confirms the site; mapped plant-footprint centroid documented separately.","province_level_power.xlsx NG sheet; plant_location_dates_official_evidence.csv",2026-06-30
Korea Western Power,Pyeongtaek,37.0051879,126.796006,2013-07-01,,matched,"Roster NG sheet 평택#2 GT/ST rows list company 한국서부발전 explicitly, commissioned 2013.7. Western Power's official page confirms the site; mapped plant-footprint centroid documented separately.","province_level_power.xlsx NG sheet; plant_location_dates_official_evidence.csv",2026-06-30
Korea Western Power,Seoincheon,37.5360522,126.6024152,1992-06-30,,matched,"Western Power's official history gives first gas-turbine operation on 1992-06-30, improving the roster's year-only date. Official source and mapped footprint distinguish it from adjacent Southern Power Shin-Incheon.",plant_location_dates_official_evidence.csv,2026-06-30
Korea Western Power,Taean,36.903,126.231,1995-01-01,,matched,Roster Coal sheet 태안#1-10 rows list company 한국서부발전 explicitly; earliest unit commissioned 1995.,province_level_power.xlsx Coal sheet,2026-06-30
