subsidiary_company,plant_name,official_address,operator_source_url,coordinate_method,coordinate_source_url,opening_date_evidence,opening_date_source_url,accessed_date
Korea East-West Power,Honam,전남 여수시 여수산단로 1203,https://www.ewp.co.kr/kor/subpage/content.html?pc=RWA7STOSZQS8PT1Z3X6RMZ6AO6RBKVT,OpenStreetMap plant-footprint centroid (way 640000730),https://www.openstreetmap.org/way/640000730,1973 year retained from teammate roster; East-West identifies Shin-Honam as former Honam,https://www.ewp.co.kr/kor/subpage/content.html?pc=2ZWNPNLUJ2MZMM2OO69QUWU1314FD2O,2026-06-30
Korea East-West Power,Ulsan,울산광역시 남구 용잠로 623,https://www.ewp.co.kr/kor/subpage/content.html?pc=N40Q1Q32RSI9VFXA8D98ZJNA621NU7I,OpenStreetMap plant-footprint centroid (way 640088063),https://www.openstreetmap.org/way/640088063,Earliest-unit date retained from teammate roster,,2026-06-30
Korea Midland Power,Incheon,인천광역시 서구 원창동 327-7,https://www.komipo.co.kr/kor/content/30/main.do?mnCd=FN021103,OpenStreetMap plant-footprint centroid (way 235152926),https://www.openstreetmap.org/way/235152926,Earliest current combined-cycle unit date retained from teammate roster,,2026-06-30
Korea Midland Power,Jeju,제주특별자치도 제주시 원당로 133,https://www.komipo.co.kr/kor/content/33/main.do?mnCd=FN021106,OpenStreetMap plant-footprint centroid (way 766674626),https://www.openstreetmap.org/way/766674626,Date for 제주복합#2 retained from teammate roster,,2026-06-30
Korea Midland Power,Seoul,서울특별시 마포구 토정로 56,https://www.komipo.co.kr/eng/content/198/main.do?mnCd=EN010403,OpenStreetMap plant-footprint centroid (way 306198188),https://www.openstreetmap.org/way/306198188,Commercial operation began in November 2019,https://www.komipo.co.kr/eng/content/198/main.do?mnCd=EN010403,2026-07-22
Korea South-East Power,Bundang,경기도 성남시 분당구 분당로 336,https://www.koenergy.kr/kosep/br/bd/main.do?menuCd=BR0601,OpenStreetMap plant-footprint centroid (way 308365218),https://www.openstreetmap.org/way/308365218,Block 1 completed 1993.9,https://www.koenergy.kr/kosep/hw/br/bd/bdhw03/main.do?menuCd=BR06020202,2026-06-30
Korea South-East Power,Yeongdong,강원특별자치도 강릉시 강동면 염전길 99,https://www.koenergy.kr/kosep/br/yd/main.do?menuCd=BR0401,OpenStreetMap plant-footprint centroid (way 471461877),https://www.openstreetmap.org/way/471461877,Unit 1 completed 1973-05-23,https://www.koenergy.kr/kosep/hw/br/yd/ydhw03/main.do?menuCd=BR04020202,2026-06-30
Korea Southern Power,Andong,경상북도 안동시 풍산읍 산업단지1길 38,https://www.kospo.co.kr/kospo/621/subview.do,OpenStreetMap plant-footprint centroid (way 814635251),https://www.openstreetmap.org/way/814635251,Plant completed 2014.3,https://www.kospo.co.kr/kospo/621/subview.do,2026-06-30
Korea Southern Power,Busan,부산광역시 사하구 감천항로 7,https://www.kospo.co.kr/kospo/617/subview.do,OpenStreetMap plant-footprint centroid (way 814562057),https://www.openstreetmap.org/way/814562057,Earliest-unit date retained from teammate roster; official page lists full completion 2004.3,,2026-06-30
Korea Southern Power,Hallim,제주특별자치도 제주시 한림읍 한림중앙로 159,https://www.kospo.co.kr/kospo/618/subview.do,OpenStreetMap plant-footprint centroid (way 894856189),https://www.openstreetmap.org/way/894856189,Earliest-unit date retained from teammate roster; official page lists full completion 1997.7,,2026-06-30
Korea Southern Power,Namjeju Combined,제주특별자치도 서귀포시 안덕면 화순해안로106번길 55,https://www.kospo.co.kr/kospo/618/subview.do,OpenStreetMap plant-footprint centroid (way 281518612),https://www.openstreetmap.org/way/281518612,Combined-cycle plant completed 2020.11,https://www.kospo.co.kr/kospo/618/subview.do,2026-06-30
Korea Southern Power,Namjeju Steam,제주특별자치도 서귀포시 안덕면 화순해안로106번길 55,https://www.kospo.co.kr/kospo/618/subview.do,OpenStreetMap plant-footprint centroid (way 281518612),https://www.openstreetmap.org/way/281518612,Steam plant completed 2007.3,https://www.kospo.co.kr/kospo/618/subview.do,2026-06-30
Korea Southern Power,Shin-Incheon,인천광역시 서구 장도로 57,https://www.kospo.co.kr/kospo/616/subview.do,OpenStreetMap plant-footprint centroid (way 235152922),https://www.openstreetmap.org/way/235152922,Earliest-unit date retained from teammate roster; official page lists full completion 1997.7,,2026-06-30
Korea Southern Power,Shinsejong,세종특별자치시 갈매로 1030,https://www.kospo.co.kr/kospo/622/subview.do,OpenStreetMap plant-footprint centroid (way 1320227806),https://www.openstreetmap.org/way/1320227806,Commercial operation began 2024-06-30,https://www.kospo.co.kr/bbs/kospo/95/108711/artclView.do?layout=unknown,2026-06-30
Korea Southern Power,Yeongwol,강원특별자치도 영월군 영월읍 중앙로 411,https://www.kospo.co.kr/kospo/619/subview.do,OpenStreetMap plant-footprint centroid (way 566002631),https://www.openstreetmap.org/way/566002631,Earliest-unit date retained from teammate roster; official page lists full completion 2010.10,,2026-06-30
Korea Western Power,Gunsan,전북특별자치도 군산시 구암3.1로 91-5,https://www.iwest.co.kr/iwest/562/subview.do,OpenStreetMap plant-footprint centroid (way 814396960),https://www.openstreetmap.org/way/814396960,Earliest-unit date retained from teammate roster,,2026-06-30
Korea Western Power,Pyeongtaek,경기도 평택시 포승읍 남양만로 175-2,https://www.iwest.co.kr/iwest/560/subview.do,OpenStreetMap plant-footprint centroid (way 642987971),https://www.openstreetmap.org/way/642987971,Earliest-unit date retained from teammate roster,,2026-06-30
Korea Western Power,Seoincheon,인천광역시 서구 장도로 57,https://www.iwest.co.kr/iwest/561/subview.do,OpenStreetMap plant-footprint centroid (way 235152921),https://www.openstreetmap.org/way/235152921,First gas-turbine operation 1992-06-30,https://www.iwest.co.kr/iwest/926/subview.do,2026-06-30
