subsidiary_company,plant_name,stack_id,reporting_unit_id,stack_height_m,stack_diameter_m,exit_temp_c,flue_gas_velocity_m_s,stack_latitude,stack_longitude,match_status,evidence_id
Korea East-West Power,Dangjin,korea_east_west_power_dangjin_stack_1,eastwest_power:Dangjin:1,151.0,6.5,85.0,15.357,37.0315,126.305,matched,crea_hia_south_korea_2021_appendix_2
Korea East-West Power,Dangjin,korea_east_west_power_dangjin_stack_10,eastwest_power:Dangjin:10,200.0,7.4,91.0,25.651,37.0324,126.302,matched,crea_hia_south_korea_2021_appendix_2
Korea East-West Power,Dangjin,korea_east_west_power_dangjin_stack_2,eastwest_power:Dangjin:2,151.0,6.5,85.0,15.357,37.0315,126.304,matched,crea_hia_south_korea_2021_appendix_2
Korea East-West Power,Dangjin,korea_east_west_power_dangjin_stack_3,eastwest_power:Dangjin:3,151.0,6.5,85.0,15.357,37.0316,126.304,matched,crea_hia_south_korea_2021_appendix_2
Korea East-West Power,Dangjin,korea_east_west_power_dangjin_stack_4,eastwest_power:Dangjin:4,151.0,6.5,85.0,15.357,37.0317,126.304,matched,crea_hia_south_korea_2021_appendix_2
Korea East-West Power,Dangjin,korea_east_west_power_dangjin_stack_5,eastwest_power:Dangjin:5,150.0,5.4,90.0,22.168,37.0318,126.303,matched,crea_hia_south_korea_2021_appendix_2
Korea East-West Power,Dangjin,korea_east_west_power_dangjin_stack_6,eastwest_power:Dangjin:6,150.0,5.4,90.0,22.168,37.0319,126.303,matched,crea_hia_south_korea_2021_appendix_2
Korea East-West Power,Dangjin,korea_east_west_power_dangjin_stack_7,eastwest_power:Dangjin:7,150.0,5.4,90.0,22.168,37.032,126.303,matched,crea_hia_south_korea_2021_appendix_2
Korea East-West Power,Dangjin,korea_east_west_power_dangjin_stack_8,eastwest_power:Dangjin:8,150.0,5.4,90.0,22.168,37.032,126.302,matched,crea_hia_south_korea_2021_appendix_2
Korea East-West Power,Dangjin,korea_east_west_power_dangjin_stack_9,eastwest_power:Dangjin:9,200.0,7.4,91.0,25.651,37.0323,126.302,matched,crea_hia_south_korea_2021_appendix_2
Korea East-West Power,Donghae,korea_east_west_power_donghae_stack_1,eastwest_power:Donghae:1,150.0,4.0,154.0,16.154,37.2907,129.085,matched,crea_hia_south_korea_2021_appendix_2
Korea East-West Power,Donghae,korea_east_west_power_donghae_stack_2,eastwest_power:Donghae:2,150.0,4.0,154.0,16.154,37.2909,129.085,matched,crea_hia_south_korea_2021_appendix_2
Korea East-West Power,Honam,korea_east_west_power_honam_stack_1_2,,150.0,7.0,90.0,6.566,34.511,127.44,matched,crea_hia_south_korea_2021_appendix_2
Korea Midland Power,Seocheon,korea_midland_power_seocheon_stack_plant,midland_power:신서천화력,150.0,7.4,90.0,21.004,35.239,126.502,matched,crea_hia_south_korea_2021_appendix_2
Korea South-East Power,Samcheonpo,korea_south_east_power_samcheonpo_stack_1,southeast_power:삼천포:1,200.0,5.3,119.0,37.531,34.9117,128.109,matched,crea_hia_south_korea_2021_appendix_2
Korea South-East Power,Samcheonpo,korea_south_east_power_samcheonpo_stack_2,southeast_power:삼천포:2,200.0,5.3,109.0,37.531,34.9117,128.109,matched,crea_hia_south_korea_2021_appendix_2
Korea South-East Power,Samcheonpo,korea_south_east_power_samcheonpo_stack_3,southeast_power:삼천포:3,200.0,5.3,95.0,37.531,34.9117,128.109,matched,crea_hia_south_korea_2021_appendix_2
Korea South-East Power,Samcheonpo,korea_south_east_power_samcheonpo_stack_4,southeast_power:삼천포:4,200.0,5.3,100.0,37.531,34.9117,128.109,matched,crea_hia_south_korea_2021_appendix_2
Korea South-East Power,Samcheonpo,korea_south_east_power_samcheonpo_stack_5,southeast_power:삼천포:5,200.0,5.3,139.0,24.154,34.9117,128.109,matched,crea_hia_south_korea_2021_appendix_2
Korea South-East Power,Samcheonpo,korea_south_east_power_samcheonpo_stack_6,southeast_power:삼천포:6,200.0,5.3,148.0,23.842,34.911,128.109,matched,crea_hia_south_korea_2021_appendix_2
Korea South-East Power,Yeongdong,korea_south_east_power_yeongdong_unmatched,southeast_power:영동:2,,,,,,,unmatched,crea_hia_south_korea_2021_appendix_2
Korea South-East Power,Yeongheung,korea_south_east_power_yeongheung_stack_1_2,,200.0,6.6,90.0,18.064,37.242,126.446,matched,crea_hia_south_korea_2021_appendix_2
Korea South-East Power,Yeongheung,korea_south_east_power_yeongheung_stack_3_4,,198.0,6.3,90.0,20.403,37.242,126.446,matched,crea_hia_south_korea_2021_appendix_2
Korea South-East Power,Yeongheung,korea_south_east_power_yeongheung_stack_5_6,,200.0,6.9,95.3,17.437,37.242,126.446,matched,crea_hia_south_korea_2021_appendix_2
Korea South-East Power,Yeosu,korea_south_east_power_yeosu_stack_1,southeast_power:여수:1,150.0,4.8,91.0,27.171,34.84,127.691,matched,crea_hia_south_korea_2021_appendix_2
Korea South-East Power,Yeosu,korea_south_east_power_yeosu_stack_2,southeast_power:여수:2,150.0,4.8,91.0,21.564,34.84,127.691,matched,crea_hia_south_korea_2021_appendix_2
Korea Southern Power,Hadong,korea_southern_power_hadong_stack_1,,150.0,9.3,83.0,7.359,34.95,127.82,matched,crea_hia_south_korea_2021_appendix_2
Korea Southern Power,Hadong,korea_southern_power_hadong_stack_2,,150.0,9.3,83.0,6.628,34.95,127.82,matched,crea_hia_south_korea_2021_appendix_2
Korea Southern Power,Hadong,korea_southern_power_hadong_stack_3,,150.0,9.3,83.0,6.613,34.951,127.82,matched,crea_hia_south_korea_2021_appendix_2
Korea Southern Power,Hadong,korea_southern_power_hadong_stack_4,,150.0,9.3,83.0,6.491,34.952,127.819,matched,crea_hia_south_korea_2021_appendix_2
Korea Southern Power,Hadong,korea_southern_power_hadong_stack_5,,150.0,9.3,83.0,6.67,34.952,127.819,matched,crea_hia_south_korea_2021_appendix_2
Korea Southern Power,Hadong,korea_southern_power_hadong_stack_6,,150.0,9.3,83.0,6.769,34.953,127.819,matched,crea_hia_south_korea_2021_appendix_2
Korea Southern Power,Hadong,korea_southern_power_hadong_stack_7,,150.0,5.4,82.0,18.588,34.954,127.818,matched,crea_hia_south_korea_2021_appendix_2
Korea Southern Power,Hadong,korea_southern_power_hadong_stack_8,,150.0,5.4,82.0,19.129,34.954,127.818,matched,crea_hia_south_korea_2021_appendix_2
Korea Southern Power,Samcheok,korea_southern_power_samcheok_stack_1,,90.0,8.8,90.0,15.053,37.186,129.34,matched,crea_hia_south_korea_2021_appendix_2
Korea Southern Power,Samcheok,korea_southern_power_samcheok_stack_2,,90.0,8.8,90.0,15.053,37.184,129.34,matched,crea_hia_south_korea_2021_appendix_2
Korea Western Power,Taean,korea_western_power_taean_stack_1,western_power:Taean:1호기,150.0,8.83,79.83,8.944,36.0,126.245,matched,crea_hia_south_korea_2021_appendix_2
Korea Western Power,Taean,korea_western_power_taean_stack_10,western_power:Taean:10호기,150.0,7.3,91.0,32.948,35.9973,126.237,matched,crea_hia_south_korea_2021_appendix_2
Korea Western Power,Taean,korea_western_power_taean_stack_2,western_power:Taean:2호기,150.0,8.83,77.87,8.944,36.0,126.244,matched,crea_hia_south_korea_2021_appendix_2
Korea Western Power,Taean,korea_western_power_taean_stack_3,western_power:Taean:3호기,150.0,8.83,78.41,8.944,35.999,126.243,matched,crea_hia_south_korea_2021_appendix_2
Korea Western Power,Taean,korea_western_power_taean_stack_4,western_power:Taean:4호기,150.0,8.83,77.69,8.944,35.9997,126.242,matched,crea_hia_south_korea_2021_appendix_2
Korea Western Power,Taean,korea_western_power_taean_stack_5,western_power:Taean:5호기,150.0,5.4,78.49,23.351,35.999,126.2413,matched,crea_hia_south_korea_2021_appendix_2
Korea Western Power,Taean,korea_western_power_taean_stack_6,western_power:Taean:6호기,150.0,5.4,82.22,23.351,35.999,126.2411,matched,crea_hia_south_korea_2021_appendix_2
Korea Western Power,Taean,korea_western_power_taean_stack_7,western_power:Taean:7호기,150.0,5.4,95.87,27.653,35.9986,126.2396,matched,crea_hia_south_korea_2021_appendix_2
Korea Western Power,Taean,korea_western_power_taean_stack_8,western_power:Taean:8호기,150.0,5.4,96.41,27.653,35.9986,126.2395,matched,crea_hia_south_korea_2021_appendix_2
Korea Western Power,Taean,korea_western_power_taean_stack_9,western_power:Taean:9호기,150.0,7.3,91.0,32.948,35.9972,126.237,matched,crea_hia_south_korea_2021_appendix_2
