stack_id,reporting_unit_id
korea_east_west_power_dangjin_stack_1,eastwest_power:Dangjin:1
korea_east_west_power_dangjin_stack_10,eastwest_power:Dangjin:10
korea_east_west_power_dangjin_stack_2,eastwest_power:Dangjin:2
korea_east_west_power_dangjin_stack_3,eastwest_power:Dangjin:3
korea_east_west_power_dangjin_stack_4,eastwest_power:Dangjin:4
korea_east_west_power_dangjin_stack_5,eastwest_power:Dangjin:5
korea_east_west_power_dangjin_stack_6,eastwest_power:Dangjin:6
korea_east_west_power_dangjin_stack_7,eastwest_power:Dangjin:7
korea_east_west_power_dangjin_stack_8,eastwest_power:Dangjin:8
korea_east_west_power_dangjin_stack_9,eastwest_power:Dangjin:9
korea_east_west_power_donghae_stack_1,eastwest_power:Donghae:1
korea_east_west_power_donghae_stack_2,eastwest_power:Donghae:2
korea_east_west_power_honam_stack_1_2,eastwest_power:Honam:1
korea_east_west_power_honam_stack_1_2,eastwest_power:Honam:2
korea_midland_power_seocheon_stack_plant,midland_power:신서천화력
korea_south_east_power_samcheonpo_stack_1,southeast_power:삼천포:1
korea_south_east_power_samcheonpo_stack_2,southeast_power:삼천포:2
korea_south_east_power_samcheonpo_stack_3,southeast_power:삼천포:3
korea_south_east_power_samcheonpo_stack_4,southeast_power:삼천포:4
korea_south_east_power_samcheonpo_stack_5,southeast_power:삼천포:5
korea_south_east_power_samcheonpo_stack_6,southeast_power:삼천포:6
korea_south_east_power_yeongheung_stack_1_2,southeast_power:영흥:1
korea_south_east_power_yeongheung_stack_1_2,southeast_power:영흥:2
korea_south_east_power_yeongheung_stack_3_4,southeast_power:영흥:3
korea_south_east_power_yeongheung_stack_3_4,southeast_power:영흥:4
korea_south_east_power_yeongheung_stack_5_6,southeast_power:영흥:5
korea_south_east_power_yeongheung_stack_5_6,southeast_power:영흥:6
korea_south_east_power_yeosu_stack_1,southeast_power:여수:1
korea_south_east_power_yeosu_stack_2,southeast_power:여수:2
korea_western_power_taean_stack_1,western_power:Taean:1호기
korea_western_power_taean_stack_10,western_power:Taean:10호기
korea_western_power_taean_stack_2,western_power:Taean:2호기
korea_western_power_taean_stack_3,western_power:Taean:3호기
korea_western_power_taean_stack_4,western_power:Taean:4호기
korea_western_power_taean_stack_5,western_power:Taean:5호기
korea_western_power_taean_stack_6,western_power:Taean:6호기
korea_western_power_taean_stack_7,western_power:Taean:7호기
korea_western_power_taean_stack_8,western_power:Taean:8호기
korea_western_power_taean_stack_9,western_power:Taean:9호기
