source_id,provider,dataset,coverage,granularity,units,source_page_url,data_endpoint_url,accessed_date,notes
airkorea_hourly_finalized,National Institute of Environmental Research via AirKorea,Finalized hourly air quality measurements,2001-2025,monitoring station hour,ppm and µg/m³,https://www.airkorea.or.kr/web/last_amb_hour_data,https://www.airkorea.or.kr/jfile/readDownloadFile.do,2026-06-29,Annual ZIP attachments contain quarterly XLSX files; -999 marks invalid observations; the latest asterisked year may change during annual finalization
airkorea_station_registry,Korea Environment Corporation via data.go.kr,Current AirKorea station identity and WGS84 coordinates,current,monitoring station,WGS84 decimal degrees,https://www.data.go.kr/data/15073877/openapi.do,https://apis.data.go.kr/B552584/MsrstnInfoInqireSvc/getMsrstnList,2026-07-01,dmX is documented as latitude and dmY as longitude; current registry is reconciled conservatively against year-specific names and addresses from finalized archives
kma_asos,Korea Meteorological Administration,ASOS hourly surface observations,1904-present depending on station,station hour,provider fields,https://apihub.kma.go.kr/apiList.do?seqApi=2&seqApiSub=238,https://apihub.kma.go.kr/api/typ01/url/kma_sfctm3.php,2026-06-30,KST timestamps; period queries limited to 31 days; separate API usage activation required
kma_radiosonde,Korea Meteorological Administration,Radiosonde profiles and stability analysis,1957-present depending on station,station sounding level,provider fields,https://apihub.kma.go.kr/apiList.do?seqApi=4&seqApiSub=254,https://apihub.kma.go.kr/api/typ01/url/upp_temp.php,2026-06-30,Regular profiles requested at 00 and 12 UTC; stability indices use upp_idx.php; separate API usage activation required
kma_wind_profiler,Korea Meteorological Administration,Height-resolved Wind Profiler observations,2004-present depending on station,station time height,m/s and degrees,https://apihub.kma.go.kr/apiList.do?seqApi=4&seqApiSub=255,https://apihub.kma.go.kr/api/typ01/url/kma_wpf.php,2026-06-30,Native observations are 10-minute; project collection is hourly and intentionally batched by year due to API limits
kosis_monthly_deaths,National Data Office KOSIS,Monthly deaths by city county and district,1997-2024,residence district month,persons,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1B82A01,https://kosis.kr/openapi/Param/statisticsParameterData.do,2026-06-29,Public table provides all-cause deaths by district month and sex
kosis_cause_deaths,National Data Office KOSIS,Deaths by district 50-cause group and sex,1998-2024,residence district year,persons,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1B34E13,https://kosis.kr/openapi/Param/statisticsParameterData.do,2026-06-29,Cause-specific public district mortality is annual rather than monthly
kosis_population,National Data Office KOSIS,Resident population by administrative district and sex,2011-present monthly series,district month,persons,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1B040A3,https://kosis.kr/openapi/Param/statisticsParameterData.do,2026-07-01,Population denominators for count-model offsets; table advertises annual history from 1992 but monthly API queries return no data before 2011; harmonize boundary changes
epsis_annual_roster,Korea Power Exchange EPSIS,Annual generator detail roster,2012-2024,unit or component roster rows,capacity kW,https://epsis.kpx.or.kr/epsisnew/selectEkfaFclDtlChart.do?menuId=020600,https://epsis.kpx.or.kr/epsisnew/selectEkfaFclDtlGrid.do,2026-06-15,POST response is JavaScript assignments used by the public grid
epsis_annual_generation,Korea Power Exchange EPSIS,Annual capacity and generation,2002-2024,mixed unit plant and aggregate rows,MWh and kW,https://epsis.kpx.or.kr/epsisnew/selectEkgeGepGbpGrid.do?menuId=060105,https://epsis.kpx.or.kr/epsisnew/selectEkgeGepGbpGridAjax.ajax,2026-06-15,Provider labels do not guarantee uniform plant or unit granularity
epsis_snapshots,Korea Power Exchange EPSIS,Dated generator roster snapshots,2012-present,provider ZIP snapshots,provider fields,https://epsis.kpx.or.kr/epsisnew/selectEkifBoardList.do?boardId=080000&menuId=020902,https://epsis.kpx.or.kr/epsisnew/selectEkifBoardList.ajax,2026-06-15,Original ZIP attachments are preserved with checksums
cleansys_annual,Korea Environment Corporation CleanSYS,Annual TMS facility emissions,2015-2024,facility or workplace,kg/year,https://cleansys.or.kr/statAnnual.do,https://cleansys.or.kr/apiService/selectAnnualResult.do,2026-06-15,Only emissions measured by stack TMS instruments are included
env_info_annual,Ministry of Environment ENV-INFO,Verified annual environmental disclosures,2015-2024,representative company or individual site,metric tonnes/year,https://www.env-info.kr/member/open/companyTotalInfoSearch.do,https://www.env-info.kr/member/open/retrieveDoc.do,2026-06-15,NOx SOx and TSP are extracted from public detail pages
western_power_data,Korea Western Power,Monthly generation and air emissions,provider file coverage,plant or unit month,provider fields,https://www.data.go.kr/data/15099592/fileData.do,,2026-06-15,Official public-data catalog record
western_power_daily_generation,Korea Western Power,Daily generation performance,2019-2023,Taean generating unit day,MWh,https://www.data.go.kr/data/15106338/fileData.do,https://www.data.go.kr/cmm/cmm/fileDownload.do,2026-06-29,Units 1-10 only; 563 monthly overlaps validate the monthly source but fill no blank unit-months
western_power_annual_generation,Korea Western Power,Annual generator performance,provider annual coverage,generator year,MWh and MW,https://www.data.go.kr/data/15083346/fileData.do,https://www.data.go.kr/cmm/cmm/fileDownload.do,2026-06-29,Annual totals are validation evidence and must not be distributed across missing months
eastwest_power_data,Korea East-West Power,Monthly generation and air emissions,provider file coverage,plant or unit month,provider fields,https://www.data.go.kr/data/15099768/fileData.do,,2026-06-15,Official public-data catalog record
southern_power_emissions,Korea Southern Power,Air pollutant emissions,provider API coverage,source-specific,kg,https://www.data.go.kr/data/15099713/openapi.do,https://api.odcloud.kr/api/15099713/v1/uddi:e7ea7bfd-d0c4-4cb6-afea-95fa7821cb51,2026-06-15,Requires a data.go.kr service key
southern_power_generation,Korea Southern Power,Daily generation,provider API coverage,unit day,kWh,https://www.data.go.kr/data/15125305/openapi.do,http://apis.data.go.kr/B552520/GenInfo/getDataService,2026-06-15,Requires a data.go.kr service key
southern_power_hourly_generation,Korea Southern Power,Hourly generation and transmission cross-check,provider API coverage,unit hour,kWh,https://www.data.go.kr/data/15125317/openapi.do,https://apis.data.go.kr/B552520/PwrGenTran/getDataService,2026-06-29,Requires separate data.go.kr service approval; current key returned HTTP 403 on 2026-06-29
southern_power_annual_generation,Korea Southern Power,Annual generation validation,2021-2025,plant/unit year,kWh,https://www.data.go.kr/data/15127550/fileData.do,https://www.data.go.kr/cmm/cmm/fileDownload.do,2026-06-29,Used for plant-year validation rather than monthly imputation
southeast_power_data,Korea South-East Power,Daily air pollutant measurements,2020-present,facility day,provider values,https://www.data.go.kr/data/15131510/fileData.do,,2026-06-15,Current export contains concentrations rather than documented pollutant mass
southeast_power_generation,Korea South-East Power,Monthly generation,2015-present,generating unit month,MWh,https://www.data.go.kr/data/15120379/openapi.do,https://apis.data.go.kr/B551893/ndod-gen-perform,2026-07-01,Unit-level API requires separate data.go.kr approval; equivalent signed provider CSV export was preserved
midland_power_emissions,Korea Midland Power,Air pollutant measurements,provider API coverage,source-specific,provider values,https://www.data.go.kr/data/15084758/openapi.do,,2026-06-15,Current API is insufficient for monthly mass emission factors
midland_power_generation,Korea Midland Power,Generation records,provider API coverage,source-specific,provider values,https://www.data.go.kr/data/15084753/openapi.do,,2026-06-15,Requires a data.go.kr service key
boim_history,Boim Cogeneration,Company history,company history,organization,n/a,https://www.boimkorea.com/company/history.php,,2026-06-15,Documents the December 2023 Dayone Energy to Boim name change
