"target_id","scope","pdf_page_start","pdf_page_end","inventory_ids","notes"
"capss_vii_refining_combustion","Chapter 1 oil-refining combustion","39","41","ene_refining_combustion","Only the non-power refinery subsection is targeted from the energy-industry chapter."
"capss_vii_nonindustrial_combustion","Chapter 2 non-industrial combustion","47","60","bld_residential_space_heat|bld_residential_water_heat|bld_residential_cooking|bld_commercial_space_heat|bld_commercial_water_heat|bld_commercial_cooking|bld_public_space_heat|bld_public_water_heat|agr_fisheries_combustion","Includes commercial/public, residential, and agriculture/livestock/fisheries facilities."
"capss_vii_manufacturing_combustion","Chapter 3 manufacturing combustion","61","76","ind_steel_combustion|ind_cement_kiln_combustion|ind_chem_combustion|ind_other_mfg_combustion|ind_pulp_recovery_boiler|ind_pulp_lime_kiln","Equipment and fuel matches require later review."
"capss_vii_production_processes","Chapter 4 production processes","77","124","ind_steel_bf_bof|ind_steel_eaf|ind_steel_sinter|ind_steel_coke_ovens|ind_steel_rolling|ind_cement_clinker|ind_cement_grinding|ind_cement_fugitive|ind_chem_organic|ind_chem_inorganic|ind_chem_storage_loading|ind_chem_flaring|ind_plastics_resin|ind_plastics_products|ind_nonferrous_primary|ind_nonferrous_secondary|ind_pulp|ind_paper|ind_other_mfg_process|ene_refining_process|ene_flaring|ene_hydrogen_smr|ene_hydrogen_coal|ene_hydrogen_byproduct|ene_hydrogen_biomass","Hydrogen, flaring, and some provisional GCAM activities remain research gaps even when the chapter is extracted."
"capss_vii_energy_storage","Chapter 5 energy transport and storage","125","134","ene_fuel_storage_loading|aqs_fuel_distribution_losses","Reconcile the modeled and supplemental rows to prevent double counting."
"capss_vii_solvents","Chapter 6 solvent and product use","135","170","aqs_solvent_use","All product-use tables map to the supplemental solvent activity."
"capss_vii_road_transport","Chapter 7 and Appendix II road transport","171","198","trn_road_passenger_gasoline_ldv|trn_road_passenger_diesel_ldv|trn_road_passenger_lpg_ldv|trn_road_passenger_hybrid_ldv|trn_road_bus|trn_road_motorcycle|trn_road_freight_lcv|trn_road_freight_mdv|trn_road_freight_hdv","Appendix II pages are extracted as a separate target."
"capss_vii_nonroad_transport","Chapter 8 non-road transport","199","238","trn_rail_diesel_passenger|trn_rail_diesel_freight|trn_aviation_passenger_lto|trn_aviation_passenger_cruise|trn_aviation_freight_lto|trn_aviation_freight_cruise|trn_shipping_passenger|trn_shipping_freight|trn_shipping_fishing|trn_nonroad_construction|trn_nonroad_port_cargo|agr_machinery|agr_forestry_machinery","Includes rail, vessels, aviation, agricultural machinery, and construction equipment."
"capss_vii_waste","Chapter 9 waste treatment","239","254","wst_municipal_incineration|wst_industrial_incineration|wst_medical_incineration|wst_landfills|wst_wastewater","Open waste burning is covered by Chapter 13."
"capss_vii_agriculture","Chapter 10 agriculture","255","264","agr_livestock_cattle|agr_livestock_dairy|agr_livestock_swine|agr_livestock_poultry|agr_livestock_other|agr_fertilizer","Livestock species and fertilizer types require annual weighting."
"capss_vii_fugitive_dust","Chapter 12 fugitive dust","279","306","aqs_construction_dust|aqs_paved_road_dust|aqs_unpaved_road_dust","Fugitive dust stays outside combustion factors."
"capss_vii_biomass_open_burning","Chapter 13 open and biomass burning","307","322","agr_crop_residue_burning|wst_open_burning|aqs_open_biomass_burning|bld_residential_space_heat|bld_residential_water_heat|bld_commercial_cooking","Reconcile crop-residue and supplemental open-biomass boundaries."
"capss_vii_road_appendix","Appendix II detailed road-vehicle factors","347","408","trn_road_passenger_gasoline_ldv|trn_road_passenger_diesel_ldv|trn_road_passenger_lpg_ldv|trn_road_passenger_hybrid_ldv|trn_road_bus|trn_road_motorcycle|trn_road_freight_lcv|trn_road_freight_mdv|trn_road_freight_hdv","Detailed fuel, size, vintage, and speed formulas are needed for annual fleet weighting."
