"denominator_id","inventory_id","sector","subsector","technology","pollutant","preferred_activity_denominator","preferred_ef_unit","compatible_activity_units","conversion_required","conversion_description","controlled_or_uncontrolled","temporal_weighting_needed","technology_weighting_needed","control_weighting_needed","notes"
"den_ind_steel_bf_bof_nox","ind_steel_bf_bof","steel","integrated_steel","blast_furnace_basic_oxygen_furnace","NOx","tonne crude steel","kg NOx/tonne crude steel","tonne crude steel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_bf_bof_sox","ind_steel_bf_bof","steel","integrated_steel","blast_furnace_basic_oxygen_furnace","SOx","tonne crude steel","kg SOx/tonne crude steel","tonne crude steel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_bf_bof_pm25","ind_steel_bf_bof","steel","integrated_steel","blast_furnace_basic_oxygen_furnace","PM2.5","tonne crude steel","kg PM2.5/tonne crude steel","tonne crude steel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_bf_bof_pm10","ind_steel_bf_bof","steel","integrated_steel","blast_furnace_basic_oxygen_furnace","PM10","tonne crude steel","kg PM10/tonne crude steel","tonne crude steel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_bf_bof_tsp","ind_steel_bf_bof","steel","integrated_steel","blast_furnace_basic_oxygen_furnace","TSP","tonne crude steel","kg TSP/tonne crude steel","tonne crude steel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_bf_bof_vocs","ind_steel_bf_bof","steel","integrated_steel","blast_furnace_basic_oxygen_furnace","VOCs","tonne crude steel","kg VOCs/tonne crude steel","tonne crude steel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_bf_bof_co","ind_steel_bf_bof","steel","integrated_steel","blast_furnace_basic_oxygen_furnace","CO","tonne crude steel","kg CO/tonne crude steel","tonne crude steel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_bf_bof_bc","ind_steel_bf_bof","steel","integrated_steel","blast_furnace_basic_oxygen_furnace","BC","tonne crude steel","kg BC/tonne crude steel","tonne crude steel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_eaf_nox","ind_steel_eaf","steel","secondary_steel","electric_arc_furnace","NOx","tonne EAF steel","kg NOx/tonne EAF steel","tonne EAF steel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_eaf_sox","ind_steel_eaf","steel","secondary_steel","electric_arc_furnace","SOx","tonne EAF steel","kg SOx/tonne EAF steel","tonne EAF steel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_eaf_pm25","ind_steel_eaf","steel","secondary_steel","electric_arc_furnace","PM2.5","tonne EAF steel","kg PM2.5/tonne EAF steel","tonne EAF steel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_eaf_pm10","ind_steel_eaf","steel","secondary_steel","electric_arc_furnace","PM10","tonne EAF steel","kg PM10/tonne EAF steel","tonne EAF steel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_eaf_tsp","ind_steel_eaf","steel","secondary_steel","electric_arc_furnace","TSP","tonne EAF steel","kg TSP/tonne EAF steel","tonne EAF steel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_eaf_vocs","ind_steel_eaf","steel","secondary_steel","electric_arc_furnace","VOCs","tonne EAF steel","kg VOCs/tonne EAF steel","tonne EAF steel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_sinter_nox","ind_steel_sinter","steel","integrated_steel","sinter_plant","NOx","tonne sinter","kg NOx/tonne sinter","tonne sinter","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_sinter_sox","ind_steel_sinter","steel","integrated_steel","sinter_plant","SOx","tonne sinter","kg SOx/tonne sinter","tonne sinter","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_sinter_pm25","ind_steel_sinter","steel","integrated_steel","sinter_plant","PM2.5","tonne sinter","kg PM2.5/tonne sinter","tonne sinter","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_sinter_pm10","ind_steel_sinter","steel","integrated_steel","sinter_plant","PM10","tonne sinter","kg PM10/tonne sinter","tonne sinter","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_sinter_tsp","ind_steel_sinter","steel","integrated_steel","sinter_plant","TSP","tonne sinter","kg TSP/tonne sinter","tonne sinter","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_sinter_vocs","ind_steel_sinter","steel","integrated_steel","sinter_plant","VOCs","tonne sinter","kg VOCs/tonne sinter","tonne sinter","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_sinter_co","ind_steel_sinter","steel","integrated_steel","sinter_plant","CO","tonne sinter","kg CO/tonne sinter","tonne sinter","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_sinter_bc","ind_steel_sinter","steel","integrated_steel","sinter_plant","BC","tonne sinter","kg BC/tonne sinter","tonne sinter","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_coke_ovens_nox","ind_steel_coke_ovens","steel","integrated_steel","coke_oven","NOx","tonne coke","kg NOx/tonne coke","tonne coke","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_coke_ovens_sox","ind_steel_coke_ovens","steel","integrated_steel","coke_oven","SOx","tonne coke","kg SOx/tonne coke","tonne coke","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_coke_ovens_pm25","ind_steel_coke_ovens","steel","integrated_steel","coke_oven","PM2.5","tonne coke","kg PM2.5/tonne coke","tonne coke","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_coke_ovens_pm10","ind_steel_coke_ovens","steel","integrated_steel","coke_oven","PM10","tonne coke","kg PM10/tonne coke","tonne coke","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_coke_ovens_tsp","ind_steel_coke_ovens","steel","integrated_steel","coke_oven","TSP","tonne coke","kg TSP/tonne coke","tonne coke","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_coke_ovens_vocs","ind_steel_coke_ovens","steel","integrated_steel","coke_oven","VOCs","tonne coke","kg VOCs/tonne coke","tonne coke","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_coke_ovens_co","ind_steel_coke_ovens","steel","integrated_steel","coke_oven","CO","tonne coke","kg CO/tonne coke","tonne coke","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_coke_ovens_bc","ind_steel_coke_ovens","steel","integrated_steel","coke_oven","BC","tonne coke","kg BC/tonne coke","tonne coke","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_rolling_nox","ind_steel_rolling","steel","finishing","rolling_and_finishing","NOx","tonne finished steel","kg NOx/tonne finished steel","tonne finished steel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_rolling_sox","ind_steel_rolling","steel","finishing","rolling_and_finishing","SOx","tonne finished steel","kg SOx/tonne finished steel","tonne finished steel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_rolling_pm25","ind_steel_rolling","steel","finishing","rolling_and_finishing","PM2.5","tonne finished steel","kg PM2.5/tonne finished steel","tonne finished steel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_rolling_pm10","ind_steel_rolling","steel","finishing","rolling_and_finishing","PM10","tonne finished steel","kg PM10/tonne finished steel","tonne finished steel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_rolling_tsp","ind_steel_rolling","steel","finishing","rolling_and_finishing","TSP","tonne finished steel","kg TSP/tonne finished steel","tonne finished steel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_rolling_vocs","ind_steel_rolling","steel","finishing","rolling_and_finishing","VOCs","tonne finished steel","kg VOCs/tonne finished steel","tonne finished steel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
