record_id,collection_version,review_status,production_ready,sector,subsector,technology,fuel_or_material,pollutant,ef_value,ef_expression,ef_lower,ef_upper,unit,activity_basis,control_basis,geographic_scope,applicability,evidence_origin,factor_reference_period_start,factor_reference_period_end,source_id,source_table_or_location,quality_flag,notes,source_title,publication_year,source_url
EF00001,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid fuel,Non-civil anthracite,CO,0.3,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00002,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid fuel,Non-civil anthracite,NOx,5.83,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00003,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid fuel,Non-civil anthracite,SOx,,19.5*S,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00004,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid fuel,Non-civil anthracite,TSP,200.0,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00005,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid fuel,Non-civil anthracite,PM10,153.4,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00006,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid fuel,Non-civil anthracite,PM2.5,79.8958,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00007,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid fuel,Non-civil anthracite,VOCs,0.15,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00008,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid fuel,Non-civil anthracite,NH3,0.00028,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00009,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid fuel,Bituminous coal,CO,0.25,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00010,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid fuel,Bituminous coal,NOx,4.55,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
