"source_id","source_priority","organization","title","source_type","sector_scope","pollutant_scope","activity_or_ef","publication_year","measurement_year_start","measurement_year_end","geographic_scope","update_frequency","url","access_status","license_or_use_note","official_or_literature","expected_variables","known_limitations","retrieval_date","notes"
"capss_handbook_vii","Tier 1","National Air Emission Inventory and Research Center","National Air Pollutant Emissions Estimation Methods Handbook VII","official handbook","all CAPSS sectors","NOx|SOx|PM2.5|PM10|TSP|VOCs|NH3|CO|BC","emission-factor methods and activity definitions","2025","","2022","Korea","irregular","https://www.air.go.kr/article/view.do?articleId=491&boardId=8&currentPageNo=1","public","Official public handbook; verify reuse terms for extracted tables.","official","SCC taxonomy|factor equations|units|activity sources|control treatment","Many factors originate in foreign inventories; handbook factors may already be controlled.","2026-07-22","A local source PDF is already preserved under emission_factor_validation/korea_ef_references."
"capss_annual","Tier 1","National Air Emission Inventory and Research Center","CAPSS annual detailed emissions statistics","official statistics","all CAPSS sectors","NOx|SOx|PM2.5|PM10|TSP|VOCs|NH3|CO|BC","annual emissions and taxonomy validation","2026","1999","2023","Korea and municipalities","annual","https://www.air.go.kr/article/list.do?boardId=10&menuId=32","public","Official public statistics; cite inventory year and retrieval date.","official","year|source hierarchy|fuel|pollutant|emissions_kg","Aggregate emissions are not raw emission factors and coverage changes over time.","2026-07-22",""
"gcam_kaist_external","Tier 1","GCAM-KAIST / MACRO project team","Team-supplied GCAM-KAIST sector-fuel activity taxonomy and scenarios","model deliverable","modeled economy-wide activity","not applicable","annual scenario activity","","","","Korea","scenario release","","restricted_source","Restricted team-supplied model deliverable; ingest with repository provenance command.","model_documentation","scenario|year|sector|subsector|technology|fuel|activity|unit","The non-power activity file is not currently present, so labels in inventory version 0.1.0 are conceptual placeholders.","2026-07-22","No public model taxonomy was available locally; replace provisional labels only after inspecting the supplied file."
"kesis_survey","Tier 1","Korea Energy Economics Institute","Energy Consumption Survey","official survey","industry|buildings|transport","not applicable","annual fuel activity","","","","Korea","triennial","https://www.kesis.net/","public","Official portal; dataset-specific terms apply.","official","industry|fuel|consumption|unit|survey_year","Survey periodicity requires interpolation or calibration for annual scenarios.","2026-07-22",""
"kesis_balance","Tier 1","Korea Energy Economics Institute","Korea Energy Balance","official statistics","all energy-consuming sectors","not applicable","annual fuel activity","","","","Korea","annual","https://www.kesis.net/","public","Official portal; cite balance edition.","official","year|sector|fuel|physical_unit|energy_unit","Sector aggregation may be coarser than EF technology categories.","2026-07-22",""
"kesis_monthly","Tier 1","Korea Energy Economics Institute","Energy Statistics Monthly","official statistics","energy supply and demand","not applicable","monthly fuel activity","","","","Korea","monthly","https://www.kesis.net/","public","Official portal; cite issue and table.","official","month|fuel supply|fuel sales|energy unit","May not expose end-use technology splits.","2026-07-22",""
"kosis_industry","Tier 1","Statistics Korea KOSIS","Mining and manufacturing production statistics","official statistics","industry","not applicable","physical production","","","","Korea","monthly and annual","https://kosis.kr/","public","KOSIS public statistics terms apply.","official","industry|product|production quantity|unit|year","Product definitions and confidentiality suppression vary by table.","2026-07-22",""
"molit_vehicle_registration","Tier 1","Ministry of Land Infrastructure and Transport","Motor vehicle registration statistics","official statistics","road transport","not applicable","fleet stock and technology shares","","","","Korea","monthly","https://stat.molit.go.kr/","public","Official statistics portal.","official","vehicle class|fuel|model year|registration count|region","Registration is stock, not vehicle-km.","2026-07-22",""
"molit_traffic","Tier 1","Korea Transport Database / MOLIT","National transport and traffic activity statistics","official statistics","road transport","not applicable","vehicle-km and travel activity","","","","Korea","annual","https://www.ktdb.go.kr/www/index.do","public","Official transport database; table-specific use terms apply.","official","vehicle class|road class|vehicle-km|speed|year","Survey/model outputs may require reconciliation with registration classes.","2026-07-22",""
"rail_statistics","Tier 1","Korea Railroad Research / Railway Industry Information Center","Railway statistics information","official statistics","rail","not applicable","rail service and traction activity","","","","Korea","annual","https://www.kric.go.kr/","public","Official rail information portal.","official","passenger-km|tonne-km|traction fuel|train-km|year","Fuel may be aggregate across passenger and freight services.","2026-07-22",""
