plant_code,plant_name_korean,unit_code,unit_name_korean,source_url,accessed_date
8621,하동화력,01,하동#1,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
8622,하동화력,02,하동#2,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
8623,하동화력,03,하동#3,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
8624,하동화력,04,하동#4,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
8625,하동화력,05,하동#5,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
8626,하동화력,06,하동#6,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
8627,하동화력,07,하동#7,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
8628,하동화력,08,하동#8,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
8553,남제주기력,01,남제주#1,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
8554,남제주기력,02,남제주#2,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
8581,남제주빛드림본부,5CG,남제주복합 #1 GT,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
8582,남제주빛드림본부,5CG,남제주복합 #2 GT,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
858A,남제주빛드림본부,5CS,남제주복합 #1 ST,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
8941,부산복합,1CG,부산복합CC#1,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
8942,부산복합,1CG,부산복합CC#1,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
8943,부산복합,2CG,부산복합CC#2,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
8944,부산복합,2CG,부산복합CC#2,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
8945,부산복합,3CG,부산복합CC#3,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
8946,부산복합,3CG,부산복합CC#3,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
8947,부산복합,4CG,부산복합CC#4,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
8948,부산복합,4CG,부산복합CC#4,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
8949,부산복합,1CS,부산복합CC#1,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
894A,부산복합,2CS,부산복합CC#2,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
894B,부산복합,3CS,부산복합CC#3,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
894C,부산복합,4CS,부산복합CC#4,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
8961,삼척,01,삼척#1,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
8962,삼척,02,삼척#2,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
8759,신인천복합,1CG,신인천복합2_CC#1,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
875A,신인천복합,1CG,신인천복합2_CC#1,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
875B,신인천복합,2CG,신인천복합2_CC#2,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
875C,신인천복합,2CG,신인천복합2_CC#2,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
875D,신인천복합,3CG,신인천복합2_CC#3,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
875E,신인천복합,3CG,신인천복합2_CC#3,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
875F,신인천복합,4CG,신인천복합2_CC#4,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
875G,신인천복합,4CG,신인천복합2_CC#4,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
875T,신인천복합,1CS,신인천복합2_CC#1,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
875U,신인천복합,2CS,신인천복합2_CC#2,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
875V,신인천복합,3CS,신인천복합2_CC#3,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
875W,신인천복합,4CS,신인천복합2_CC#4,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
8761,안동복합,1CG,안동복합CC#1,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
876A,안동복합,1CS,안동복합CC#1,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
9101,영월복합,1CG,영월복합1CC,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
9102,영월복합,1CG,영월복합1CC,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
9103,영월복합,1CG,영월복합1CC,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
910A,영월복합,1CS,영월복합1CC,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
8841,한림복합,1CG,한림복합CC,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
8842,한림복합,1CG,한림복합CC,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
884A,한림복합,1CS,한림복합CC,https://www.data.go.kr/data/15125317/openapi.do,2026-06-29
