Year,Province,Technology,Generation_TWh
2021,CNA,Battery,0.168679
2021,CNA,ThermalPower{Coal},130.360328
2021,CNA,ThermalPower{NaturalGas},6.926801
2021,CNA,ThermalPower{Uranium},0.282075
2021,CNA,ThermalSteam{Coal},0.243919
2021,CNA,ThermalSteam{NaturalGas},0.451002
2021,CNA,VRE,2.37072
2021,CNB,Battery,0.16665
2021,CNB,ThermalPower{Coal},0.0
2021,CNB,ThermalPower{NaturalGas},0.0
2021,CNB,ThermalPower{Uranium},0.328074
2021,CNB,ThermalSteam{Coal},0.139826
2021,CNB,ThermalSteam{NaturalGas},0.258528
2021,CNB,VRE,1.081276
2021,DJJ,Battery,0.167799
2021,DJJ,ThermalPower{Coal},0.0
2021,DJJ,ThermalPower{NaturalGas},0.0
2021,DJJ,ThermalPower{Uranium},0.304513
2021,DJJ,ThermalSteam{Coal},0.158258
2021,DJJ,ThermalSteam{NaturalGas},0.419338
2021,DJJ,VRE,0.092583
2021,GGI,Battery,0.165808
2021,GGI,ThermalPower{Coal},0.0
2021,GGI,ThermalPower{NaturalGas},88.522446
2021,GGI,ThermalPower{Uranium},0.394944
2021,GGI,ThermalSteam{Coal},0.902992
2021,GGI,ThermalSteam{NaturalGas},8.748364
2021,GGI,VRE,1.383057
2021,GNA,Battery,0.167581
2021,GNA,ThermalPower{Coal},69.772437
2021,GNA,ThermalPower{NaturalGas},0.0
2021,GNA,ThermalPower{Uranium},0.297649
2021,GNA,ThermalSteam{Coal},0.063076
2021,GNA,ThermalSteam{NaturalGas},0.116628
2021,GNA,VRE,1.567357
2021,GNB,Battery,0.167828
2021,GNB,ThermalPower{Coal},0.0
2021,GNB,ThermalPower{NaturalGas},2.744681
2021,GNB,ThermalPower{Uranium},6.602095
2021,GNB,ThermalSteam{Coal},0.374399
2021,GNB,ThermalSteam{NaturalGas},0.692255
2021,GNB,VRE,2.620782
2021,GWN,Battery,0.168198
2021,GWN,ThermalPower{Coal},29.328572
2021,GWN,ThermalPower{NaturalGas},5.720692
2021,GWN,ThermalPower{Uranium},0.293118
2021,GWN,ThermalSteam{Coal},0.191151
2021,GWN,ThermalSteam{NaturalGas},0.651514
2021,GWN,VRE,1.120357
2021,INC,Battery,0.169395
2021,INC,ThermalPower{Coal},29.76641
2021,INC,ThermalPower{NaturalGas},14.251735
2021,INC,ThermalPower{Uranium},0.278415
2021,INC,ThermalSteam{Coal},0.537455
2021,INC,ThermalSteam{NaturalGas},1.069745
2021,INC,VRE,0.173274
2021,JEJ,Battery,0.167473
2021,JEJ,ThermalPower{Coal},0.0
2021,JEJ,ThermalPower{NaturalGas},2.548664
2021,JEJ,ThermalPower{Uranium},0.246826
2021,JEJ,ThermalSteam{Coal},0.0
2021,JEJ,ThermalSteam{NaturalGas},0.0
2021,JEJ,VRE,1.248141
2021,JNA,Battery,0.167353
2021,JNA,ThermalPower{Coal},9.43367
2021,JNA,ThermalPower{NaturalGas},19.405348
2021,JNA,ThermalPower{Uranium},9.487011
2021,JNA,ThermalSteam{Coal},0.157478
2021,JNA,ThermalSteam{NaturalGas},0.843668
2021,JNA,VRE,4.954408
2021,JNB,Battery,0.167349
2021,JNB,ThermalPower{Coal},0.0
2021,JNB,ThermalPower{NaturalGas},5.584848
2021,JNB,ThermalPower{Uranium},0.298976
2021,JNB,ThermalSteam{Coal},0.183582
2021,JNB,ThermalSteam{NaturalGas},1.002241
2021,JNB,VRE,3.554259
2021,KWJ,Battery,0.167531
2021,KWJ,ThermalPower{Coal},0.0
2021,KWJ,ThermalPower{NaturalGas},0.0
2021,KWJ,ThermalPower{Uranium},0.304167
2021,KWJ,ThermalSteam{Coal},0.237087
2021,KWJ,ThermalSteam{NaturalGas},0.464769
2021,KWJ,VRE,0.174996
2021,PUS,Battery,0.167884
2021,PUS,ThermalPower{Coal},0.0
2021,PUS,ThermalPower{NaturalGas},15.287548
2021,PUS,ThermalPower{Uranium},14.215528
2021,PUS,ThermalSteam{Coal},0.045569
2021,PUS,ThermalSteam{NaturalGas},0.084256
2021,PUS,VRE,0.260907
2021,SEL,Battery,0.165763
2021,SEL,ThermalPower{Coal},0.0
2021,SEL,ThermalPower{NaturalGas},3.378736
2021,SEL,ThermalPower{Uranium},0.241055
2021,SEL,ThermalSteam{Coal},0.153495
2021,SEL,ThermalSteam{NaturalGas},0.283809
2021,SEL,VRE,0.101261
2021,SJG,Battery,0.169174
2021,SJG,ThermalPower{Coal},0.0
2021,SJG,ThermalPower{NaturalGas},3.098796
2021,SJG,ThermalPower{Uranium},0.270983
2021,SJG,ThermalSteam{Coal},0.167478
2021,SJG,ThermalSteam{NaturalGas},0.477404
2021,SJG,VRE,0.030117
2021,TAE,Battery,0.166664
2021,TAE,ThermalPower{Coal},0.0
