source_id,provider,dataset,coverage,granularity,units,source_page_url,data_endpoint_url,accessed_date,notes
epsis_annual_roster,Korea Power Exchange EPSIS,Annual generator detail roster,2012-2024,unit or component roster rows,capacity kW,https://epsis.kpx.or.kr/epsisnew/selectEkfaFclDtlChart.do?menuId=020600,https://epsis.kpx.or.kr/epsisnew/selectEkfaFclDtlGrid.do,2026-06-15,POST response is JavaScript assignments used by the public grid
epsis_annual_generation,Korea Power Exchange EPSIS,Annual capacity and generation,2002-2024,mixed unit plant and aggregate rows,MWh and kW,https://epsis.kpx.or.kr/epsisnew/selectEkgeGepGbpGrid.do?menuId=060105,https://epsis.kpx.or.kr/epsisnew/selectEkgeGepGbpGridAjax.ajax,2026-06-15,Provider labels do not guarantee uniform plant or unit granularity
epsis_snapshots,Korea Power Exchange EPSIS,Dated generator roster snapshots,2012-present,provider ZIP snapshots,provider fields,https://epsis.kpx.or.kr/epsisnew/selectEkifBoardList.do?boardId=080000&menuId=020902,https://epsis.kpx.or.kr/epsisnew/selectEkifBoardList.ajax,2026-06-15,Original ZIP attachments are preserved with checksums
cleansys_annual,Korea Environment Corporation CleanSYS,Annual TMS facility emissions,2015-2024,facility or workplace,kg/year,https://cleansys.or.kr/statAnnual.do,https://cleansys.or.kr/apiService/selectAnnualResult.do,2026-06-15,Only emissions measured by stack TMS instruments are included
env_info_annual,Ministry of Environment ENV-INFO,Verified annual environmental disclosures,2015-2024,representative company or individual site,metric tonnes/year,https://www.env-info.kr/member/open/companyTotalInfoSearch.do,https://www.env-info.kr/member/open/retrieveDoc.do,2026-06-15,NOx SOx and TSP are extracted from public detail pages
western_power_data,Korea Western Power,Monthly generation and air emissions,provider file coverage,plant or unit month,provider fields,https://www.data.go.kr/data/15099592/fileData.do,,2026-06-15,Official public-data catalog record
eastwest_power_data,Korea East-West Power,Monthly generation and air emissions,provider file coverage,plant or unit month,provider fields,https://www.data.go.kr/data/15099768/fileData.do,,2026-06-15,Official public-data catalog record
southern_power_emissions,Korea Southern Power,Air pollutant emissions,provider API coverage,source-specific,kg,https://www.data.go.kr/data/15099713/openapi.do,https://api.odcloud.kr/api/15099713/v1/uddi:e7ea7bfd-d0c4-4cb6-afea-95fa7821cb51,2026-06-15,Requires a data.go.kr service key
southern_power_generation,Korea Southern Power,Daily generation,provider API coverage,unit day,kWh,https://www.data.go.kr/data/15125305/openapi.do,http://apis.data.go.kr/B552520/GenInfo/getDataService,2026-06-15,Requires a data.go.kr service key
southeast_power_data,Korea South-East Power,Daily air pollutant measurements,2020-present,facility day,provider values,https://www.data.go.kr/data/15131510/fileData.do,,2026-06-15,Current export contains concentrations rather than documented pollutant mass
midland_power_emissions,Korea Midland Power,Air pollutant measurements,provider API coverage,source-specific,provider values,https://www.data.go.kr/data/15084758/openapi.do,,2026-06-15,Current API is insufficient for monthly mass emission factors
midland_power_generation,Korea Midland Power,Generation records,provider API coverage,source-specific,provider values,https://www.data.go.kr/data/15084753/openapi.do,,2026-06-15,Requires a data.go.kr service key
boim_history,Boim Cogeneration,Company history,company history,organization,n/a,https://www.boimkorea.com/company/history.php,,2026-06-15,Documents the December 2023 Dayone Energy to Boim name change
