"pollutant","group","break_year","bic","rss","post_median_plateau","post_p10_floor","chow_style_p_value","first_observed_year","last_observed_year","last_observed_ef","projected_2050_two_period","projected_2050_post_median"
"SOx","All fuels",2021,-94.9228277388851,0.000378054115916011,0.0928590996294943,0.086733230685939,0.000106517570911038,2015,2024,0.0844188880535297,0.0922609430514557,0.0928590996294943
"SOx","Gas",2020,-68.0527747707837,0.0022504996199944,0.0317280632561789,0.0294699080489305,0.0286319224474382,2015,2023,0.0326514076825794,0.0355343259300647,0.0317280632561789
"SOx","Anthracite",2022,-32.3330423041496,0.197603127706563,0.594295483013021,0.222498219334293,0.00372637489904718,2015,2024,0.12954890341461,0.466385943088306,0.594295483013021
"SOx","Bituminous coal",2021,-91.3533881913092,0.000540222614634029,0.108971199772451,0.103577857309796,0.000159253740216112,2015,2024,0.10129398239734,0.110582488149393,0.108971199772451
"NOx","All fuels",2020,-70.6721158239409,0.0042731585527005,0.112707161648161,0.0908808498135442,0.00312180314239744,2015,2024,0.0809364749747615,0.109708768479888,0.112707161648161
"NOx","Gas",2021,-61.0511954183499,0.0048993645169051,0.103129180748818,0.0948480052498741,0.0902638163384768,2015,2023,0.0927777113751381,0.100388294717127,0.103129180748818
"NOx","Anthracite",2019,-45.1288949684299,0.0549638308081769,0.209819762967413,0.106491211306961,0.101353538975701,2015,2024,0.00825315425785982,0.180076207419989,0.209819762967413
"NOx","Bituminous coal",2020,-68.0888276905306,0.00553273393056331,0.116233898047284,0.0882466906964046,0.00353553417332595,2015,2024,0.0767079001933706,0.113491032772819,0.116233898047284
"TSP","All fuels",2022,-116.040040519088,0.0000457556861372395,0.0099126566465019,0.00832717035774284,0.000281840925499786,2015,2024,0.0168331900903706,0.0115588818408085,0.0099126566465019
"TSP","Gas",2021,-111.582197423313,0.0000178553825632758,0.004848124120877,0.0046659209546694,0.497856604259371,2015,2023,0.004848124120877,0.00509987441652566,0.004848124120877
"TSP","Anthracite",2022,-43.8055307582777,0.0627407883636493,0.0108651329387282,0.00891401540050867,0.0147059354793099,2015,2024,0.316337425069216,0.111876264674633,0.0108651329387282
"TSP","Bituminous coal",2022,-115.140290127705,0.000050063445462321,0.0116719019573522,0.00921590057479448,0.000164516244041221,2015,2024,0.0180240832889686,0.0127659618251586,0.0116719019573522
