"fuel_clean","fuel_label","year","emissions_kg","generation_mwh","ef_kg_per_mwh","plants"
"가스","Gas",2015,31959157.9156,88305464,0.361915972896083,20
"무연탄","Anthracite",2015,3320462.0856,4911001,0.676127348701415,2
"유연탄","Bituminous coal",2015,78080484.344,165714841,0.471173757720348,6
"중유","Heavy oil",2015,2078943,4051302,0.513154289657991,3
"가스","Gas",2016,34128056.9323,87503484,0.390019406910701,20
"무연탄","Anthracite",2016,3843777.8094,5026856,0.76464848195373,2
"유연탄","Bituminous coal",2016,67607956.0039,163715276,0.412960584105175,6
"중유","Heavy oil",2016,1974614,7159246,0.27581312333729,4
"가스","Gas",2017,31509185.948,124168978.9057,0.253760530413394,57
"무연탄","Anthracite",2017,2247040.25,3875965.526,0.579736902954074,2
"유연탄","Bituminous coal",2017,52297486.306,197500345.49979,0.264796935790958,10
"중유","Heavy oil",2017,1766969,2057038.6,0.858986797817017,2
"가스","Gas",2018,21443422.11,101323083.596283,0.211634124711801,23
"무연탄","Anthracite",2018,1146479.327,2677039.928,0.428263812955725,2
"유연탄","Bituminous coal",2018,42706347.032,203372639.578242,0.209990621750129,10
"중유","Heavy oil",2018,363127,1275493.9,0.284695207088015,1
"가스","Gas",2019,16363338.906,101339529.9168,0.16147044415377,24
"가스 | 경유","Gas | Diesel",2019,1701900,580611.208,2.93122140349726,1
"경유","Diesel",2019,983000,310586.248,3.16498237230388,1
"무연탄","Anthracite",2019,535625.684,2592225.311,0.206627750190963,1
"유연탄","Bituminous coal",2019,32472561.954,193603919.840606,0.167726779399584,10
"가스","Gas",2020,12743154.971,102802997.521281,0.12395703703447,24
"경유","Diesel",2020,624400,1436803.244,0.434575856233242,2
"무연탄","Anthracite",2020,454787.924,2094210.184671,0.217164412306326,1
"유연탄","Bituminous coal",2020,21038251.384,163113958.006242,0.128978854054874,10
"가스","Gas",2021,12864333.237,122217163.649183,0.105257992027423,26
"무연탄","Anthracite",2021,427613.813,1853783.217917,0.230670883664859,1
"유류","Oil",2021,144973,118189.516487,1.22661471430883,1
"유연탄","Bituminous coal",2021,18459237.569,158811137.534859,0.116233898047284,10
"가스","Gas",2022,12079934.321,117134008.369774,0.103129180748818,26
"무연탄","Anthracite",2022,398493.877,1870759.847001,0.213011775743863,1
"유류","Oil",2022,174610,246770.229876,0.707581299769182,1
"유연탄","Bituminous coal",2022,15900124.568,150633728.18581,0.105554876450956,9
"가스","Gas",2023,10397917,112073437.0991,0.0927777113751381,27
"무연탄","Anthracite",2023,384049.093,1875887.586,0.204729268356062,1
"유류","Oil",2023,150503,311671.57959,0.482889714224135,2
"유연탄","Bituminous coal",2023,18987392,135643959.8092,0.139979635117613,9
"LNG","LNG",2024,11770718,148983022.72105,0.0790071095687126,53
"기타","Other",2024,24495,59123.643203,0.414301262117709,1
"무연탄","Anthracite",2024,16430,1990754.017999,0.00825315425785982,1
"석탄","Coal",2024,1385984,5887688.376325,0.235403763142965,9
"유류","Oil",2024,102253,77560.035336,1.31837227197005,2
"유연탄","Bituminous coal",2024,10757297,140237146.01602,0.0767079001933706,11
