"fuel_clean","fuel_label","year","emissions_kg","generation_mwh","plants"
"가스","Gas",2015,31959157.9156,88305464,20
"무연탄","Anthracite",2015,3320462.0856,4911001,2
"유연탄","Bituminous coal",2015,78080484.344,165714841,6
"중유","Heavy oil",2015,2078943,4051302,3
"가스","Gas",2016,34128056.9323,87503484,20
"무연탄","Anthracite",2016,3843777.8094,5026856,2
"유연탄","Bituminous coal",2016,67607956.0039,163715276,6
"중유","Heavy oil",2016,1974614,7159246,4
"가스","Gas",2017,31509185.948,124168978.9057,57
"무연탄","Anthracite",2017,2247040.25,3875965.526,2
"유연탄","Bituminous coal",2017,52297486.306,197500345.49979,10
"중유","Heavy oil",2017,1766969,2057038.6,2
"가스","Gas",2018,21443422.11,101323083.596283,23
"무연탄","Anthracite",2018,1146479.327,2677039.928,2
"유연탄","Bituminous coal",2018,42706347.032,203372639.578242,10
"중유","Heavy oil",2018,363127,1275493.9,1
"가스","Gas",2019,16363338.906,101339529.9168,24
"가스 | 경유","Gas | Diesel",2019,1701900,580611.208,1
"경유","Diesel",2019,983000,310586.248,1
"무연탄","Anthracite",2019,535625.684,2592225.311,1
"유연탄","Bituminous coal",2019,32472561.954,193603919.840606,10
"가스","Gas",2020,12743154.971,102802997.521281,24
"경유","Diesel",2020,624400,1436803.244,2
"무연탄","Anthracite",2020,454787.924,2094210.184671,1
"유연탄","Bituminous coal",2020,21038251.384,163113958.006242,10
"가스","Gas",2021,12864333.237,122217163.649183,26
"무연탄","Anthracite",2021,427613.813,1853783.217917,1
"유류","Oil",2021,144973,118189.516487,1
"유연탄","Bituminous coal",2021,18459237.569,158811137.534859,10
"가스","Gas",2022,10141786.53,117134008.369774,26
"무연탄","Anthracite",2022,126293.872,1870759.847001,1
"유류","Oil",2022,78911,246770.229876,1
"유연탄","Bituminous coal",2022,9421963.141,150633728.18581,9
"가스","Gas",2023,10467379,112073437.0991,27
"무연탄","Anthracite",2023,449370,1875887.586,1
"유류","Oil",2023,150504,311671.57959,2
"유연탄","Bituminous coal",2023,12978566,135643959.8092,9
"LNG","LNG",2024,12528344,148983022.72105,53
"기타","Other",2024,24495,59123.643203,1
"무연탄","Anthracite",2024,502698,1990754.017999,1
"석탄","Coal",2024,1385984,5887688.376325,9
"유류","Oil",2024,102253,77560.035336,2
"유연탄","Bituminous coal",2024,12755656,140237146.01602,11
