"fuel_clean","fuel_label","year","emissions_kg","generation_mwh","plants"
"가스","Gas",2015,16259933.0183,64618490,15
"무연탄","Anthracite",2015,1887368.9591,4911001,2
"유연탄","Bituminous coal",2015,51488351.3967,165714841,6
"중유","Heavy oil",2015,802900,4051302,3
"가스","Gas",2016,16294921.0448,64615638,15
"무연탄","Anthracite",2016,2273050.4182,5026856,2
"유연탄","Bituminous coal",2016,47298219.9475,163715276,6
"중유","Heavy oil",2016,904318,7159246,4
"가스","Gas",2017,13271042.495,79194274.613924,35
"무연탄","Anthracite",2017,2361097.16,3875965.526,2
"유연탄","Bituminous coal",2017,46362679.164,197500345.49979,10
"중유","Heavy oil",2017,768751,2057038.6,2
"가스","Gas",2018,6269110.58,63374468.928413,16
"무연탄","Anthracite",2018,1767616.959,2677039.928,2
"유연탄","Bituminous coal",2018,42705189.423,203372639.578242,10
"중유","Heavy oil",2018,157542,1275493.9,1
"가스","Gas",2019,4522720.406,54758678.36908,14
"가스 | 경유","Gas | Diesel",2019,212800,580611.208,1
"경유","Diesel",2019,3000,310586.248,1
"무연탄","Anthracite",2019,1892561.844,2592225.311,1
"유연탄","Bituminous coal",2019,30274576.747,193603919.840606,10
"가스","Gas",2020,2945992.024,59176273.853681,15
"경유","Diesel",2020,43100,1436803.244,2
"무연탄","Anthracite",2020,1449661.908,2094210.184671,1
"유연탄","Bituminous coal",2020,19906480.088,163113958.006242,10
"가스","Gas",2021,2262834.427,73457395.910803,17
"무연탄","Anthracite",2021,1268647.528,1853783.217917,1
"유류","Oil",2021,87840,118189.516487,1
"유연탄","Bituminous coal",2021,19548629.979,158811137.534859,10
"가스","Gas",2022,1688500.147,58429964.99829,16
"무연탄","Anthracite",2022,398229.611,1870759.847001,1
"유류","Oil",2022,36236,246770.229876,1
"유연탄","Bituminous coal",2022,9617156.747,150633728.18581,9
"가스","Gas",2023,1631387,49846702.3481,16
"무연탄","Anthracite",2023,1115272,1875887.586,1
"유류","Oil",2023,48872,311671.57959,2
"유연탄","Bituminous coal",2023,14189922,135643959.8092,9
"LNG","LNG",2024,2076316,65812381.173799,31
"기타","Other",2024,6161,59123.643203,1
"무연탄","Anthracite",2024,1055886,1990754.017999,1
"석탄","Coal",2024,1183580,5887688.376325,9
"유류","Oil",2024,78693,77560.035336,2
"유연탄","Bituminous coal",2024,15253257,140237146.01602,11
