"year","observed","ef_kg_per_mwh","two_period_hat","post_median_hat","pollutant","group","break_year"
2015,TRUE,0.438960767113542,0.445432848868038,0.438960767113542,"NOx","All fuels",2020
2016,TRUE,0.408323536357503,0.37296877102884,0.408323536357503,"NOx","All fuels",2020
2017,TRUE,0.26807099295559,0.300504693189642,0.26807099295559,"NOx","All fuels",2020
2018,TRUE,0.212732046850544,0.228040615350445,0.212732046850544,"NOx","All fuels",2020
2019,TRUE,0.174436122671033,0.155576537511247,0.174436122671033,"NOx","All fuels",2020
2020,TRUE,0.129377832811453,0.109708768479888,0.129377832811453,"NOx","All fuels",2020
2021,TRUE,0.112707161648161,0.109708768479888,0.112707161648161,"NOx","All fuels",2020
2022,TRUE,0.105797412071718,0.109708768479888,0.105797412071718,"NOx","All fuels",2020
2023,TRUE,0.119724960893347,0.109708768479888,0.119724960893347,"NOx","All fuels",2020
2024,TRUE,0.0809364749747615,0.109708768479888,0.0809364749747615,"NOx","All fuels",2020
2025,FALSE,,0.109708768479888,0.112707161648161,"NOx","All fuels",2020
2026,FALSE,,0.109708768479888,0.112707161648161,"NOx","All fuels",2020
2027,FALSE,,0.109708768479888,0.112707161648161,"NOx","All fuels",2020
2028,FALSE,,0.109708768479888,0.112707161648161,"NOx","All fuels",2020
2029,FALSE,,0.109708768479888,0.112707161648161,"NOx","All fuels",2020
2030,FALSE,,0.109708768479888,0.112707161648161,"NOx","All fuels",2020
2031,FALSE,,0.109708768479888,0.112707161648161,"NOx","All fuels",2020
2032,FALSE,,0.109708768479888,0.112707161648161,"NOx","All fuels",2020
2033,FALSE,,0.109708768479888,0.112707161648161,"NOx","All fuels",2020
2034,FALSE,,0.109708768479888,0.112707161648161,"NOx","All fuels",2020
2035,FALSE,,0.109708768479888,0.112707161648161,"NOx","All fuels",2020
2036,FALSE,,0.109708768479888,0.112707161648161,"NOx","All fuels",2020
2037,FALSE,,0.109708768479888,0.112707161648161,"NOx","All fuels",2020
2038,FALSE,,0.109708768479888,0.112707161648161,"NOx","All fuels",2020
2039,FALSE,,0.109708768479888,0.112707161648161,"NOx","All fuels",2020
2040,FALSE,,0.109708768479888,0.112707161648161,"NOx","All fuels",2020
2041,FALSE,,0.109708768479888,0.112707161648161,"NOx","All fuels",2020
2042,FALSE,,0.109708768479888,0.112707161648161,"NOx","All fuels",2020
2043,FALSE,,0.109708768479888,0.112707161648161,"NOx","All fuels",2020
2044,FALSE,,0.109708768479888,0.112707161648161,"NOx","All fuels",2020
2045,FALSE,,0.109708768479888,0.112707161648161,"NOx","All fuels",2020
2046,FALSE,,0.109708768479888,0.112707161648161,"NOx","All fuels",2020
2047,FALSE,,0.109708768479888,0.112707161648161,"NOx","All fuels",2020
2048,FALSE,,0.109708768479888,0.112707161648161,"NOx","All fuels",2020
2049,FALSE,,0.109708768479888,0.112707161648161,"NOx","All fuels",2020
2050,FALSE,,0.109708768479888,0.112707161648161,"NOx","All fuels",2020
