"year","observed","ef_kg_per_mwh","two_period_hat","post_median_hat","pollutant","group","break_year"
2015,TRUE,0.251629727316438,0.268847183256196,0.251629727316438,"SOx","Gas",2020
2016,TRUE,0.252182312968882,0.21971391180366,0.252182312968882,"SOx","Gas",2020
2017,TRUE,0.167575781957686,0.170580640351125,0.167575781957686,"SOx","Gas",2020
2018,TRUE,0.0989217059488342,0.121447368898589,0.0989217059488342,"SOx","Gas",2020
2019,TRUE,0.0825936735637834,0.0723140974460531,0.0825936735637834,"SOx","Gas",2020
2020,TRUE,0.049783330922191,0.035553494700615,0.049783330922191,"SOx","Gas",2020
2021,TRUE,0.0308047188297784,0.035553494700615,0.0308047188297784,"SOx","Gas",2020
2022,TRUE,0.02889784628571,0.035553494700615,0.02889784628571,"SOx","Gas",2020
2023,TRUE,0.0327280827647806,0.035553494700615,0.0327280827647806,"SOx","Gas",2020
2024,FALSE,,0.035553494700615,0.0317664007972795,"SOx","Gas",2020
2025,FALSE,,0.035553494700615,0.0317664007972795,"SOx","Gas",2020
2026,FALSE,,0.035553494700615,0.0317664007972795,"SOx","Gas",2020
2027,FALSE,,0.035553494700615,0.0317664007972795,"SOx","Gas",2020
2028,FALSE,,0.035553494700615,0.0317664007972795,"SOx","Gas",2020
2029,FALSE,,0.035553494700615,0.0317664007972795,"SOx","Gas",2020
2030,FALSE,,0.035553494700615,0.0317664007972795,"SOx","Gas",2020
2031,FALSE,,0.035553494700615,0.0317664007972795,"SOx","Gas",2020
2032,FALSE,,0.035553494700615,0.0317664007972795,"SOx","Gas",2020
2033,FALSE,,0.035553494700615,0.0317664007972795,"SOx","Gas",2020
2034,FALSE,,0.035553494700615,0.0317664007972795,"SOx","Gas",2020
2035,FALSE,,0.035553494700615,0.0317664007972795,"SOx","Gas",2020
2036,FALSE,,0.035553494700615,0.0317664007972795,"SOx","Gas",2020
2037,FALSE,,0.035553494700615,0.0317664007972795,"SOx","Gas",2020
2038,FALSE,,0.035553494700615,0.0317664007972795,"SOx","Gas",2020
2039,FALSE,,0.035553494700615,0.0317664007972795,"SOx","Gas",2020
2040,FALSE,,0.035553494700615,0.0317664007972795,"SOx","Gas",2020
2041,FALSE,,0.035553494700615,0.0317664007972795,"SOx","Gas",2020
2042,FALSE,,0.035553494700615,0.0317664007972795,"SOx","Gas",2020
2043,FALSE,,0.035553494700615,0.0317664007972795,"SOx","Gas",2020
2044,FALSE,,0.035553494700615,0.0317664007972795,"SOx","Gas",2020
2045,FALSE,,0.035553494700615,0.0317664007972795,"SOx","Gas",2020
2046,FALSE,,0.035553494700615,0.0317664007972795,"SOx","Gas",2020
2047,FALSE,,0.035553494700615,0.0317664007972795,"SOx","Gas",2020
2048,FALSE,,0.035553494700615,0.0317664007972795,"SOx","Gas",2020
2049,FALSE,,0.035553494700615,0.0317664007972795,"SOx","Gas",2020
2050,FALSE,,0.035553494700615,0.0317664007972795,"SOx","Gas",2020
