"year","observed","ef_kg_per_mwh","two_period_hat","post_median_hat","pollutant","group","break_year"
2015,TRUE,0.0193607272539727,0.0193641895090437,0.0193607272539727,"TSP","Gas",2021
2016,TRUE,0.0170221495605323,0.0171366601604855,0.0170221495605323,"TSP","Gas",2021
2017,TRUE,0.0172423676006962,0.0149091308119273,0.0172423676006962,"TSP","Gas",2021
2018,TRUE,0.00945942008001736,0.0126816014633692,0.00945942008001736,"TSP","Gas",2021
2019,TRUE,0.010374078190376,0.010454072114811,0.010374078190376,"TSP","Gas",2021
2020,TRUE,0.00931345414029501,0.00822654276625282,0.00931345414029501,"TSP","Gas",2021
2021,TRUE,0.0058311289655825,0.00509987441652566,0.0058311289655825,"TSP","Gas",2021
2022,TRUE,0.0046203701631175,0.00509987441652566,0.0046203701631175,"TSP","Gas",2021
2023,TRUE,0.004848124120877,0.00509987441652566,0.004848124120877,"TSP","Gas",2021
2024,FALSE,,0.00509987441652566,0.004848124120877,"TSP","Gas",2021
2025,FALSE,,0.00509987441652566,0.004848124120877,"TSP","Gas",2021
2026,FALSE,,0.00509987441652566,0.004848124120877,"TSP","Gas",2021
2027,FALSE,,0.00509987441652566,0.004848124120877,"TSP","Gas",2021
2028,FALSE,,0.00509987441652566,0.004848124120877,"TSP","Gas",2021
2029,FALSE,,0.00509987441652566,0.004848124120877,"TSP","Gas",2021
2030,FALSE,,0.00509987441652566,0.004848124120877,"TSP","Gas",2021
2031,FALSE,,0.00509987441652566,0.004848124120877,"TSP","Gas",2021
2032,FALSE,,0.00509987441652566,0.004848124120877,"TSP","Gas",2021
2033,FALSE,,0.00509987441652566,0.004848124120877,"TSP","Gas",2021
2034,FALSE,,0.00509987441652566,0.004848124120877,"TSP","Gas",2021
2035,FALSE,,0.00509987441652566,0.004848124120877,"TSP","Gas",2021
2036,FALSE,,0.00509987441652566,0.004848124120877,"TSP","Gas",2021
2037,FALSE,,0.00509987441652566,0.004848124120877,"TSP","Gas",2021
2038,FALSE,,0.00509987441652566,0.004848124120877,"TSP","Gas",2021
2039,FALSE,,0.00509987441652566,0.004848124120877,"TSP","Gas",2021
2040,FALSE,,0.00509987441652566,0.004848124120877,"TSP","Gas",2021
2041,FALSE,,0.00509987441652566,0.004848124120877,"TSP","Gas",2021
2042,FALSE,,0.00509987441652566,0.004848124120877,"TSP","Gas",2021
2043,FALSE,,0.00509987441652566,0.004848124120877,"TSP","Gas",2021
2044,FALSE,,0.00509987441652566,0.004848124120877,"TSP","Gas",2021
2045,FALSE,,0.00509987441652566,0.004848124120877,"TSP","Gas",2021
2046,FALSE,,0.00509987441652566,0.004848124120877,"TSP","Gas",2021
2047,FALSE,,0.00509987441652566,0.004848124120877,"TSP","Gas",2021
2048,FALSE,,0.00509987441652566,0.004848124120877,"TSP","Gas",2021
2049,FALSE,,0.00509987441652566,0.004848124120877,"TSP","Gas",2021
2050,FALSE,,0.00509987441652566,0.004848124120877,"TSP","Gas",2021
