"pollutant","group","break_year","bic","rss","post_median_plateau","post_p10_floor","chow_style_p_value","first_observed_year","last_observed_year","last_observed_ef","projected_2050_two_period","projected_2050_post_median"
"SOx","All fuels",2021,-81.8097105562298,0.00140297332548411,0.0911579707170003,0.0660657680840322,0.00493126423528247,2015,2024,0.0918128831661078,0.0842038175117065,0.0911579707170003
"SOx","Gas",2020,-68.0545252990856,0.00225006193330836,0.0317664007972795,0.0294699080489305,0.0285999717010411,2015,2023,0.0327280827647806,0.035553494700615,0.0317664007972795
"SOx","Anthracite",2022,-38.4053568733112,0.107665495495741,0.530395011364247,0.276375413814245,0.01378876511887,2015,2024,0.530395011364247,0.445931940282958,0.530395011364247
"SOx","Bituminous coal",2021,-77.1718089854483,0.00223085282596918,0.106689561506995,0.0760747094061542,0.0166325973513952,2015,2024,0.108767594273899,0.10007933441166,0.106689561506995
"NOx","All fuels",2021,-69.6305445133739,0.00474224376923713,0.0940321832148796,0.0788279866656027,0.00737019207032126,2015,2024,0.0918445099780516,0.0935052511881181,0.0940321832148796
"NOx","Gas",2021,-60.8883098409577,0.00498884242436295,0.0933975014145797,0.0879457137158854,0.101877751995615,2015,2023,0.0933975014145797,0.0950794200777382,0.0933975014145797
"NOx","Anthracite",2019,-47.7642972066669,0.042230179666457,0.223917647985592,0.137068574343079,0.0237779384703079,2015,2024,0.252516380956641,0.202339904556963,0.223917647985592
"NOx","Bituminous coal",2020,-67.6728136714837,0.00576775819289871,0.0956811200311165,0.0739123988308503,0.00397564193018321,2015,2024,0.0909577552194542,0.0988800910515686,0.0956811200311165
"TSP","All fuels",2022,-138.457523667992,0.00000486257316812598,0.00647748228801923,0.00519122902737255,0.0155133718885226,2015,2024,0.00647748228801923,0.00617452667881249,0.00647748228801923
"TSP","Gas",2021,-111.606729836114,0.0000178067782128406,0.00496175250015164,0.00468864663052433,0.479453624321429,2015,2023,0.00496175250015164,0.00513775054295054,0.00496175250015164
"TSP","Anthracite",2019,-107.636690547465,0.000106022471646978,0.00947242485225824,0.00502887033570991,0.23869699921887,2015,2024,0.0146557534161484,0.0093124934499577,0.00947242485225824
"TSP","Bituminous coal",2022,-133.378603745311,0.00000808054845666141,0.0064423943702961,0.00523077123017407,0.0766351915790715,2015,2024,0.0064423943702961,0.00639862148202355,0.0064423943702961
