"fuel_clean","fuel_label","year","generation_mwh","plants"
"LNG","LNG",2024,155228756.24659,56
"가스","Gas",2015,98493985,22
"가스","Gas",2016,94665445,21
"가스","Gas",2017,130736134.046932,61
"가스","Gas",2018,116734539.873789,28
"가스","Gas",2019,109315648.471972,27
"가스","Gas",2020,110257469.784315,27
"가스","Gas",2021,130134598.476213,28
"가스","Gas",2022,123598686.229954,28
"가스","Gas",2023,117814175.69163,29
"가스 | 경유","Gas | Diesel",2019,580611.208,1
"경유","Diesel",2015,225143,40
"경유","Diesel",2016,226042,40
"경유","Diesel",2019,310586.248,1
"경유","Diesel",2020,1436803.244,2
"기타","Other",2024,59123.643203,1
"무연탄","Anthracite",2015,7438271,3
"무연탄","Anthracite",2016,7760681,3
"무연탄","Anthracite",2017,3875965.526,2
"무연탄","Anthracite",2018,2677039.928,2
"무연탄","Anthracite",2019,2592225.311,2
"무연탄","Anthracite",2020,2094210.184671,1
"무연탄","Anthracite",2021,1853783.217917,1
"무연탄","Anthracite",2022,1870759.847001,1
"무연탄","Anthracite",2023,1875887.586,1
"무연탄","Anthracite",2024,1990754.017999,1
"석탄","Coal",2024,6828502.067105,11
"유류","Oil",2021,140531.533583,2
"유류","Oil",2022,311519.690652,2
"유류","Oil",2023,311671.57959,2
"유류","Oil",2024,96501.408376,4
"유연탄","Bituminous coal",2015,165714841,6
"유연탄","Bituminous coal",2016,163715276,6
"유연탄","Bituminous coal",2017,197500345.49979,10
"유연탄","Bituminous coal",2018,203372639.578242,10
"유연탄","Bituminous coal",2019,193603919.840606,10
"유연탄","Bituminous coal",2020,163113958.006242,10
"유연탄","Bituminous coal",2021,158811137.534859,10
"유연탄","Bituminous coal",2022,150633728.18581,9
"유연탄","Bituminous coal",2023,135643959.8092,9
"유연탄","Bituminous coal",2024,140237146.01602,11
"중유","Heavy oil",2015,4450781,4
"중유","Heavy oil",2016,7481716,5
"중유","Heavy oil",2017,2299802.1,3
"중유","Heavy oil",2018,1275493.9,1
