"fuel_clean","fuel_label","year","emissions_kg","generation_mwh","ef_kg_per_mwh","plants"
"가스","Gas",2015,631403.5762,32612596,0.0193607272539727,9
"무연탄","Anthracite",2015,67399.2481,4911001,0.013724136504961,2
"유연탄","Bituminous coal",2015,2776480.5539,165714841,0.0167545678899091,6
"중유","Heavy oil",2015,17159,3254709,0.00527205350770222,2
"가스","Gas",2016,574771.1617,33766074,0.0170221495605323,9
"무연탄","Anthracite",2016,91701.3221,5026856,0.0182422814777268,2
"유연탄","Bituminous coal",2016,2238259.0497,163715276,0.0136716566980591,6
"중유","Heavy oil",2016,22288,6368873,0.00349952024479056,3
"가스","Gas",2017,667480.718,38711662.658964,0.0172423676006962,22
"무연탄","Anthracite",2017,48119.275,3875965.526,0.0124147840524421,2
"유연탄","Bituminous coal",2017,2378227.084,197500345.49979,0.0120416350562917,10
"중유","Heavy oil",2017,15121,1252714.6,0.0120705865486041,1
"가스","Gas",2018,357800.203,37824750.351857,0.00945942008001736,9
"무연탄","Anthracite",2018,38494.117,2677039.928,0.0143793585584503,2
"유연탄","Bituminous coal",2018,2378845.307,203372639.578242,0.0116969780789259,10
"중유","Heavy oil",2018,16025,1275493.9,0.0125637605950134,1
"가스","Gas",2019,329680.642,31779270.98196,0.010374078190376,9
"무연탄","Anthracite",2019,24183.594,2592225.311,0.00932927932513348,1
"유연탄","Bituminous coal",2019,1867740.515,193603919.840606,0.00964722468707096,10
"가스","Gas",2020,280885.058,30159063.841281,0.00931345414029501,9
"경유","Diesel",2020,0,496875.4,0,1
"무연탄","Anthracite",2020,16105.437,2094210.184671,0.00769045873135707,1
"유연탄","Bituminous coal",2020,1335230.313,163113958.006242,0.00818587403138672,10
"가스","Gas",2021,204630.216,35092726.847203,0.0058311289655825,9
"무연탄","Anthracite",2021,17825.183,1853783.217917,0.009615570379383,1
"유류","Oil",2021,12711,118189.516487,0.107547609786509,1
"유연탄","Bituminous coal",2021,1329366.363,158811137.534859,0.00837073761724177,10
"가스","Gas",2022,162536.796,35178306.12306,0.0046203701631175,9
"무연탄","Anthracite",2022,4428.616,1870759.847001,0.00236728194006274,1
"유류","Oil",2022,5886,246770.229876,0.0238521478176588,1
"유연탄","Bituminous coal",2022,742302.744,150633728.18581,0.00492786544514356,9
"가스","Gas",2023,247327,49846702.3481,0.00496175250015164,16
"무연탄","Anthracite",2023,22917,1875887.586,0.0122166169076615,1
"유류","Oil",2023,15120,311671.57959,0.0485126042608382,2
"유연탄","Bituminous coal",2023,1061496,135643959.8092,0.007825604630631,9
"LNG","LNG",2024,349127,65812381.173799,0.0053048832723134,31
"기타","Other",2024,1292,59123.643203,0.0218525099267638,1
"무연탄","Anthracite",2024,29176,1990754.017999,0.0146557534161484,1
"석탄","Coal",2024,101049,5887688.376325,0.0171627629625115,9
"유류","Oil",2024,2493,77560.035336,0.0321428424987173,2
"유연탄","Bituminous coal",2024,903463,140237146.01602,0.0064423943702961,11
