"fuel_clean","fuel_label","year","emissions_kg","generation_mwh","plants"
"가스","Gas",2015,631403.5762,32612596,9
"무연탄","Anthracite",2015,67399.2481,4911001,2
"유연탄","Bituminous coal",2015,2776480.5539,165714841,6
"중유","Heavy oil",2015,17159,3254709,2
"가스","Gas",2016,574771.1617,33766074,9
"무연탄","Anthracite",2016,91701.3221,5026856,2
"유연탄","Bituminous coal",2016,2238259.0497,163715276,6
"중유","Heavy oil",2016,22288,6368873,3
"가스","Gas",2017,667480.718,38711662.658964,22
"무연탄","Anthracite",2017,48119.275,3875965.526,2
"유연탄","Bituminous coal",2017,2378227.084,197500345.49979,10
"중유","Heavy oil",2017,15121,1252714.6,1
"가스","Gas",2018,357800.203,37824750.351857,9
"무연탄","Anthracite",2018,38494.117,2677039.928,2
"유연탄","Bituminous coal",2018,2378845.307,203372639.578242,10
"중유","Heavy oil",2018,16025,1275493.9,1
"가스","Gas",2019,329680.642,31779270.98196,9
"무연탄","Anthracite",2019,24183.594,2592225.311,1
"유연탄","Bituminous coal",2019,1867740.515,193603919.840606,10
"가스","Gas",2020,280885.058,30159063.841281,9
"경유","Diesel",2020,0,496875.4,1
"무연탄","Anthracite",2020,16105.437,2094210.184671,1
"유연탄","Bituminous coal",2020,1335230.313,163113958.006242,10
"가스","Gas",2021,204630.216,35092726.847203,9
"무연탄","Anthracite",2021,17825.183,1853783.217917,1
"유류","Oil",2021,12711,118189.516487,1
"유연탄","Bituminous coal",2021,1329366.363,158811137.534859,10
"가스","Gas",2022,162536.796,35178306.12306,9
"무연탄","Anthracite",2022,4428.616,1870759.847001,1
"유류","Oil",2022,5886,246770.229876,1
"유연탄","Bituminous coal",2022,742302.744,150633728.18581,9
"가스","Gas",2023,247327,49846702.3481,16
"무연탄","Anthracite",2023,22917,1875887.586,1
"유류","Oil",2023,15120,311671.57959,2
"유연탄","Bituminous coal",2023,1061496,135643959.8092,9
"LNG","LNG",2024,349127,65812381.173799,31
"기타","Other",2024,1292,59123.643203,1
"무연탄","Anthracite",2024,29176,1990754.017999,1
"석탄","Coal",2024,101049,5887688.376325,9
"유류","Oil",2024,2493,77560.035336,2
"유연탄","Bituminous coal",2024,903463,140237146.01602,11
