"year","observed","ef_kg_per_mwh","two_period_hat","post_median_hat","pollutant","group","break_year"
2015,TRUE,0.438960767113542,0.436620396841485,0.438960767113542,"NOx","All fuels",2021
2016,TRUE,0.408323536357503,0.370765658022202,0.408323536357503,"NOx","All fuels",2021
2017,TRUE,0.26807099295559,0.304910919202919,0.26807099295559,"NOx","All fuels",2021
2018,TRUE,0.212732046850544,0.239056180383636,0.212732046850544,"NOx","All fuels",2021
2019,TRUE,0.174436122671033,0.173201441564353,0.174436122671033,"NOx","All fuels",2021
2020,TRUE,0.129377832811453,0.10734670274507,0.129377832811453,"NOx","All fuels",2021
2021,TRUE,0.112707161648161,0.0935052511881181,0.112707161648161,"NOx","All fuels",2021
2022,TRUE,0.0732494766745531,0.0935052511881181,0.0732494766745531,"NOx","All fuels",2021
2023,TRUE,0.0962198564517076,0.0935052511881181,0.0962198564517076,"NOx","All fuels",2021
2024,TRUE,0.0918445099780516,0.0935052511881181,0.0918445099780516,"NOx","All fuels",2021
2025,FALSE,,0.0935052511881181,0.0940321832148796,"NOx","All fuels",2021
2026,FALSE,,0.0935052511881181,0.0940321832148796,"NOx","All fuels",2021
2027,FALSE,,0.0935052511881181,0.0940321832148796,"NOx","All fuels",2021
2028,FALSE,,0.0935052511881181,0.0940321832148796,"NOx","All fuels",2021
2029,FALSE,,0.0935052511881181,0.0940321832148796,"NOx","All fuels",2021
2030,FALSE,,0.0935052511881181,0.0940321832148796,"NOx","All fuels",2021
2031,FALSE,,0.0935052511881181,0.0940321832148796,"NOx","All fuels",2021
2032,FALSE,,0.0935052511881181,0.0940321832148796,"NOx","All fuels",2021
2033,FALSE,,0.0935052511881181,0.0940321832148796,"NOx","All fuels",2021
2034,FALSE,,0.0935052511881181,0.0940321832148796,"NOx","All fuels",2021
2035,FALSE,,0.0935052511881181,0.0940321832148796,"NOx","All fuels",2021
2036,FALSE,,0.0935052511881181,0.0940321832148796,"NOx","All fuels",2021
2037,FALSE,,0.0935052511881181,0.0940321832148796,"NOx","All fuels",2021
2038,FALSE,,0.0935052511881181,0.0940321832148796,"NOx","All fuels",2021
2039,FALSE,,0.0935052511881181,0.0940321832148796,"NOx","All fuels",2021
2040,FALSE,,0.0935052511881181,0.0940321832148796,"NOx","All fuels",2021
2041,FALSE,,0.0935052511881181,0.0940321832148796,"NOx","All fuels",2021
2042,FALSE,,0.0935052511881181,0.0940321832148796,"NOx","All fuels",2021
2043,FALSE,,0.0935052511881181,0.0940321832148796,"NOx","All fuels",2021
2044,FALSE,,0.0935052511881181,0.0940321832148796,"NOx","All fuels",2021
2045,FALSE,,0.0935052511881181,0.0940321832148796,"NOx","All fuels",2021
2046,FALSE,,0.0935052511881181,0.0940321832148796,"NOx","All fuels",2021
2047,FALSE,,0.0935052511881181,0.0940321832148796,"NOx","All fuels",2021
2048,FALSE,,0.0935052511881181,0.0940321832148796,"NOx","All fuels",2021
2049,FALSE,,0.0935052511881181,0.0940321832148796,"NOx","All fuels",2021
2050,FALSE,,0.0935052511881181,0.0940321832148796,"NOx","All fuels",2021
