"year","observed","ef_kg_per_mwh","two_period_hat","post_median_hat","pollutant","group","break_year"
2015,TRUE,0.294357871042896,0.303213415529515,0.294357871042896,"SOx","All fuels",2021
2016,TRUE,0.277612413961181,0.26435600146937,0.277612413961181,"SOx","All fuels",2021
2017,TRUE,0.222071603891651,0.225498587409226,0.222071603891651,"SOx","All fuels",2021
2018,TRUE,0.188029280434272,0.186641173349081,0.188029280434272,"SOx","All fuels",2021
2019,TRUE,0.146540568137133,0.147783759288936,0.146540568137133,"SOx","All fuels",2021
2020,TRUE,0.107807544807785,0.108926345228791,0.107807544807785,"SOx","All fuels",2021
2021,TRUE,0.0989066848933048,0.0842038175117065,0.0989066848933048,"SOx","All fuels",2021
2022,TRUE,0.0555926437195204,0.0842038175117065,0.0555926437195204,"SOx","All fuels",2021
2023,TRUE,0.0905030582678928,0.0842038175117065,0.0905030582678928,"SOx","All fuels",2021
2024,TRUE,0.0918128831661078,0.0842038175117065,0.0918128831661078,"SOx","All fuels",2021
2025,FALSE,,0.0842038175117065,0.0911579707170003,"SOx","All fuels",2021
2026,FALSE,,0.0842038175117065,0.0911579707170003,"SOx","All fuels",2021
2027,FALSE,,0.0842038175117065,0.0911579707170003,"SOx","All fuels",2021
2028,FALSE,,0.0842038175117065,0.0911579707170003,"SOx","All fuels",2021
2029,FALSE,,0.0842038175117065,0.0911579707170003,"SOx","All fuels",2021
2030,FALSE,,0.0842038175117065,0.0911579707170003,"SOx","All fuels",2021
2031,FALSE,,0.0842038175117065,0.0911579707170003,"SOx","All fuels",2021
2032,FALSE,,0.0842038175117065,0.0911579707170003,"SOx","All fuels",2021
2033,FALSE,,0.0842038175117065,0.0911579707170003,"SOx","All fuels",2021
2034,FALSE,,0.0842038175117065,0.0911579707170003,"SOx","All fuels",2021
2035,FALSE,,0.0842038175117065,0.0911579707170003,"SOx","All fuels",2021
2036,FALSE,,0.0842038175117065,0.0911579707170003,"SOx","All fuels",2021
2037,FALSE,,0.0842038175117065,0.0911579707170003,"SOx","All fuels",2021
2038,FALSE,,0.0842038175117065,0.0911579707170003,"SOx","All fuels",2021
2039,FALSE,,0.0842038175117065,0.0911579707170003,"SOx","All fuels",2021
2040,FALSE,,0.0842038175117065,0.0911579707170003,"SOx","All fuels",2021
2041,FALSE,,0.0842038175117065,0.0911579707170003,"SOx","All fuels",2021
2042,FALSE,,0.0842038175117065,0.0911579707170003,"SOx","All fuels",2021
2043,FALSE,,0.0842038175117065,0.0911579707170003,"SOx","All fuels",2021
2044,FALSE,,0.0842038175117065,0.0911579707170003,"SOx","All fuels",2021
2045,FALSE,,0.0842038175117065,0.0911579707170003,"SOx","All fuels",2021
2046,FALSE,,0.0842038175117065,0.0911579707170003,"SOx","All fuels",2021
2047,FALSE,,0.0842038175117065,0.0911579707170003,"SOx","All fuels",2021
2048,FALSE,,0.0842038175117065,0.0911579707170003,"SOx","All fuels",2021
2049,FALSE,,0.0842038175117065,0.0911579707170003,"SOx","All fuels",2021
2050,FALSE,,0.0842038175117065,0.0911579707170003,"SOx","All fuels",2021
