"year","observed","ef_kg_per_mwh","two_period_hat","post_median_hat","pollutant","group","break_year"
2015,TRUE,0.0169131151756818,0.0160306784181225,0.0169131151756818,"TSP","All fuels",2022
2016,TRUE,0.0140131198095699,0.0145566190175437,0.0140131198095699,"TSP","All fuels",2022
2017,TRUE,0.0128819889389385,0.013082559616965,0.0128819889389385,"TSP","All fuels",2022
2018,TRUE,0.0113855414850309,0.0116085002163862,0.0113855414850309,"TSP","All fuels",2022
2019,TRUE,0.00974493122406851,0.0101344408158075,0.00974493122406851,"TSP","All fuels",2022
2020,TRUE,0.00833343499939139,0.0086603814152287,0.00833343499939139,"TSP","All fuels",2022
2021,TRUE,0.00798736988202247,0.00718632201464995,0.00798736988202247,"TSP","All fuels",2022
2022,TRUE,0.00486966571221088,0.00617452667881249,0.00486966571221088,"TSP","All fuels",2022
2023,TRUE,0.00717643203620734,0.00617452667881249,0.00717643203620734,"TSP","All fuels",2022
2024,TRUE,0.00647748228801923,0.00617452667881249,0.00647748228801923,"TSP","All fuels",2022
2025,FALSE,,0.00617452667881249,0.00647748228801923,"TSP","All fuels",2022
2026,FALSE,,0.00617452667881249,0.00647748228801923,"TSP","All fuels",2022
2027,FALSE,,0.00617452667881249,0.00647748228801923,"TSP","All fuels",2022
2028,FALSE,,0.00617452667881249,0.00647748228801923,"TSP","All fuels",2022
2029,FALSE,,0.00617452667881249,0.00647748228801923,"TSP","All fuels",2022
2030,FALSE,,0.00617452667881249,0.00647748228801923,"TSP","All fuels",2022
2031,FALSE,,0.00617452667881249,0.00647748228801923,"TSP","All fuels",2022
2032,FALSE,,0.00617452667881249,0.00647748228801923,"TSP","All fuels",2022
2033,FALSE,,0.00617452667881249,0.00647748228801923,"TSP","All fuels",2022
2034,FALSE,,0.00617452667881249,0.00647748228801923,"TSP","All fuels",2022
2035,FALSE,,0.00617452667881249,0.00647748228801923,"TSP","All fuels",2022
2036,FALSE,,0.00617452667881249,0.00647748228801923,"TSP","All fuels",2022
2037,FALSE,,0.00617452667881249,0.00647748228801923,"TSP","All fuels",2022
2038,FALSE,,0.00617452667881249,0.00647748228801923,"TSP","All fuels",2022
2039,FALSE,,0.00617452667881249,0.00647748228801923,"TSP","All fuels",2022
2040,FALSE,,0.00617452667881249,0.00647748228801923,"TSP","All fuels",2022
2041,FALSE,,0.00617452667881249,0.00647748228801923,"TSP","All fuels",2022
2042,FALSE,,0.00617452667881249,0.00647748228801923,"TSP","All fuels",2022
2043,FALSE,,0.00617452667881249,0.00647748228801923,"TSP","All fuels",2022
2044,FALSE,,0.00617452667881249,0.00647748228801923,"TSP","All fuels",2022
2045,FALSE,,0.00617452667881249,0.00647748228801923,"TSP","All fuels",2022
2046,FALSE,,0.00617452667881249,0.00647748228801923,"TSP","All fuels",2022
2047,FALSE,,0.00617452667881249,0.00647748228801923,"TSP","All fuels",2022
2048,FALSE,,0.00617452667881249,0.00647748228801923,"TSP","All fuels",2022
2049,FALSE,,0.00617452667881249,0.00647748228801923,"TSP","All fuels",2022
2050,FALSE,,0.00617452667881249,0.00647748228801923,"TSP","All fuels",2022
