"year","observed","ef_kg_per_mwh","two_period_hat","post_median_hat","pollutant","group","break_year"
2015,TRUE,0.013724136504961,0.0152694148381176,0.013724136504961,"TSP","Anthracite",2019
2016,TRUE,0.0182422814777268,0.0148832317116359,0.0182422814777268,"TSP","Anthracite",2019
2017,TRUE,0.0124147840524421,0.0144970485851542,0.0124147840524421,"TSP","Anthracite",2019
2018,TRUE,0.0143793585584503,0.0141108654586725,0.0143793585584503,"TSP","Anthracite",2019
2019,TRUE,0.00932927932513348,0.0093124934499577,0.00932927932513348,"TSP","Anthracite",2019
2020,TRUE,0.00769045873135707,0.0093124934499577,0.00769045873135707,"TSP","Anthracite",2019
2021,TRUE,0.009615570379383,0.0093124934499577,0.009615570379383,"TSP","Anthracite",2019
2022,TRUE,0.00236728194006274,0.0093124934499577,0.00236728194006274,"TSP","Anthracite",2019
2023,TRUE,0.0122166169076615,0.0093124934499577,0.0122166169076615,"TSP","Anthracite",2019
2024,TRUE,0.0146557534161484,0.0093124934499577,0.0146557534161484,"TSP","Anthracite",2019
2025,FALSE,,0.0093124934499577,0.00947242485225824,"TSP","Anthracite",2019
2026,FALSE,,0.0093124934499577,0.00947242485225824,"TSP","Anthracite",2019
2027,FALSE,,0.0093124934499577,0.00947242485225824,"TSP","Anthracite",2019
2028,FALSE,,0.0093124934499577,0.00947242485225824,"TSP","Anthracite",2019
2029,FALSE,,0.0093124934499577,0.00947242485225824,"TSP","Anthracite",2019
2030,FALSE,,0.0093124934499577,0.00947242485225824,"TSP","Anthracite",2019
2031,FALSE,,0.0093124934499577,0.00947242485225824,"TSP","Anthracite",2019
2032,FALSE,,0.0093124934499577,0.00947242485225824,"TSP","Anthracite",2019
2033,FALSE,,0.0093124934499577,0.00947242485225824,"TSP","Anthracite",2019
2034,FALSE,,0.0093124934499577,0.00947242485225824,"TSP","Anthracite",2019
2035,FALSE,,0.0093124934499577,0.00947242485225824,"TSP","Anthracite",2019
2036,FALSE,,0.0093124934499577,0.00947242485225824,"TSP","Anthracite",2019
2037,FALSE,,0.0093124934499577,0.00947242485225824,"TSP","Anthracite",2019
2038,FALSE,,0.0093124934499577,0.00947242485225824,"TSP","Anthracite",2019
2039,FALSE,,0.0093124934499577,0.00947242485225824,"TSP","Anthracite",2019
2040,FALSE,,0.0093124934499577,0.00947242485225824,"TSP","Anthracite",2019
2041,FALSE,,0.0093124934499577,0.00947242485225824,"TSP","Anthracite",2019
2042,FALSE,,0.0093124934499577,0.00947242485225824,"TSP","Anthracite",2019
2043,FALSE,,0.0093124934499577,0.00947242485225824,"TSP","Anthracite",2019
2044,FALSE,,0.0093124934499577,0.00947242485225824,"TSP","Anthracite",2019
2045,FALSE,,0.0093124934499577,0.00947242485225824,"TSP","Anthracite",2019
2046,FALSE,,0.0093124934499577,0.00947242485225824,"TSP","Anthracite",2019
2047,FALSE,,0.0093124934499577,0.00947242485225824,"TSP","Anthracite",2019
2048,FALSE,,0.0093124934499577,0.00947242485225824,"TSP","Anthracite",2019
2049,FALSE,,0.0093124934499577,0.00947242485225824,"TSP","Anthracite",2019
2050,FALSE,,0.0093124934499577,0.00947242485225824,"TSP","Anthracite",2019
