"plant_name","fuel_type_clean","date"
"Namjeju Steam","bio_oil_and_diesel","2010-01-01 to 2025-12-01"
"Yeongdong","biomass","2020-07-01 to 2026-05-01"
"Dangjin","coal","2010-01-01 to 2024-12-01"
"Donghae","coal","2010-01-01 to 2024-12-01"
"Hadong","coal","2010-01-01 to 2025-12-01"
"Honam","coal","2010-01-01 to 2021-12-01"
"Samcheok","coal","2017-03-01 to 2025-12-01"
"Samcheonpo","coal","2020-07-01 to 2026-05-01"
"Seocheon","coal","2024-01-01 to 2025-06-01"
"Taean","coal","2008-01-01 to 2025-06-01"
"Yeongdong","coal","2020-07-01 to 2020-08-01"
"Yeongheung","coal","2020-07-01 to 2026-05-01"
"Yeosu","coal","2020-07-01 to 2026-05-01"
"Andong","natural_gas","2014-05-01 to 2025-12-01"
"Bundang","natural_gas","2020-07-01 to 2026-05-01"
"Busan","natural_gas","2010-01-01 to 2025-12-01"
"Gimpo","natural_gas","2024-01-01 to 2025-03-01"
"Gunsan","natural_gas","2010-08-01 to 2025-06-01"
"Hallim","natural_gas","2020-07-01 to 2025-12-01"
"Ilsan","natural_gas","2010-01-01 to 2024-12-01"
"Incheon","natural_gas","2012-01-01 to 2025-06-01"
"Jeju","natural_gas","2024-01-01 to 2025-06-01"
"Namjeju Combined","natural_gas","2024-01-01 to 2025-12-01"
"Pyeongtaek","natural_gas","2005-04-01 to 2025-06-01"
"Sejong","natural_gas","2024-01-01 to 2025-06-01"
"Seoincheon","natural_gas","2002-01-01 to 2025-06-01"
"Shin-Incheon","natural_gas","2010-01-01 to 2025-12-01"
"Ulsan","natural_gas","2010-01-01 to 2024-12-01"
"Yeongwol","natural_gas","2010-11-01 to 2025-09-01"
"Jeju","oil","2024-01-01 to 2025-06-01"
"Ulsan","oil","2010-01-01 to 2022-01-01"
"Pyeongtaek","oil_and_natural_gas","2005-01-01 to 2020-02-01"
