"source_dataset","date","plant_name","plant_number","energy_type_clean","energy_generated_mwh","emissions_kg","ef_kg_per_mwh","audit_severity","audit_issue_codes","pollutant"
"western_power",2007-03-01,"Pyeongtaek",4,"oil_and_natural_gas",246406,220600,0.895270407376444,"warning","high_dust_tsp_mass;high_sox_emission_factor;high_sox_mass","SOx"
"eastwest_power",2010-01-01,"Ulsan",2,"oil",37893.208,62584.3077,1.65159697484573,"warning","high_sox_emission_factor","SOx"
"eastwest_power",2010-02-01,"Honam",1,"coal",161600.228,326163.0782,2.0183330323024,"warning","high_nox_emission_factor;high_sox_emission_factor","SOx"
"eastwest_power",2010-02-01,"Ulsan",2,"oil",21596.708,35239.3942,1.63170211867475,"warning","high_sox_emission_factor","SOx"
"eastwest_power",2010-03-01,"Honam",1,"coal",178639.057,348406.0465,1.95033523100158,"warning","high_nox_emission_factor;high_sox_emission_factor;high_sox_mass","SOx"
"eastwest_power",2010-03-01,"Ulsan",2,"oil",22276.542,38686.6203,1.7366528566238,"warning","high_sox_emission_factor","SOx"
"eastwest_power",2010-04-01,"Honam",1,"coal",32017.692,66870.3617,2.0885440993061,"warning","high_nox_emission_factor;high_sox_emission_factor","SOx"
"eastwest_power",2010-04-01,"Ulsan",2,"oil",7309.123,13317.7953,1.82207842172036,"warning","high_nox_emission_factor;high_sox_emission_factor","SOx"
"eastwest_power",2010-06-01,"Honam",2,"coal",14948.113,34088.5549,2.28045873750085,"warning","high_nox_emission_factor;high_sox_emission_factor","SOx"
"eastwest_power",2010-06-01,"Ulsan",2,"oil",9558.667,15106.1847,1.58036520154955,"warning","high_sox_emission_factor","SOx"
"eastwest_power",2010-09-01,"Honam",1,"coal",172748.793,336002.7634,1.94503682234121,"warning","high_sox_emission_factor","SOx"
"eastwest_power",2010-09-01,"Honam",2,"coal",150372.066,336667.2238,2.23889471466063,"warning","high_sox_emission_factor","SOx"
"eastwest_power",2010-10-01,"Honam",1,"coal",184878.764,369988.9198,2.00125158668845,"warning","high_sox_emission_factor;high_sox_mass","SOx"
"eastwest_power",2010-10-01,"Honam",2,"coal",179102.221,417291.3267,2.3299059295306,"warning","high_dust_tsp_mass;high_sox_emission_factor;high_sox_mass","SOx"
