"energy_type_clean","date","emissions_kg","generation_mwh","emissions_kg_ma6"
"natural_gas",2002-01-01,176500,329376,176500
"natural_gas",2002-02-01,132500,212606,154500
"natural_gas",2002-03-01,174000,281808,161000
"natural_gas",2002-04-01,180600,272163,165900
"natural_gas",2002-05-01,176000,273185,167920
"natural_gas",2002-06-01,199000,323814,173100
"natural_gas",2002-07-01,228700,498912,181800
"natural_gas",2002-08-01,253100,568461,201900
"natural_gas",2002-09-01,135000,305790,195400
"natural_gas",2002-10-01,152900,318941,190783.333333333
"natural_gas",2002-11-01,177800,397812,191083.333333333
"natural_gas",2002-12-01,140500,319992,181333.333333333
"natural_gas",2003-01-01,193800,359037,175516.666666667
"natural_gas",2003-02-01,48500,121484,141416.666666667
"natural_gas",2003-03-01,151800,316097,144216.666666667
"natural_gas",2003-04-01,176700,357746,148183.333333333
"natural_gas",2003-05-01,180500,368379,148633.333333333
"natural_gas",2003-06-01,241200,504945,165416.666666667
"natural_gas",2003-07-01,257100,619371,175966.666666667
"natural_gas",2003-08-01,276300,604974,213933.333333333
"natural_gas",2003-09-01,174400,370159,217700
"natural_gas",2003-10-01,170200,343732,216616.666666667
"natural_gas",2003-11-01,178800,354496,216333.333333333
"natural_gas",2003-12-01,192700,367201,208250
"natural_gas",2004-01-01,239800,475679,205366.666666667
"natural_gas",2004-02-01,297000,629538,208816.666666667
"natural_gas",2004-03-01,271100,601730,224933.333333333
"natural_gas",2004-04-01,158100,405178,222916.666666667
"natural_gas",2004-05-01,269300,655200,238000
"natural_gas",2004-06-01,270000,706708,250883.333333333
"natural_gas",2004-07-01,292200,772942,259616.666666667
"natural_gas",2004-08-01,263700,744085,254066.666666667
"natural_gas",2004-09-01,204900,562344,243033.333333333
"natural_gas",2004-10-01,261000,720460,260183.333333333
"natural_gas",2004-11-01,141200,431645,238833.333333333
"natural_gas",2004-12-01,264200,774575,237866.666666667
"natural_gas",2005-01-01,182800,604170,219633.333333333
"oil_and_natural_gas",2005-01-01,861000,900595,861000
"natural_gas",2005-02-01,120000,407792,195683.333333333
"oil_and_natural_gas",2005-02-01,796600,763260,828800
"natural_gas",2005-03-01,210300,732306,196583.333333333
"oil_and_natural_gas",2005-03-01,969200,949981,875600
"natural_gas",2005-04-01,98100,348109,169433.333333333
"oil_and_natural_gas",2005-04-01,785200,767757,853000
"natural_gas",2005-05-01,74200,328093,158266.666666667
"oil_and_natural_gas",2005-05-01,512800,500886,784960
"natural_gas",2005-06-01,125100,594983,135083.333333333
"oil_and_natural_gas",2005-06-01,145900,132487,678450
"natural_gas",2005-07-01,138800,670579,127750
"oil_and_natural_gas",2005-07-01,185900,175300,565933.333333333
"natural_gas",2005-08-01,138400,692153,130816.666666667
"oil_and_natural_gas",2005-08-01,139600,110614,456433.333333333
"natural_gas",2005-09-01,101400,576196,112666.666666667
"oil_and_natural_gas",2005-09-01,152800,151597,320366.666666667
"natural_gas",2005-10-01,102500,498974,113400
"oil_and_natural_gas",2005-10-01,175700,173328,218783.333333333
"natural_gas",2005-11-01,77200,538854,113900
"oil_and_natural_gas",2005-11-01,355400,328795,192550
"natural_gas",2005-12-01,98100,804149,109400
"oil_and_natural_gas",2005-12-01,542400,543355,258633.333333333
"natural_gas",2006-01-01,69600,490521,97866.6666666667
"oil_and_natural_gas",2006-01-01,836600,812268,367083.333333333
"natural_gas",2006-02-01,94100,701406,90483.3333333333
"oil_and_natural_gas",2006-02-01,427100,408155,415000
"natural_gas",2006-03-01,129400,1008373,95150
"oil_and_natural_gas",2006-03-01,527500,509331,477450
"natural_gas",2006-04-01,130000,986208,99733.3333333333
"oil_and_natural_gas",2006-04-01,304200,274349,498866.666666667
"natural_gas",2006-05-01,93600,774358,102466.666666667
"oil_and_natural_gas",2006-05-01,101400,90889,456533.333333333
"natural_gas",2006-06-01,195000,833249,118616.666666667
"oil_and_natural_gas",2006-06-01,188400,166573,397533.333333333
"natural_gas",2006-07-01,89400,631997,121916.666666667
"oil_and_natural_gas",2006-07-01,149800,136359,283066.666666667
"natural_gas",2006-08-01,113900,790738,125216.666666667
"oil_and_natural_gas",2006-08-01,366000,332585,272883.333333333
"natural_gas",2006-09-01,97400,716332,119883.333333333
"oil_and_natural_gas",2006-09-01,202200,199363,218666.666666667
"natural_gas",2006-10-01,70900,542123,110033.333333333
"oil_and_natural_gas",2006-10-01,135700,128286,190583.333333333
"natural_gas",2006-11-01,94900,662121,110250
"oil_and_natural_gas",2006-11-01,731700,865920,295633.333333333
"natural_gas",2006-12-01,170900,944214,106233.333333333
"oil_and_natural_gas",2006-12-01,726400,942364,385300
"natural_gas",2007-01-01,154300,1051255,117050
"oil_and_natural_gas",2007-01-01,515800,701266,446300
"natural_gas",2007-02-01,144600,981038,122166.666666667
"oil_and_natural_gas",2007-02-01,436200,645803,458000
"natural_gas",2007-03-01,172600,1214751,134700
"oil_and_natural_gas",2007-03-01,393400,789267,489866.666666667
"natural_gas",2007-04-01,124900,975927,143700
"oil_and_natural_gas",2007-04-01,268400,527961,511983.333333333
"natural_gas",2007-05-01,139000,945464,151050
"oil_and_natural_gas",2007-05-01,355900,870944,449350
"natural_gas",2007-06-01,146400,959087,146966.666666667
"oil_and_natural_gas",2007-06-01,171000,397967,356783.333333333
"natural_gas",2007-07-01,139200,938508,144450
"oil_and_natural_gas",2007-07-01,107200,239819,288683.333333333
"natural_gas",2007-08-01,99000,870136,136850
"oil_and_natural_gas",2007-08-01,81600,168333,229583.333333333
"natural_gas",2007-09-01,121600,726205,128350
"oil_and_natural_gas",2007-09-01,81000,189007,177516.666666667
"natural_gas",2007-10-01,143200,976213,131400
"oil_and_natural_gas",2007-10-01,103200,256360,149983.333333333
"natural_gas",2007-11-01,156400,1001631,134300
"oil_and_natural_gas",2007-11-01,90300,245844,105716.666666667
"natural_gas",2007-12-01,192800,1200322,142033.333333333
"oil_and_natural_gas",2007-12-01,115800,319585,96516.6666666667
"coal",2008-01-01,1219100,2977918,1219100
"natural_gas",2008-01-01,244400,1459214,159566.666666667
"oil_and_natural_gas",2008-01-01,148900,439102,103466.666666667
"coal",2008-02-01,1250400,2557468,1234750
"natural_gas",2008-02-01,182000,1083643,173400
"oil_and_natural_gas",2008-02-01,129700,379351,111483.333333333
"coal",2008-03-01,1351100,2665043,1273533.33333333
"natural_gas",2008-03-01,183800,1126582,183766.666666667
"oil_and_natural_gas",2008-03-01,70600,199047,109750
"coal",2008-04-01,1242000,2565437,1265650
"natural_gas",2008-04-01,109800,843318,178200
"oil_and_natural_gas",2008-04-01,25700,72390,96833.3333333333
"coal",2008-05-01,1297900,2653026,1272100
"natural_gas",2008-05-01,130600,824627,173900
"oil_and_natural_gas",2008-05-01,19600,49678,85050
"coal",2008-06-01,1453000,2863845,1302250
"natural_gas",2008-06-01,82800,670102,155566.666666667
"oil_and_natural_gas",2008-06-01,26100,65831,70100
"coal",2008-07-01,1543700,2955328,1356350
"natural_gas",2008-07-01,125900,939197,135816.666666667
"oil_and_natural_gas",2008-07-01,126600,320331,66383.3333333333
"coal",2008-08-01,1539000,2963656,1404450
"natural_gas",2008-08-01,75600,642115,118083.333333333
"oil_and_natural_gas",2008-08-01,17500,42880,47683.3333333333
"coal",2008-09-01,1312300,2579673,1397983.33333333
"natural_gas",2008-09-01,120700,824905,107566.666666667
"oil_and_natural_gas",2008-09-01,26700,64641,40366.6666666667
"coal",2008-10-01,1293200,2620621,1406516.66666667
"natural_gas",2008-10-01,140200,1041144,112633.333333333
"oil_and_natural_gas",2008-10-01,35500,90271,42000
"coal",2008-11-01,1366700,2623665,1417983.33333333
"natural_gas",2008-11-01,124600,994928,111633.333333333
"oil_and_natural_gas",2008-11-01,18700,48510,41850
"coal",2008-12-01,1396200,2808384,1408516.66666667
"natural_gas",2008-12-01,96300,886411,113883.333333333
"oil_and_natural_gas",2008-12-01,66900,162576,48650
"coal",2009-01-01,1500300,3011422,1401283.33333333
"natural_gas",2009-01-01,89000,661518,107733.333333333
"oil_and_natural_gas",2009-01-01,207500,536368,62133.3333333333
"coal",2009-02-01,1272100,2531510,1356800
"natural_gas",2009-02-01,57800,508997,104766.666666667
"oil_and_natural_gas",2009-02-01,239600,591106,99150
"coal",2009-03-01,1408200,2738554,1372783.33333333
"natural_gas",2009-03-01,93100,664551,100166.666666667
"oil_and_natural_gas",2009-03-01,208600,472467,129466.666666667
"coal",2009-04-01,1251700,2430528,1365866.66666667
"natural_gas",2009-04-01,63900,503977,87450
"oil_and_natural_gas",2009-04-01,279700,609351,170166.666666667
"coal",2009-05-01,1222900,2441095,1341900
"natural_gas",2009-05-01,35200,236961,72550
"oil_and_natural_gas",2009-05-01,159600,279249,193650
"coal",2009-06-01,1410200,2721464,1344233.33333333
"natural_gas",2009-06-01,110500,714705,74916.6666666667
"oil_and_natural_gas",2009-06-01,14600,26586,184933.333333333
"coal",2009-07-01,1599100,2943018,1360700
"natural_gas",2009-07-01,89100,623428,74933.3333333333
"oil_and_natural_gas",2009-07-01,23600,32115,154283.333333333
"coal",2009-08-01,1603800,2938397,1415983.33333333
"natural_gas",2009-08-01,97100,646391,81483.3333333333
"oil_and_natural_gas",2009-08-01,95200,132280,130216.666666667
"coal",2009-09-01,1556000,2932563,1440616.66666667
"natural_gas",2009-09-01,137700,763975,88916.6666666667
"oil_and_natural_gas",2009-09-01,27500,42624,100033.333333333
"coal",2009-10-01,1410300,2764861,1467050
"natural_gas",2009-10-01,84300,594711,92316.6666666667
"oil_and_natural_gas",2009-10-01,12400,19199,55483.3333333333
"coal",2009-11-01,1480300,2959010,1509950
"natural_gas",2009-11-01,151900,937036,111766.666666667
"oil_and_natural_gas",2009-11-01,189900,382463,60533.3333333333
"coal",2009-12-01,1304100,2670587,1492266.66666667
"natural_gas",2009-12-01,199100,1221458,126533.333333333
"oil_and_natural_gas",2009-12-01,232300,520415,96816.6666666667
"bio_oil_and_diesel",2010-01-01,23239,112324.9,23239
"coal",2010-01-01,4550989.5285,9600710.079,1984248.25475
"natural_gas",2010-01-01,1051652.5883,3586950.683,286958.764716667
"oil",2010-01-01,269420.7223,548127.138,269420.7223
"oil_and_natural_gas",2010-01-01,266000,556787,137216.666666667
"bio_oil_and_diesel",2010-02-01,21743,106096.5,22491
"coal",2010-02-01,3823124.0866,8295897.658,2354135.60251667
"natural_gas",2010-02-01,891633.5538,3026835.355,419381.023683333
"oil",2010-02-01,192944.4364,417311.354,231182.57935
"oil_and_natural_gas",2010-02-01,182300,316897,151733.333333333
"bio_oil_and_diesel",2010-03-01,23209,111928,22730.3333333333
"coal",2010-03-01,4206959.1302,8922005.184,2795962.12421667
"natural_gas",2010-03-01,987651.9246,3621706.556,561039.677783333
"oil",2010-03-01,233877.3986,388382.346,232080.852433333
"oil_and_natural_gas",2010-03-01,222300,402506,184200
"bio_oil_and_diesel",2010-04-01,20540,97263.7,22182.75
"coal",2010-04-01,3628991.526,7793134.598,3165744.04521667
"natural_gas",2010-04-01,877709.7164,3168739.062,693274.630516667
"oil",2010-04-01,78416.645,238168.204,193664.800575
"oil_and_natural_gas",2010-04-01,152300,199693,207516.666666667
"bio_oil_and_diesel",2010-05-01,23636,110292.1,22473.4
"coal",2010-05-01,3740339.3746,7900901.967,3542417.27431667
"natural_gas",2010-05-01,651695.112,2402593.505,776573.81585
"oil",2010-05-01,75918.0626,200965.168,170115.45298
"oil_and_natural_gas",2010-05-01,109400,189862,194100
"bio_oil_and_diesel",2010-06-01,24190,113800.7,22759.5
"coal",2010-06-01,4006861.6382,8466356.814,3992877.54735
"natural_gas",2010-06-01,684668.8703,2387215.607,857501.9609
"oil",2010-06-01,185183.6004,264312.136,172626.810883333
"oil_and_natural_gas",2010-06-01,105600,155532,172983.333333333
"bio_oil_and_diesel",2010-07-01,23706,109452.5,22837.3333333333
"coal",2010-07-01,4779992.5408,9535802.557,4031044.71606667
"natural_gas",2010-07-01,696363.1924,2443724.728,798287.061583333
"oil",2010-07-01,221248.0139,340937.092,164598.02615
"oil_and_natural_gas",2010-07-01,138900,189444,151800
"bio_oil_and_diesel",2010-08-01,26259,119718,23590
"coal",2010-08-01,4819476.1044,9743592.528,4197103.3857
"natural_gas",2010-08-01,718394.6177,2881061.608,769413.905566667
"oil",2010-08-01,199433.0493,336358.798,165679.461633333
"oil_and_natural_gas",2010-08-01,172500,233223,150166.666666667
"bio_oil_and_diesel",2010-09-01,22932,98102,23543.8333333333
"coal",2010-09-01,4452144.2291,9150803.81,4237967.56885
"natural_gas",2010-09-01,698242.4572,2645523.041,721178.994333333
"oil",2010-09-01,134656.1607,218616.339,149142.58865
"oil_and_natural_gas",2010-09-01,138000,186502,136116.666666667
"bio_oil_and_diesel",2010-10-01,14254,67453.9,22496.1666666667
"coal",2010-10-01,4488680.511,9079936.913,4381249.06635
"natural_gas",2010-10-01,738330.0518,2657271.962,697949.050233333
"oil",2010-10-01,73438.2559,118962.363,148312.857133333
"oil_and_natural_gas",2010-10-01,52900,86847,119550
"bio_oil_and_diesel",2010-11-01,25215,115135.9,22759.3333333333
