"fuel_type","pollutant","n","mean","sd","min","p25","median","p75","max","total_generation_mwh","total_emissions_kg","aggregate_ef_kg_per_mwh"
"bio_oil_and_diesel","SOx",379,0.111632305162276,0.0594974605199763,0.000186479413708723,0.0585931596147347,0.111646369662402,0.164295261150182,0.302149588079455,17665988.958882,2092870,0.118468884185946
"bio_oil_and_diesel","NOx",378,0.210330315702723,0.108873483651655,0.0147466146901929,0.0924302238085941,0.249813459791725,0.288027375905378,0.580111094300473,17657879.558882,3936800,0.222948626808351
"bio_oil_and_diesel","TSP",372,0.0110991059870358,0.00307563144427746,0.00360548964875552,0.00891438929207565,0.0110603092578904,0.0130991024145959,0.0249084180093983,17540559.758882,189640,0.0108115135780642
"biomass","SOx",124,0.00721215979701076,0.0105358208156958,0,0.000175463703177808,0.00269033723022979,0.0096942378697645,0.0539647427977119,9453135.46,59578.5034163931,0.00630251239585994
"biomass","NOx",128,0.219830503460313,0.0890506845887555,0.0514126896003791,0.151640837778397,0.214641895181941,0.273593175581351,0.547544617190136,9736113.48,1996818.80713589,0.205094035852989
"biomass","TSP",128,0.00821266778771009,0.00493609159207585,0.000594674474445656,0.00378298387727993,0.00745567335251681,0.0117926929517128,0.0215256490549128,9736113.48,74108.9897616672,0.00761176314490402
"coal","SOx",6281,0.242853690826537,0.196720583491557,0.000213663391567397,0.119539160382784,0.194938607361248,0.29196709168461,1.96502169781578,1843480740.89505,408626702.896626,0.22166041327789
"coal","NOx",6165,0.308188556188835,0.23286721917801,0.00117546675183131,0.123321325155981,0.239815698032493,0.452082033696302,3.77602804439369,1810215166.10042,546981151.262721,0.302163610992737
"coal","TSP",6118,0.0137996279809404,0.00826785335315436,0.0000309471716276124,0.00797366189812788,0.0125890649973531,0.0174829470514631,0.0660196738628111,1812886868.91858,24487535.8453674,0.0135074815010242
"natural_gas","SOx",5814,0.000000663652121313647,0.0000170755100049176,0,0,0,0,0.00065483183264515,326849159.18352,265.510542857143,0.000000812333565490568
"natural_gas","NOx",8506,0.310141027389671,0.300772205799102,0.000106337728626117,0.130983911009463,0.194399921308555,0.379287218470082,5.10400395452299,548403676.924598,123416685.048905,0.225047150925419
"natural_gas","TSP",5915,0.00000450557094097192,0.000129011609262012,0,0,0,0,0.00619137064385713,328283585.71052,1691.984611,0.00000515403353883185
"oil","SOx",519,0.544310114491891,0.513553981066717,0,0.126705387257722,0.388154508547303,0.755727606251951,1.95880082958367,41104348.961,19106798.0379486,0.464836410767074
"oil","NOx",521,0.759894536510449,0.492832864755788,0.0589068268390677,0.412903343719216,0.65844486470107,1.02191973942239,5.74775572331461,41188704.515,25603522.5682662,0.621615145942304
"oil","TSP",522,0.0120840930519714,0.0106996209019806,0.000192885273057997,0.00529220044561745,0.0101033570809778,0.0163268833826308,0.0880929567662566,41267506.202,425739.396337,0.0103165767820583
"oil_and_natural_gas","SOx",605,0.466621136349609,0.150479095648378,0,0.37318590186593,0.456419316843345,0.555613431954717,1.09030773805487,46782737,23409100,0.500379018012563
"oil_and_natural_gas","NOx",561,0.58993360589117,0.239337124562747,0.156543519098309,0.422380456342128,0.499276909303767,0.677524060608638,1.48,44447196,26421900,0.594455947232307
"oil_and_natural_gas","TSP",580,0.00617073121062753,0.00371564686578059,0,0.00340643058382774,0.0052149549973418,0.0080763178053098,0.0222189305288105,47049554,287100,0.00610207697186673
"unknown","SOx",0,,,,,,,,0,0,
"unknown","NOx",0,,,,,,,,0,0,
"unknown","TSP",0,,,,,,,,0,0,
