"date","observed","ef_kg_per_mwh","two_period_hat","post_median_hat","pollutant","group","break_date"
2005-01-01,TRUE,0.575175300773378,0.512095940175008,0.575175300773378,"SOx","All fuels",2021-04-01
2005-02-01,TRUE,0.50166935255895,0.51001814482433,0.50166935255895,"SOx","All fuels",2021-04-01
2005-03-01,TRUE,0.505993525634235,0.507940349473653,0.505993525634235,"SOx","All fuels",2021-04-01
2005-04-01,TRUE,0.524495450312107,0.505862554122975,0.524495450312107,"SOx","All fuels",2021-04-01
2005-05-01,TRUE,0.508478860459314,0.503784758772298,0.508478860459314,"SOx","All fuels",2021-04-01
2005-06-01,TRUE,0.498708293302193,0.50170696342162,0.498708293302193,"SOx","All fuels",2021-04-01
2005-07-01,TRUE,0.486987214935989,0.499629168070942,0.486987214935989,"SOx","All fuels",2021-04-01
2005-08-01,TRUE,0.518838417001784,0.497551372720265,0.518838417001784,"SOx","All fuels",2021-04-01
2005-09-01,TRUE,0.521127200380346,0.495473577369587,0.521127200380346,"SOx","All fuels",2021-04-01
2005-10-01,TRUE,0.511963022046594,0.49339578201891,0.511963022046594,"SOx","All fuels",2021-04-01
2005-11-01,TRUE,0.522090604946717,0.491317986668232,0.522090604946717,"SOx","All fuels",2021-04-01
2005-12-01,TRUE,0.524320205570335,0.489240191317554,0.524320205570335,"SOx","All fuels",2021-04-01
2006-01-01,TRUE,0.506802885770623,0.487162395966877,0.506802885770623,"SOx","All fuels",2021-04-01
2006-02-01,TRUE,0.484238582758603,0.485084600616199,0.484238582758603,"SOx","All fuels",2021-04-01
2006-03-01,TRUE,0.470554767073602,0.483006805265522,0.470554767073602,"SOx","All fuels",2021-04-01
2006-04-01,TRUE,0.456863169310713,0.480929009914844,0.456863169310713,"SOx","All fuels",2021-04-01
2006-05-01,TRUE,0.438498051601162,0.478851214564166,0.438498051601162,"SOx","All fuels",2021-04-01
2006-06-01,TRUE,0.4471407881061,0.476773419213489,0.4471407881061,"SOx","All fuels",2021-04-01
2006-07-01,TRUE,0.454219142028319,0.474695623862811,0.454219142028319,"SOx","All fuels",2021-04-01
2006-08-01,TRUE,0.451797292092853,0.472617828512134,0.451797292092853,"SOx","All fuels",2021-04-01
2006-09-01,TRUE,0.467121047812836,0.470540033161456,0.467121047812836,"SOx","All fuels",2021-04-01
2006-10-01,TRUE,0.473469388613322,0.468462237810778,0.473469388613322,"SOx","All fuels",2021-04-01
2006-11-01,TRUE,0.500217934272943,0.466384442460101,0.500217934272943,"SOx","All fuels",2021-04-01
2006-12-01,TRUE,0.552444430085239,0.464306647109423,0.552444430085239,"SOx","All fuels",2021-04-01
2007-01-01,TRUE,0.608982565174125,0.462228851758746,0.608982565174125,"SOx","All fuels",2021-04-01
2007-02-01,TRUE,0.67974459143951,0.460151056408068,0.67974459143951,"SOx","All fuels",2021-04-01
2007-03-01,TRUE,0.729365794201368,0.45807326105739,0.729365794201368,"SOx","All fuels",2021-04-01
2007-04-01,TRUE,0.768280810610903,0.455995465706713,0.768280810610903,"SOx","All fuels",2021-04-01
2007-05-01,TRUE,0.790557266901179,0.453917670356035,0.790557266901179,"SOx","All fuels",2021-04-01
2007-06-01,TRUE,0.749014816415194,0.451839875005357,0.749014816415194,"SOx","All fuels",2021-04-01
2007-07-01,TRUE,0.722810969856896,0.44976207965468,0.722810969856896,"SOx","All fuels",2021-04-01
2007-08-01,TRUE,0.69095227189224,0.447684284304002,0.69095227189224,"SOx","All fuels",2021-04-01
2007-09-01,TRUE,0.641396098804969,0.445606488953325,0.641396098804969,"SOx","All fuels",2021-04-01
2007-10-01,TRUE,0.606708186729095,0.443528693602647,0.606708186729095,"SOx","All fuels",2021-04-01
