"date","observed","ef_kg_per_mwh","two_period_hat","post_median_hat","pollutant","group","break_date"
2010-01-01,TRUE,0,-0.00000104491567482479,0,"SOx","natural_gas, 6-month MA",2022-12-01
2010-02-01,TRUE,0,-0.00000101771800701795,0,"SOx","natural_gas, 6-month MA",2022-12-01
2010-03-01,TRUE,0,-0.000000990520339211115,0,"SOx","natural_gas, 6-month MA",2022-12-01
2010-04-01,TRUE,0,-0.000000963322671404278,0,"SOx","natural_gas, 6-month MA",2022-12-01
2010-05-01,TRUE,0,-0.00000093612500359744,0,"SOx","natural_gas, 6-month MA",2022-12-01
2010-06-01,TRUE,0,-0.000000908927335790603,0,"SOx","natural_gas, 6-month MA",2022-12-01
2010-07-01,TRUE,0,-0.000000881729667983766,0,"SOx","natural_gas, 6-month MA",2022-12-01
2010-08-01,TRUE,0,-0.000000854532000176928,0,"SOx","natural_gas, 6-month MA",2022-12-01
2010-09-01,TRUE,0,-0.000000827334332370091,0,"SOx","natural_gas, 6-month MA",2022-12-01
2010-10-01,TRUE,0,-0.000000800136664563254,0,"SOx","natural_gas, 6-month MA",2022-12-01
2010-11-01,TRUE,0,-0.000000772938996756416,0,"SOx","natural_gas, 6-month MA",2022-12-01
2010-12-01,TRUE,0,-0.000000745741328949579,0,"SOx","natural_gas, 6-month MA",2022-12-01
2011-01-01,TRUE,0,-0.000000718543661142742,0,"SOx","natural_gas, 6-month MA",2022-12-01
2011-02-01,TRUE,0,-0.000000691345993335904,0,"SOx","natural_gas, 6-month MA",2022-12-01
2011-03-01,TRUE,0,-0.000000664148325529067,0,"SOx","natural_gas, 6-month MA",2022-12-01
2011-04-01,TRUE,0,-0.00000063695065772223,0,"SOx","natural_gas, 6-month MA",2022-12-01
2011-05-01,TRUE,0,-0.000000609752989915392,0,"SOx","natural_gas, 6-month MA",2022-12-01
2011-06-01,TRUE,0,-0.000000582555322108555,0,"SOx","natural_gas, 6-month MA",2022-12-01
2011-07-01,TRUE,0,-0.000000555357654301718,0,"SOx","natural_gas, 6-month MA",2022-12-01
2011-08-01,TRUE,0,-0.00000052815998649488,0,"SOx","natural_gas, 6-month MA",2022-12-01
