"date","observed","ef_kg_per_mwh","two_period_hat","post_median_hat","pollutant","group","break_date"
2010-01-01,TRUE,0,-0.000000944020987683879,0,"SOx","natural_gas",2022-12-01
2010-02-01,TRUE,0,-0.000000918133640489268,0,"SOx","natural_gas",2022-12-01
2010-03-01,TRUE,0,-0.000000892246293294656,0,"SOx","natural_gas",2022-12-01
2010-04-01,TRUE,0,-0.000000866358946100045,0,"SOx","natural_gas",2022-12-01
2010-05-01,TRUE,0,-0.000000840471598905433,0,"SOx","natural_gas",2022-12-01
2010-06-01,TRUE,0,-0.000000814584251710822,0,"SOx","natural_gas",2022-12-01
2010-07-01,TRUE,0,-0.00000078869690451621,0,"SOx","natural_gas",2022-12-01
2010-08-01,TRUE,0,-0.000000762809557321599,0,"SOx","natural_gas",2022-12-01
2010-09-01,TRUE,0,-0.000000736922210126988,0,"SOx","natural_gas",2022-12-01
2010-10-01,TRUE,0,-0.000000711034862932376,0,"SOx","natural_gas",2022-12-01
2010-11-01,TRUE,0,-0.000000685147515737765,0,"SOx","natural_gas",2022-12-01
2010-12-01,TRUE,0,-0.000000659260168543153,0,"SOx","natural_gas",2022-12-01
2011-01-01,TRUE,0,-0.000000633372821348542,0,"SOx","natural_gas",2022-12-01
2011-02-01,TRUE,0,-0.00000060748547415393,0,"SOx","natural_gas",2022-12-01
2011-03-01,TRUE,0,-0.000000581598126959319,0,"SOx","natural_gas",2022-12-01
2011-04-01,TRUE,0,-0.000000555710779764708,0,"SOx","natural_gas",2022-12-01
2011-05-01,TRUE,0,-0.000000529823432570096,0,"SOx","natural_gas",2022-12-01
2011-06-01,TRUE,0,-0.000000503936085375485,0,"SOx","natural_gas",2022-12-01
2011-07-01,TRUE,0,-0.000000478048738180873,0,"SOx","natural_gas",2022-12-01
2011-08-01,TRUE,0,-0.000000452161390986262,0,"SOx","natural_gas",2022-12-01
2011-09-01,TRUE,0,-0.00000042627404379165,0,"SOx","natural_gas",2022-12-01
2011-10-01,TRUE,0,-0.000000400386696597039,0,"SOx","natural_gas",2022-12-01
2011-11-01,TRUE,0,-0.000000374499349402428,0,"SOx","natural_gas",2022-12-01
2011-12-01,TRUE,0,-0.000000348612002207816,0,"SOx","natural_gas",2022-12-01
2012-01-01,TRUE,0,-0.000000322724655013205,0,"SOx","natural_gas",2022-12-01
2012-02-01,TRUE,0,-0.000000296837307818593,0,"SOx","natural_gas",2022-12-01
2012-03-01,TRUE,0,-0.000000270949960623982,0,"SOx","natural_gas",2022-12-01
2012-04-01,TRUE,0,-0.00000024506261342937,0,"SOx","natural_gas",2022-12-01
2012-05-01,TRUE,0,-0.000000219175266234759,0,"SOx","natural_gas",2022-12-01
2012-06-01,TRUE,0,-0.000000193287919040148,0,"SOx","natural_gas",2022-12-01
2012-07-01,TRUE,0,-0.000000167400571845536,0,"SOx","natural_gas",2022-12-01
2012-08-01,TRUE,0,-0.000000141513224650925,0,"SOx","natural_gas",2022-12-01
2012-09-01,TRUE,0,-0.000000115625877456313,0,"SOx","natural_gas",2022-12-01
2012-10-01,TRUE,0,-0.0000000897385302617019,0,"SOx","natural_gas",2022-12-01
2012-11-01,TRUE,0,-0.0000000638511830670905,0,"SOx","natural_gas",2022-12-01
2012-12-01,TRUE,0,-0.000000037963835872479,0,"SOx","natural_gas",2022-12-01
2013-01-01,TRUE,0,-0.0000000120764886778676,0,"SOx","natural_gas",2022-12-01
2013-02-01,TRUE,0,0.0000000138108585167438,0,"SOx","natural_gas",2022-12-01
2013-03-01,TRUE,0,0.0000000396982057113553,0,"SOx","natural_gas",2022-12-01
2013-04-01,TRUE,0,0.0000000655855529059667,0,"SOx","natural_gas",2022-12-01
2013-05-01,TRUE,0,0.0000000914729001005781,0,"SOx","natural_gas",2022-12-01
2013-06-01,TRUE,0,0.00000011736024729519,0,"SOx","natural_gas",2022-12-01
2013-07-01,TRUE,0,0.000000143247594489801,0,"SOx","natural_gas",2022-12-01
2013-08-01,TRUE,0,0.000000169134941684412,0,"SOx","natural_gas",2022-12-01
2013-09-01,TRUE,0,0.000000195022288879024,0,"SOx","natural_gas",2022-12-01
2013-10-01,TRUE,0,0.000000220909636073635,0,"SOx","natural_gas",2022-12-01
2013-11-01,TRUE,0,0.000000246796983268247,0,"SOx","natural_gas",2022-12-01
2013-12-01,TRUE,0,0.000000272684330462858,0,"SOx","natural_gas",2022-12-01
2014-01-01,TRUE,0,0.00000029857167765747,0,"SOx","natural_gas",2022-12-01
2014-02-01,TRUE,0,0.000000324459024852081,0,"SOx","natural_gas",2022-12-01
2014-03-01,TRUE,0,0.000000350346372046692,0,"SOx","natural_gas",2022-12-01
2014-04-01,TRUE,0,0.000000376233719241304,0,"SOx","natural_gas",2022-12-01
2014-05-01,TRUE,0,0.000000402121066435915,0,"SOx","natural_gas",2022-12-01
2014-06-01,TRUE,0,0.000000428008413630527,0,"SOx","natural_gas",2022-12-01
2014-07-01,TRUE,0,0.000000453895760825138,0,"SOx","natural_gas",2022-12-01
2014-08-01,TRUE,0,0.00000047978310801975,0,"SOx","natural_gas",2022-12-01
2014-09-01,TRUE,0,0.000000505670455214361,0,"SOx","natural_gas",2022-12-01
2014-10-01,TRUE,0,0.000000531557802408972,0,"SOx","natural_gas",2022-12-01
2014-11-01,TRUE,0,0.000000557445149603584,0,"SOx","natural_gas",2022-12-01
2014-12-01,TRUE,0,0.000000583332496798195,0,"SOx","natural_gas",2022-12-01
2015-01-01,TRUE,0,0.000000609219843992807,0,"SOx","natural_gas",2022-12-01
2015-02-01,TRUE,0,0.000000635107191187418,0,"SOx","natural_gas",2022-12-01
2015-03-01,TRUE,0,0.00000066099453838203,0,"SOx","natural_gas",2022-12-01
2015-04-01,TRUE,0,0.000000686881885576641,0,"SOx","natural_gas",2022-12-01
2015-05-01,TRUE,0,0.000000712769232771252,0,"SOx","natural_gas",2022-12-01
2015-06-01,TRUE,0,0.000000738656579965864,0,"SOx","natural_gas",2022-12-01
2015-07-01,TRUE,0,0.000000764543927160475,0,"SOx","natural_gas",2022-12-01
2015-08-01,TRUE,0,0.000000790431274355087,0,"SOx","natural_gas",2022-12-01
2015-09-01,TRUE,0,0.000000816318621549698,0,"SOx","natural_gas",2022-12-01
2015-10-01,TRUE,0,0.00000084220596874431,0,"SOx","natural_gas",2022-12-01
2015-11-01,TRUE,0,0.000000868093315938921,0,"SOx","natural_gas",2022-12-01
2015-12-01,TRUE,0,0.000000893980663133533,0,"SOx","natural_gas",2022-12-01
2016-01-01,TRUE,0,0.000000919868010328144,0,"SOx","natural_gas",2022-12-01
2016-02-01,TRUE,0,0.000000945755357522755,0,"SOx","natural_gas",2022-12-01
2016-03-01,TRUE,0,0.000000971642704717367,0,"SOx","natural_gas",2022-12-01
2016-04-01,TRUE,0,0.000000997530051911978,0,"SOx","natural_gas",2022-12-01
2016-05-01,TRUE,0,0.00000102341739910659,0,"SOx","natural_gas",2022-12-01
2016-06-01,TRUE,0,0.0000010493047463012,0,"SOx","natural_gas",2022-12-01
2016-07-01,TRUE,0,0.00000107519209349581,0,"SOx","natural_gas",2022-12-01
2016-08-01,TRUE,0,0.00000110107944069042,0,"SOx","natural_gas",2022-12-01
2016-09-01,TRUE,0,0.00000112696678788504,0,"SOx","natural_gas",2022-12-01
2016-10-01,TRUE,0,0.00000115285413507965,0,"SOx","natural_gas",2022-12-01
2016-11-01,TRUE,0,0.00000117874148227426,0,"SOx","natural_gas",2022-12-01
2016-12-01,TRUE,0,0.00000120462882946887,0,"SOx","natural_gas",2022-12-01
2017-01-01,TRUE,0,0.00000123051617666348,0,"SOx","natural_gas",2022-12-01
2017-02-01,TRUE,0,0.00000125640352385809,0,"SOx","natural_gas",2022-12-01
2017-03-01,TRUE,0,0.0000012822908710527,0,"SOx","natural_gas",2022-12-01
2017-04-01,TRUE,0,0.00000130817821824732,0,"SOx","natural_gas",2022-12-01
2017-05-01,TRUE,0,0.00000133406556544193,0,"SOx","natural_gas",2022-12-01
2017-06-01,TRUE,0,0.00000135995291263654,0,"SOx","natural_gas",2022-12-01
2017-07-01,TRUE,0,0.00000138584025983115,0,"SOx","natural_gas",2022-12-01
2017-08-01,TRUE,0,0.00000141172760702576,0,"SOx","natural_gas",2022-12-01
2017-09-01,TRUE,0,0.00000143761495422037,0,"SOx","natural_gas",2022-12-01
2017-10-01,TRUE,0,0.00000146350230141498,0,"SOx","natural_gas",2022-12-01
2017-11-01,TRUE,0,0.0000014893896486096,0,"SOx","natural_gas",2022-12-01
2017-12-01,TRUE,0,0.00000151527699580421,0,"SOx","natural_gas",2022-12-01
2018-01-01,TRUE,0,0.00000154116434299882,0,"SOx","natural_gas",2022-12-01
2018-02-01,TRUE,0,0.00000156705169019343,0,"SOx","natural_gas",2022-12-01
2018-03-01,TRUE,0,0.00000159293903738804,0,"SOx","natural_gas",2022-12-01
2018-04-01,TRUE,0,0.00000161882638458265,0,"SOx","natural_gas",2022-12-01
2018-05-01,TRUE,0,0.00000164471373177726,0,"SOx","natural_gas",2022-12-01
2018-06-01,TRUE,0,0.00000167060107897188,0,"SOx","natural_gas",2022-12-01
2018-07-01,TRUE,0,0.00000169648842616649,0,"SOx","natural_gas",2022-12-01
2018-08-01,TRUE,0,0.0000017223757733611,0,"SOx","natural_gas",2022-12-01
2018-09-01,TRUE,0,0.00000174826312055571,0,"SOx","natural_gas",2022-12-01
2018-10-01,TRUE,0,0.00000177415046775032,0,"SOx","natural_gas",2022-12-01
2018-11-01,TRUE,0,0.00000180003781494493,0,"SOx","natural_gas",2022-12-01
2018-12-01,TRUE,0,0.00000182592516213954,0,"SOx","natural_gas",2022-12-01
2019-01-01,TRUE,0,0.00000185181250933416,0,"SOx","natural_gas",2022-12-01
2019-02-01,TRUE,0,0.00000187769985652877,0,"SOx","natural_gas",2022-12-01
2019-03-01,TRUE,0,0.00000190358720372338,0,"SOx","natural_gas",2022-12-01
2019-04-01,TRUE,0,0.00000192947455091799,0,"SOx","natural_gas",2022-12-01
2019-05-01,TRUE,0,0.0000019553618981126,0,"SOx","natural_gas",2022-12-01
2019-06-01,TRUE,0,0.00000198124924530721,0,"SOx","natural_gas",2022-12-01
2019-07-01,TRUE,0,0.00000200713659250182,0,"SOx","natural_gas",2022-12-01
2019-08-01,TRUE,0,0.00000203302393969644,0,"SOx","natural_gas",2022-12-01
2019-09-01,TRUE,0,0.00000205891128689105,0,"SOx","natural_gas",2022-12-01
2019-10-01,TRUE,0,0.00000208479863408566,0,"SOx","natural_gas",2022-12-01
2019-11-01,TRUE,0,0.00000211068598128027,0,"SOx","natural_gas",2022-12-01
2019-12-01,TRUE,0,0.00000213657332847488,0,"SOx","natural_gas",2022-12-01
2020-01-01,TRUE,0,0.00000216246067566949,0,"SOx","natural_gas",2022-12-01
2020-02-01,TRUE,0,0.0000021883480228641,0,"SOx","natural_gas",2022-12-01
2020-03-01,TRUE,0,0.00000221423537005872,0,"SOx","natural_gas",2022-12-01
2020-04-01,TRUE,0,0.00000224012271725333,0,"SOx","natural_gas",2022-12-01
2020-05-01,TRUE,0,0.00000226601006444794,0,"SOx","natural_gas",2022-12-01
2020-06-01,TRUE,0,0.00000229189741164255,0,"SOx","natural_gas",2022-12-01
2020-07-01,TRUE,0.0000990090758556112,0.00000231778475883716,0.0000990090758556112,"SOx","natural_gas",2022-12-01
2020-08-01,TRUE,0.0000636331598210135,0.00000234367210603177,0.0000636331598210135,"SOx","natural_gas",2022-12-01
2020-09-01,TRUE,0,0.00000236955945322638,0,"SOx","natural_gas",2022-12-01
2020-10-01,TRUE,0,0.000002395446800421,0,"SOx","natural_gas",2022-12-01
2020-11-01,TRUE,0,0.00000242133414761561,0,"SOx","natural_gas",2022-12-01
2020-12-01,TRUE,0,0.00000244722149481022,0,"SOx","natural_gas",2022-12-01
2021-01-01,TRUE,0,0.00000247310884200483,0,"SOx","natural_gas",2022-12-01
2021-02-01,TRUE,0,0.00000249899618919944,0,"SOx","natural_gas",2022-12-01
2021-03-01,TRUE,0,0.00000252488353639405,0,"SOx","natural_gas",2022-12-01
2021-04-01,TRUE,0,0.00000255077088358866,0,"SOx","natural_gas",2022-12-01
2021-05-01,TRUE,0,0.00000257665823078328,0,"SOx","natural_gas",2022-12-01
2021-06-01,TRUE,0,0.00000260254557797789,0,"SOx","natural_gas",2022-12-01
2021-07-01,TRUE,0,0.0000026284329251725,0,"SOx","natural_gas",2022-12-01
2021-08-01,TRUE,0,0.00000265432027236711,0,"SOx","natural_gas",2022-12-01
2021-09-01,TRUE,0,0.00000268020761956172,0,"SOx","natural_gas",2022-12-01
2021-10-01,TRUE,0,0.00000270609496675633,0,"SOx","natural_gas",2022-12-01
2021-11-01,TRUE,0,0.00000273198231395094,0,"SOx","natural_gas",2022-12-01
2021-12-01,TRUE,0,0.00000275786966114556,0,"SOx","natural_gas",2022-12-01
2022-01-01,TRUE,0,0.00000278375700834017,0,"SOx","natural_gas",2022-12-01
2022-02-01,TRUE,0,0.00000280964435553478,0,"SOx","natural_gas",2022-12-01
2022-03-01,TRUE,0,0.00000283553170272939,0,"SOx","natural_gas",2022-12-01
2022-04-01,TRUE,0,0.000002861419049924,0,"SOx","natural_gas",2022-12-01
2022-05-01,TRUE,0,0.00000288730639711861,0,"SOx","natural_gas",2022-12-01
2022-06-01,TRUE,0,0.00000291319374431322,0,"SOx","natural_gas",2022-12-01
2022-07-01,TRUE,0,0.00000293908109150784,0,"SOx","natural_gas",2022-12-01
2022-08-01,TRUE,0,0.00000296496843870245,0,"SOx","natural_gas",2022-12-01
2022-09-01,TRUE,0,0.00000299085578589706,0,"SOx","natural_gas",2022-12-01
2022-10-01,TRUE,0,0.00000301674313309167,0,"SOx","natural_gas",2022-12-01
2022-11-01,TRUE,0,0.00000304263048028628,0,"SOx","natural_gas",2022-12-01
2022-12-01,TRUE,0,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2023-01-01,TRUE,0,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2023-02-01,TRUE,0,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2023-03-01,TRUE,0,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2023-04-01,TRUE,0,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2023-05-01,TRUE,0,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2023-06-01,TRUE,0,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2023-07-01,TRUE,0,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2023-08-01,TRUE,0,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2023-09-01,TRUE,0,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2023-10-01,TRUE,0,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2023-11-01,TRUE,0,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2023-12-01,TRUE,0.000440692250036716,0.00727642032265684,0.000440692250036716,"SOx","natural_gas",2022-12-01
2024-01-01,TRUE,0.0424343668705986,0.00727642032265684,0.0424343668705986,"SOx","natural_gas",2022-12-01
2024-02-01,TRUE,0.0376698228441459,0.00727642032265684,0.0376698228441459,"SOx","natural_gas",2022-12-01
2024-03-01,TRUE,0.0234987167029964,0.00727642032265684,0.0234987167029964,"SOx","natural_gas",2022-12-01
2024-04-01,TRUE,0.018764100385931,0.00727642032265684,0.018764100385931,"SOx","natural_gas",2022-12-01
2024-05-01,TRUE,0.012276180222845,0.00727642032265684,0.012276180222845,"SOx","natural_gas",2022-12-01
2024-06-01,TRUE,0.011435945420906,0.00727642032265684,0.011435945420906,"SOx","natural_gas",2022-12-01
2024-07-01,TRUE,0.0108640156973853,0.00727642032265684,0.0108640156973853,"SOx","natural_gas",2022-12-01
2024-08-01,TRUE,0.021706598260588,0.00727642032265684,0.021706598260588,"SOx","natural_gas",2022-12-01
2024-09-01,TRUE,0.0200143483662629,0.00727642032265684,0.0200143483662629,"SOx","natural_gas",2022-12-01
2024-10-01,TRUE,0.0136794231809682,0.00727642032265684,0.0136794231809682,"SOx","natural_gas",2022-12-01
2024-11-01,TRUE,0.0155624323627093,0.00727642032265684,0.0155624323627093,"SOx","natural_gas",2022-12-01
2024-12-01,TRUE,0.0408809093729299,0.00727642032265684,0.0408809093729299,"SOx","natural_gas",2022-12-01
2025-01-01,TRUE,0,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2025-02-01,TRUE,0,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2025-03-01,TRUE,0,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2025-04-01,TRUE,0,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2025-05-01,TRUE,0,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2025-06-01,TRUE,0,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2025-07-01,TRUE,0,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2025-08-01,TRUE,0,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2025-09-01,TRUE,0,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2025-10-01,TRUE,0,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2025-11-01,TRUE,0,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2025-12-01,TRUE,0,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2026-01-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2026-02-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2026-03-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2026-04-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2026-05-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2026-06-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2026-07-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2026-08-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2026-09-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2026-10-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2026-11-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2026-12-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2027-01-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2027-02-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2027-03-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2027-04-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2027-05-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2027-06-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2027-07-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2027-08-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2027-09-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2027-10-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2027-11-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2027-12-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2028-01-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2028-02-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2028-03-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2028-04-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2028-05-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2028-06-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2028-07-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2028-08-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2028-09-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2028-10-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2028-11-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2028-12-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
2029-01-01,FALSE,,0.00727642032265684,0,"SOx","natural_gas",2022-12-01
