"date","observed","ef_kg_per_mwh","two_period_hat","post_median_hat","pollutant","group","break_date"
2010-01-01,TRUE,0.00612815342852081,0.0105354046028455,0.00612815342852081,"TSP","oil, 6-month MA",2019-11-01
2010-02-01,TRUE,0.00648840925710322,0.0105438327579484,0.00648840925710322,"TSP","oil, 6-month MA",2019-11-01
2010-03-01,TRUE,0.00786328765328221,0.0105522609130513,0.00786328765328221,"TSP","oil, 6-month MA",2019-11-01
2010-04-01,TRUE,0.007249931582968,0.0105606890681542,0.007249931582968,"TSP","oil, 6-month MA",2019-11-01
2010-05-01,TRUE,0.00745883552739715,0.0105691172232571,0.00745883552739715,"TSP","oil, 6-month MA",2019-11-01
2010-06-01,TRUE,0.0081230381286737,0.01057754537836,0.0081230381286737,"TSP","oil, 6-month MA",2019-11-01
2010-07-01,TRUE,0.00854504173334959,0.0105859735334629,0.00854504173334959,"TSP","oil, 6-month MA",2019-11-01
2010-08-01,TRUE,0.00903547102579928,0.0105944016885658,0.00903547102579928,"TSP","oil, 6-month MA",2019-11-01
2010-09-01,TRUE,0.00906818402569531,0.0106028298436687,0.00906818402569531,"TSP","oil, 6-month MA",2019-11-01
2010-10-01,TRUE,0.0101001528086242,0.0106112579987716,0.0101001528086242,"TSP","oil, 6-month MA",2019-11-01
2010-11-01,TRUE,0.00987937476698591,0.0106196861538745,0.00987937476698591,"TSP","oil, 6-month MA",2019-11-01
2010-12-01,TRUE,0.00999234584780549,0.0106281143089774,0.00999234584780549,"TSP","oil, 6-month MA",2019-11-01
2011-01-01,TRUE,0.010297173343362,0.0106365424640803,0.010297173343362,"TSP","oil, 6-month MA",2019-11-01
2011-02-01,TRUE,0.0101676581567807,0.0106449706191832,0.0101676581567807,"TSP","oil, 6-month MA",2019-11-01
2011-03-01,TRUE,0.00970630648779549,0.0106533987742861,0.00970630648779549,"TSP","oil, 6-month MA",2019-11-01
2011-04-01,TRUE,0.00902489500727153,0.010661826929389,0.00902489500727153,"TSP","oil, 6-month MA",2019-11-01
2011-05-01,FALSE,,0.0106702550844919,0.00169757769684576,"TSP","oil, 6-month MA",2019-11-01
2011-06-01,TRUE,0.0098119212998475,0.0106786832395948,0.0098119212998475,"TSP","oil, 6-month MA",2019-11-01
2011-07-01,TRUE,0.00962646313370108,0.0106871113946976,0.00962646313370108,"TSP","oil, 6-month MA",2019-11-01
2011-08-01,TRUE,0.00956692474519959,0.0106955395498005,0.00956692474519959,"TSP","oil, 6-month MA",2019-11-01
2011-09-01,TRUE,0.00952009146456628,0.0107039677049034,0.00952009146456628,"TSP","oil, 6-month MA",2019-11-01
2011-10-01,TRUE,0.00984130705662739,0.0107123958600063,0.00984130705662739,"TSP","oil, 6-month MA",2019-11-01
2011-11-01,TRUE,0.0104533269314632,0.0107208240151092,0.0104533269314632,"TSP","oil, 6-month MA",2019-11-01
2011-12-01,TRUE,0.0106305724503718,0.0107292521702121,0.0106305724503718,"TSP","oil, 6-month MA",2019-11-01
2012-01-01,TRUE,0.0111860079790773,0.010737680325315,0.0111860079790773,"TSP","oil, 6-month MA",2019-11-01
2012-02-01,TRUE,0.0116665797776243,0.0107461084804179,0.0116665797776243,"TSP","oil, 6-month MA",2019-11-01
2012-03-01,TRUE,0.0115275721165301,0.0107545366355208,0.0115275721165301,"TSP","oil, 6-month MA",2019-11-01
2012-04-01,TRUE,0.010704939304059,0.0107629647906237,0.010704939304059,"TSP","oil, 6-month MA",2019-11-01
2012-05-01,TRUE,0.0104512272370849,0.0107713929457266,0.0104512272370849,"TSP","oil, 6-month MA",2019-11-01
2012-06-01,TRUE,0.00987531731574055,0.0107798211008295,0.00987531731574055,"TSP","oil, 6-month MA",2019-11-01
2012-07-01,TRUE,0.00898063474918155,0.0107882492559324,0.00898063474918155,"TSP","oil, 6-month MA",2019-11-01
2012-08-01,TRUE,0.00861018757965398,0.0107966774110353,0.00861018757965398,"TSP","oil, 6-month MA",2019-11-01
2012-09-01,TRUE,0.00927574880247317,0.0108051055661382,0.00927574880247317,"TSP","oil, 6-month MA",2019-11-01
2012-10-01,TRUE,0.0105777414334061,0.0108135337212411,0.0105777414334061,"TSP","oil, 6-month MA",2019-11-01
2012-11-01,TRUE,0.0113813157923963,0.010821961876344,0.0113813157923963,"TSP","oil, 6-month MA",2019-11-01
2012-12-01,TRUE,0.0117938191979379,0.0108303900314469,0.0117938191979379,"TSP","oil, 6-month MA",2019-11-01
2013-01-01,TRUE,0.0126179308594453,0.0108388181865498,0.0126179308594453,"TSP","oil, 6-month MA",2019-11-01
2013-02-01,TRUE,0.012204014224106,0.0108472463416527,0.012204014224106,"TSP","oil, 6-month MA",2019-11-01
2013-03-01,TRUE,0.0112682439756192,0.0108556744967556,0.0112682439756192,"TSP","oil, 6-month MA",2019-11-01
2013-04-01,TRUE,0.0105109662593646,0.0108641026518585,0.0105109662593646,"TSP","oil, 6-month MA",2019-11-01
2013-05-01,TRUE,0.00999368523686056,0.0108725308069614,0.00999368523686056,"TSP","oil, 6-month MA",2019-11-01
2013-06-01,TRUE,0.00968812803864133,0.0108809589620643,0.00968812803864133,"TSP","oil, 6-month MA",2019-11-01
2013-07-01,TRUE,0.0088637589451898,0.0108893871171672,0.0088637589451898,"TSP","oil, 6-month MA",2019-11-01
2013-08-01,TRUE,0.00904923703638687,0.0108978152722701,0.00904923703638687,"TSP","oil, 6-month MA",2019-11-01
2013-09-01,TRUE,0.0104036536801494,0.010906243427373,0.0104036536801494,"TSP","oil, 6-month MA",2019-11-01
2013-10-01,TRUE,0.0108890647345219,0.0109146715824758,0.0108890647345219,"TSP","oil, 6-month MA",2019-11-01
2013-11-01,TRUE,0.0111934032695486,0.0109230997375787,0.0111934032695486,"TSP","oil, 6-month MA",2019-11-01
2013-12-01,TRUE,0.0113358225525667,0.0109315278926816,0.0113358225525667,"TSP","oil, 6-month MA",2019-11-01
2014-01-01,TRUE,0.0125634703941875,0.0109399560477845,0.0125634703941875,"TSP","oil, 6-month MA",2019-11-01
2014-02-01,TRUE,0.0146225333136286,0.0109483842028874,0.0146225333136286,"TSP","oil, 6-month MA",2019-11-01
2014-03-01,TRUE,0.0145456674083047,0.0109568123579903,0.0145456674083047,"TSP","oil, 6-month MA",2019-11-01
2014-04-01,TRUE,0.0148624079632464,0.0109652405130932,0.0148624079632464,"TSP","oil, 6-month MA",2019-11-01
2014-05-01,TRUE,0.0145944255873198,0.0109736686681961,0.0145944255873198,"TSP","oil, 6-month MA",2019-11-01
2014-06-01,TRUE,0.0144528917745825,0.010982096823299,0.0144528917745825,"TSP","oil, 6-month MA",2019-11-01
2014-07-01,TRUE,0.0138849758806258,0.0109905249784019,0.0138849758806258,"TSP","oil, 6-month MA",2019-11-01
2014-08-01,TRUE,0.0124903744802286,0.0109989531335048,0.0124903744802286,"TSP","oil, 6-month MA",2019-11-01
2014-09-01,TRUE,0.0128487727445125,0.0110073812886077,0.0128487727445125,"TSP","oil, 6-month MA",2019-11-01
2014-10-01,TRUE,0.0147529645310652,0.0110158094437106,0.0147529645310652,"TSP","oil, 6-month MA",2019-11-01
2014-11-01,TRUE,0.0169597347638856,0.0110242375988135,0.0169597347638856,"TSP","oil, 6-month MA",2019-11-01
2014-12-01,TRUE,0.0187638430957638,0.0110326657539164,0.0187638430957638,"TSP","oil, 6-month MA",2019-11-01
2015-01-01,TRUE,0.0187337616378001,0.0110410939090193,0.0187337616378001,"TSP","oil, 6-month MA",2019-11-01
2015-02-01,TRUE,0.0187224067492558,0.0110495220641222,0.0187224067492558,"TSP","oil, 6-month MA",2019-11-01
2015-03-01,TRUE,0.0173003831407608,0.0110579502192251,0.0173003831407608,"TSP","oil, 6-month MA",2019-11-01
2015-04-01,TRUE,0.0141604822067144,0.011066378374328,0.0141604822067144,"TSP","oil, 6-month MA",2019-11-01
2015-05-01,TRUE,0.0109579545865526,0.0110748065294309,0.0109579545865526,"TSP","oil, 6-month MA",2019-11-01
2015-06-01,TRUE,0.00886987454766278,0.0110832346845338,0.00886987454766278,"TSP","oil, 6-month MA",2019-11-01
2015-07-01,TRUE,0.00952547431425131,0.0110916628396367,0.00952547431425131,"TSP","oil, 6-month MA",2019-11-01
2015-08-01,TRUE,0.00905100404095044,0.0111000909947396,0.00905100404095044,"TSP","oil, 6-month MA",2019-11-01
2015-09-01,TRUE,0.0090979365487468,0.0111085191498425,0.0090979365487468,"TSP","oil, 6-month MA",2019-11-01
2015-10-01,TRUE,0.00977442061816118,0.0111169473049454,0.00977442061816118,"TSP","oil, 6-month MA",2019-11-01
2015-11-01,TRUE,0.0105220276668177,0.0111253754600483,0.0105220276668177,"TSP","oil, 6-month MA",2019-11-01
2015-12-01,TRUE,0.0113011556438013,0.0111338036151512,0.0113011556438013,"TSP","oil, 6-month MA",2019-11-01
2016-01-01,TRUE,0.0114766271344783,0.0111422317702541,0.0114766271344783,"TSP","oil, 6-month MA",2019-11-01
2016-02-01,TRUE,0.0118426034806776,0.011150659925357,0.0118426034806776,"TSP","oil, 6-month MA",2019-11-01
2016-03-01,TRUE,0.0128903771233817,0.0111590880804598,0.0128903771233817,"TSP","oil, 6-month MA",2019-11-01
2016-04-01,TRUE,0.0144808773411278,0.0111675162355627,0.0144808773411278,"TSP","oil, 6-month MA",2019-11-01
2016-05-01,TRUE,0.0152871954985744,0.0111759443906656,0.0152871954985744,"TSP","oil, 6-month MA",2019-11-01
2016-06-01,TRUE,0.0142731324748986,0.0111843725457685,0.0142731324748986,"TSP","oil, 6-month MA",2019-11-01
2016-07-01,TRUE,0.0149287488635845,0.0111928007008714,0.0149287488635845,"TSP","oil, 6-month MA",2019-11-01
2016-08-01,TRUE,0.0156830449123179,0.0112012288559743,0.0156830449123179,"TSP","oil, 6-month MA",2019-11-01
2016-09-01,TRUE,0.0170034618711989,0.0112096570110772,0.0170034618711989,"TSP","oil, 6-month MA",2019-11-01
