"pollutant","group","break_date","break_label","bic","rss","post_median_plateau","post_p10_floor","chow_style_p_value","last_observed_date","last_observed_ef","projected_2050_two_period","projected_2050_post_median","series"
"SOx","All fuels",2020-03-01,"2020m3",-1266.53319843955,1.54910471390612,0.112608263025221,0.094640502380246,0.0000143575969327525,2025-12-01,0.15229917514797,0.113133096932572,0.112608263025221,"cleaned monthly EF"
"SOx","All fuels",2021-04-01,"2021m4",-1323.00552948596,1.23810329571047,0.112438653409214,0.0982105381457317,0.00000588395741119164,2025-12-01,0.128140677282864,0.111134503546149,0.112438653409214,"6-month moving average EF"
"SOx","bio_oil_and_diesel",2019-07-01,"2019m7",-1337.49569642108,0.15996211349372,0.0564002143144737,0.00963792588046794,0.000000000108274311872022,2025-12-01,0.0883576964799437,0.0624185456555836,0.0564002143144737,"cleaned monthly EF"
"SOx","bio_oil_and_diesel, 6-month MA",2019-09-01,"2019m9",-1427.5246006895,0.0998412552142584,0.056943462285825,0.0157051670297497,0.000000000000940436506673701,2025-12-01,0.0838684206836363,0.0625204832631128,0.056943462285825,"6-month moving average EF"
"SOx","coal",2018-09-01,"2018m9",-1402.16335087428,0.30395511647355,0.140788882130334,0.111124440262993,0.00000000000000000000000190565484294438,2025-12-01,0.178563568788351,0.13992871624284,0.140788882130334,"cleaned monthly EF"
"SOx","coal, 6-month MA",2018-10-01,"2018m10",-1468.32214405481,0.223763421151858,0.138546229099714,0.118922632486669,0.000000000000000000000000000000284895800260826,2025-12-01,0.168327442055273,0.140215357848229,0.138546229099714,"6-month moving average EF"
"SOx","natural_gas",2022-12-01,"2022m12",-1991.35688291179,0.00553699455241929,0,0,0.00000166074741942315,2025-12-01,0,0.00727642032265684,0,"cleaned monthly EF"
"SOx","natural_gas, 6-month MA",2022-12-01,"2022m12",-2128.82861861482,0.00270595048278508,0,0,0.000000000000652946418046201,2025-12-01,0,0.00727642032265683,0,"6-month moving average EF"
"SOx","oil",2018-09-01,"2018m9",-542.403258870972,2.43435315625052,0.0147119051657846,0.00456271726400787,0.0000000814201681321561,2022-01-01,0.00984997254944742,0.0168064838800654,0.0147119051657846,"cleaned monthly EF"
"SOx","oil, 6-month MA",2018-12-01,"2018m12",-620.612739316218,1.38119036604704,0.0137814895921429,0.00677207430835215,0.00000000000270682285019941,2022-01-01,0.0124960775391226,0.0242877315222392,0.0137814895921429,"6-month moving average EF"
"SOx","oil_and_natural_gas",2017-07-01,"2017m7",-720.105561900854,2.24622634892066,0.275548777449538,0.139533493288312,0.000065284162903616,2020-02-01,0,0.285584208051941,0.275548777449538,"cleaned monthly EF"
"SOx","oil_and_natural_gas, 6-month MA",2017-07-01,"2017m7",-845.103355336147,1.07677503162103,0.309249716145652,0.224414874707107,0.00000104105998490324,2020-02-01,0.173355627337557,0.311862267874774,0.309249716145652,"6-month moving average EF"
"NOx","All fuels",2017-09-01,"2017m9",-1430.49405355946,1.89075849173272,0.13251142912434,0.0927894936105386,0.00000000000000000000000000000000117534324302385,2025-12-01,0.130343922629965,0.14498953007518,0.13251142912434,"cleaned monthly EF"
"NOx","All fuels",2017-11-01,"2017m11",-1530.56482391164,1.33577295168748,0.132868037738749,0.0916968042513025,0.000000000000000000000000000000000000000000010440617293831,2025-12-01,0.123287785355755,0.146382798900334,0.132868037738749,"6-month moving average EF"
"NOx","bio_oil_and_diesel",2020-01-01,"2020m1",-1137.15103555004,0.456624743121659,0.0723547775453214,0.0465069496996925,0.0000000000000000000000000000170388176494635,2025-12-01,0.0684525797264694,0.0843556694459162,0.0723547775453214,"cleaned monthly EF"
"NOx","bio_oil_and_diesel, 6-month MA",2020-03-01,"2020m3",-1242.40783314946,0.263164473861772,0.0781974548393934,0.0521444039355781,0.00000000000000000000000000000000000000000000361457335764657,2025-12-01,0.0483265360398933,0.0868400148779032,0.0781974548393934,"6-month moving average EF"
"NOx","coal",2017-06-01,"2017m6",-1264.39497756876,0.575187796686868,0.125572648080049,0.0935390582357387,0.000000000000000000000000000000000000000000000000000000000034086984366328,2025-12-01,0.131740373165882,0.143627670464365,0.125572648080049,"cleaned monthly EF"
"NOx","coal, 6-month MA",2017-09-01,"2017m9",-1273.01328160213,0.552689872339876,0.12468805763944,0.0904317771914012,0.0000000000000000000000000000000000000000000000000000000000000241181033439581,2025-12-01,0.127864328138317,0.143331112667326,0.12468805763944,"6-month moving average EF"
"NOx","natural_gas",2022-08-01,"2022m8",-1353.53646704582,2.46993518400781,0.110008428308885,0.0774201750728152,0.0547927301930349,2025-12-01,0.137282645169856,0.106729812524458,0.110008428308885,"cleaned monthly EF"
"NOx","natural_gas, 6-month MA",2022-11-01,"2022m11",-1365.72965617338,2.36754711532076,0.108778227327812,0.0830771750892757,0.0914041646311739,2025-12-01,0.119581516496047,0.105815872774911,0.108778227327812,"6-month moving average EF"
"NOx","oil",2019-11-01,"2019m11",-519.991666484074,2.86361244476872,0.300309465858537,0.281057062196728,0.000000000000000250980209089892,2022-01-01,0.260011256520228,0.331258541027413,0.300309465858537,"cleaned monthly EF"
"NOx","oil, 6-month MA",2019-11-01,"2019m11",-647.887912932712,1.13348791112498,0.308481874096126,0.295992084199725,0.00000000000000000000000000000000228724027498685,2022-01-01,0.29306280091754,0.375579312833882,0.308481874096126,"6-month moving average EF"
"NOx","oil_and_natural_gas",2016-08-01,"2016m8",-524.115226242904,6.94180547831589,0.43841839283865,0.273559777924311,0.0000984657749422096,2020-02-01,0.431654676258993,0.518752424857613,0.43841839283865,"cleaned monthly EF"
"NOx","oil_and_natural_gas, 6-month MA",2016-10-01,"2016m10",-599.423257905143,4.44576626086416,0.496370456171734,0.409311536714077,0.0000000512453444342755,2020-02-01,0.325792875033487,0.53286998210018,0.496370456171734,"6-month moving average EF"
"TSP","All fuels",2016-06-01,"2016m6",-2843.17828570688,0.00297101698985215,0.00906075957602641,0.00748828075544497,0.0000000000000366924457752621,2025-12-01,0.00757698042089166,0.00950688320521968,0.00906075957602641,"cleaned monthly EF"
"TSP","All fuels",2016-06-01,"2016m6",-2883.67565818683,0.00252995231814848,0.00896498912951541,0.00782234619593601,0.000000000000000641829242975548,2025-12-01,0.00784951883303898,0.00962178741539358,0.00896498912951541,"6-month moving average EF"
"TSP","bio_oil_and_diesel",2017-09-01,"2017m9",-2335.93539414899,0.000800542858211973,0.0126025307365133,0.0111123682222555,0.00000000000147712793764636,2025-12-01,0.0115073034696928,0.0129832634894703,0.0126025307365133,"cleaned monthly EF"
"TSP","bio_oil_and_diesel, 6-month MA",2017-10-01,"2017m10",-2506.33889741114,0.000326499862251305,0.0127622043515123,0.0116585102089733,0.00000000000000000000414514658259847,2025-12-01,0.0126256067772021,0.0129282805989434,0.0127622043515123,"6-month moving average EF"
"TSP","coal",2019-05-01,"2019m5",-2724.30640099379,0.000667542251812592,0.00991472788952277,0.00862726520755745,0.00000000000109894060294069,2025-12-01,0.00859909694020051,0.0100535498605998,0.00991472788952277,"cleaned monthly EF"
"TSP","coal, 6-month MA",2019-08-01,"2019m8",-2812.69359965661,0.000443369138605117,0.0101129295610409,0.00908167096726998,0.000000000000000196518357259903,2025-12-01,0.0100376896784514,0.0100676308343511,0.0101129295610409,"6-month moving average EF"
"TSP","natural_gas",2022-12-01,"2022m12",-3668.53818062047,0.000000890375383534571,0,0,0.0553660307305729,2025-12-01,0,0.0000288536481033648,0,"cleaned monthly EF"
"TSP","natural_gas, 6-month MA",2022-12-01,"2022m12",-4048.62915832681,0.000000122977651552331,0,0,0.0000010049613999662,2025-12-01,0,0.0000288536481033648,0,"6-month moving average EF"
"TSP","oil",2019-10-01,"2019m10",-1492.67881862199,0.00228081666869823,0.00164043504330303,0.00105361000973467,0.000000000339861021452549,2022-01-01,0.00250089431966772,0.00237310184575405,0.00164043504330303,"cleaned monthly EF"
"TSP","oil, 6-month MA",2019-11-01,"2019m11",-1600.53124587626,0.00103799355150468,0.00169757769684576,0.00156176214694836,0.000000000000000000345111381751844,2022-01-01,0.00176241403804439,0.0029551030261112,0.00169757769684576,"6-month moving average EF"
"TSP","oil_and_natural_gas",2016-11-01,"2016m11",-1947.23575010441,0.00096225468345416,0.00802247654968924,0.00442300292555991,0.000000000000000000000205001615360377,2020-02-01,0.00691881918819188,0.00913779116111349,0.00802247654968924,"cleaned monthly EF"
"TSP","oil_and_natural_gas, 6-month MA",2017-01-01,"2017m1",-2043.14268189764,0.000534265589921519,0.00924738894566291,0.0074052917655743,0.00000000000000000000000000000000139730514221745,2020-02-01,0.00637740258256061,0.00924545732543972,0.00924738894566291,"6-month moving average EF"
