"date","observed","ef_kg_per_mwh","two_period_hat","post_median_hat","pollutant","group","break_date"
2005-01-01,TRUE,0.956034621555749,0.835915489228327,0.956034621555749,"NOx","oil_and_natural_gas",2016-08-01
2005-02-01,TRUE,1.04368105232817,0.832364293557112,1.04368105232817,"NOx","oil_and_natural_gas",2016-08-01
2005-03-01,TRUE,1.02023093093441,0.828813097885896,1.02023093093441,"NOx","oil_and_natural_gas",2016-08-01
2005-04-01,TRUE,1.0227194281524,0.825261902214681,1.0227194281524,"NOx","oil_and_natural_gas",2016-08-01
2005-05-01,TRUE,1.02378585147119,0.821710706543465,1.02378585147119,"NOx","oil_and_natural_gas",2016-08-01
2005-06-01,TRUE,1.10124012167232,0.81815951087225,1.10124012167232,"NOx","oil_and_natural_gas",2016-08-01
2005-07-01,TRUE,1.06046776953793,0.814608315201034,1.06046776953793,"NOx","oil_and_natural_gas",2016-08-01
2005-08-01,TRUE,1.2620463955738,0.811057119529819,1.2620463955738,"NOx","oil_and_natural_gas",2016-08-01
2005-09-01,TRUE,1.00793551323575,0.807505923858603,1.00793551323575,"NOx","oil_and_natural_gas",2016-08-01
2005-10-01,TRUE,1.01368503646266,0.803954728187388,1.01368503646266,"NOx","oil_and_natural_gas",2016-08-01
2005-11-01,TRUE,1.08091668060646,0.800403532516172,1.08091668060646,"NOx","oil_and_natural_gas",2016-08-01
2005-12-01,TRUE,0.998242401376632,0.796852336844957,0.998242401376632,"NOx","oil_and_natural_gas",2016-08-01
2006-01-01,TRUE,1.0299556304077,0.793301141173742,1.0299556304077,"NOx","oil_and_natural_gas",2016-08-01
2006-02-01,TRUE,1.04641618992785,0.789749945502526,1.04641618992785,"NOx","oil_and_natural_gas",2016-08-01
2006-03-01,TRUE,1.035672283839,0.78619874983131,1.035672283839,"NOx","oil_and_natural_gas",2016-08-01
2006-04-01,TRUE,1.10880666596197,0.782647554160095,1.10880666596197,"NOx","oil_and_natural_gas",2016-08-01
2006-05-01,TRUE,1.11564655788929,0.77909635848888,1.11564655788929,"NOx","oil_and_natural_gas",2016-08-01
2006-06-01,TRUE,1.13103564203082,0.775545162817664,1.13103564203082,"NOx","oil_and_natural_gas",2016-08-01
2006-07-01,TRUE,1.09857068473661,0.771993967146449,1.09857068473661,"NOx","oil_and_natural_gas",2016-08-01
2006-08-01,TRUE,1.10047055639912,0.768442771475233,1.10047055639912,"NOx","oil_and_natural_gas",2016-08-01
2006-09-01,TRUE,1.0142303235806,0.764891575804018,1.0142303235806,"NOx","oil_and_natural_gas",2016-08-01
2006-10-01,TRUE,1.05779274433687,0.761340380132802,1.05779274433687,"NOx","oil_and_natural_gas",2016-08-01
2006-11-01,TRUE,0.844997228381375,0.757789184461587,0.844997228381375,"NOx","oil_and_natural_gas",2016-08-01
2006-12-01,TRUE,0.770827408517303,0.754237988790371,0.770827408517303,"NOx","oil_and_natural_gas",2016-08-01
2007-01-01,TRUE,0.735526889939053,0.750686793119156,0.735526889939053,"NOx","oil_and_natural_gas",2016-08-01
2007-02-01,TRUE,0.67543817541882,0.74713559744794,0.67543817541882,"NOx","oil_and_natural_gas",2016-08-01
2007-03-01,TRUE,0.498437157514504,0.743584401776725,0.498437157514504,"NOx","oil_and_natural_gas",2016-08-01
2007-04-01,TRUE,0.508370883455407,0.740033206105509,0.508370883455407,"NOx","oil_and_natural_gas",2016-08-01
